Wall time,Step,Value
1667476148,1000512,500
1667476369,1000768,500
1667476606,1001024,500
1667476844,1001280,500
1667477082,1001536,500
1667477321,1001792,500
1667477559,1002048,500
1667477797,1002304,500
1667478036,1002560,500
1667478274,1002816,500
1667478512,1003072,500
1667478751,1003328,500
1667478989,1003584,500
1667479227,1003840,500
1667479465,1004096,500
1667479703,1004352,500
1667479940,1004608,500
1667480179,1004864,500
1667480417,1005120,500
1667480655,1005376,500
1667480892,1005632,500
1667481131,1005888,500
1667481368,1006144,500
1667481606,1006400,500
1667481845,1006656,500
1667482082,1006912,500
1667482321,1007168,500
1667482558,1007424,500
1667482796,1007680,500
1667483033,1007936,500
1667483271,1008192,500
1667483509,1008448,500
1667483746,1008704,500
1667483984,1008960,500
1667484222,1009216,500
1667484461,1009472,500
1667484698,1009728,500
1667484936,1009984,500
1667485183,1010240,500
1667485422,1010496,500
1667485660,1010752,500
1667485898,1011008,500
1667486136,1011264,500
1667486374,1011520,500
1667486612,1011776,500
1667486850,1012032,500
1667487086,1012288,500
1667487323,1012544,500
1667487560,1012800,500
1667487796,1013056,500
1667488033,1013312,500
1667488269,1013568,500
1667488506,1013824,500
1667488742,1014080,500
1667488979,1014336,500
1667489215,1014592,500
1667489451,1014848,500
1667489687,1015104,500
1667489924,1015360,500
1667490161,1015616,500
1667490396,1015872,500
1667490633,1016128,500
1667490869,1016384,500
1667491105,1016640,500
1667491341,1016896,500
1667491577,1017152,500
1667491813,1017408,500
1667492049,1017664,500
1667492286,1017920,500
1667492522,1018176,500
1667492758,1018432,500
1667492995,1018688,500
1667493232,1018944,500
1667493468,1019200,500
1667493704,1019456,500
1667493941,1019712,500
1667494177,1019968,500
1667494423,1020224,500
1667494659,1020480,500
1667494896,1020736,500
1667495132,1020992,500
1667495368,1021248,500
1667495605,1021504,500
1667495841,1021760,500
1667496078,1022016,500
1667496314,1022272,500
1667496550,1022528,500
1667496786,1022784,500
1667497023,1023040,500
1667497260,1023296,500
1667497496,1023552,500
1667497731,1023808,500
1667497968,1024064,500
1667498205,1024320,500
1667498441,1024576,500
1667498677,1024832,500
1667498914,1025088,500
1667499150,1025344,500
1667499387,1025600,500
1667499623,1025856,500
1667499860,1026112,500
1667500096,1026368,500
1667500332,1026624,500
1667500569,1026880,500
1667500806,1027136,500
1667501042,1027392,500
1667501279,1027648,500
1667501515,1027904,500
1667501752,1028160,500
1667501989,1028416,500
1667502226,1028672,500
1667502461,1028928,500
1667502696,1029184,500
1667502932,1029440,500
1667503169,1029696,500
1667503406,1029952,500
1667503651,1030208,500
1667503887,1030464,500
1667504123,1030720,500
1667504360,1030976,500
1667504597,1031232,500
1667504833,1031488,500
1667505070,1031744,500
1667505306,1032000,500
1667505542,1032256,500
1667505779,1032512,500
1667506015,1032768,500
1667506251,1033024,500
1667506488,1033280,500
1667506724,1033536,500
1667506961,1033792,500
1667507197,1034048,500
1667507434,1034304,500
1667507670,1034560,500
1667507907,1034816,500
1667508143,1035072,500
1667508379,1035328,500
1667508614,1035584,500
1667508850,1035840,500
1667509087,1036096,500
1667509323,1036352,500
1667509559,1036608,500
1667509796,1036864,500
1667510032,1037120,500
