Wall time,Step,Value
1667475732,1000512,15
1667475818,1000768,15
1667475914,1001024,257.5
1667476057,1001280,338.3333435
1667476256,1001536,338.3333435
1667476495,1001792,378.75
1667476733,1002048,378.75
1667476972,1002304,403
1667477211,1002560,403
1667477451,1002816,419.1666565
1667477690,1003072,419.1666565
1667477928,1003328,430.7142944
1667478168,1003584,430.7142944
1667478406,1003840,439.375
1667478645,1004096,439.375
1667478884,1004352,446.1111145
1667479122,1004608,446.1111145
1667479360,1004864,451.5
1667479599,1005120,451.5
1667479838,1005376,455.9090881
1667480077,1005632,455.9090881
1667480316,1005888,459.5833435
1667480555,1006144,459.5833435
1667480793,1006400,462.6923218
1667481032,1006656,462.6923218
1667481271,1006912,465.3571472
1667481508,1007168,465.3571472
1667481747,1007424,467.6666565
1667481985,1007680,467.6666565
1667482224,1007936,469.6875
1667482461,1008192,469.6875
1667482700,1008448,471.4705811
1667482939,1008704,471.4705811
1667483177,1008960,473.055542
1667483415,1009216,473.055542
1667483654,1009472,474.4736938
1667483892,1009728,474.4736938
1667484130,1009984,475.75
1667484368,1010240,475.75
1667484615,1010496,476.9047546
1667484854,1010752,476.9047546
1667485093,1011008,477.9545593
1667485331,1011264,477.9545593
1667485569,1011520,478.9130554
1667485808,1011776,479.7916565
1667486046,1012032,479.7916565
1667486285,1012288,480.6000061
1667486523,1012544,480.6000061
1667486761,1012800,481.3461609
1667486997,1013056,481.3461609
1667487235,1013312,482.0370483
1667487471,1013568,482.0370483
1667487708,1013824,482.6785583
1667487944,1014080,482.6785583
1667488181,1014336,483.2758484
1667488418,1014592,483.2758484
1667488654,1014848,483.8333435
1667488891,1015104,483.8333435
1667489127,1015360,484.3548279
1667489363,1015616,476.84375
1667489600,1015872,470.4242554
1667489837,1016128,462.4705811
1667490074,1016384,445.3611145
1667490311,1016640,430.0526428
1667490547,1016896,424.2564087
1667490784,1017152,419.1000061
1667491021,1017408,419.1000061
1667491258,1017664,421.0731812
1667491494,1017920,419.3571472
1667491731,1018176,416.7209167
1667491968,1018432,416.7209167
1667492205,1018688,418.6136475
1667492442,1018944,418.6136475
1667492679,1019200,416.8444519
1667492915,1019456,416.8444519
1667493152,1019712,418.6521606
1667493390,1019968,418.6521606
1667493626,1020224,420.3829651
1667493871,1020480,420.3829651
1667494108,1020736,422.0416565
1667494345,1020992,422.0416565
1667494582,1021248,423.6326599
1667494819,1021504,423.6326599
1667495055,1021760,425.1600037
1667495292,1022016,426.6274414
1667495528,1022272,426.6274414
1667495765,1022528,428.0384521
1667496002,1022784,428.0384521
1667496238,1023040,429.3962402
1667496475,1023296,429.3962402
1667496712,1023552,430.7037048
1667496949,1023808,430.7037048
1667497185,1024064,431.963623
1667497422,1024320,431.963623
1667497659,1024576,431.5714417
1667497897,1024832,431.5714417
1667498134,1025088,431.7543945
1667498372,1025344,431.7543945
1667498609,1025600,428.4745789
1667498846,1025856,424.8166809
1667499083,1026112,421.131134
1667499320,1026368,421.131134
1667499558,1026624,422.4032288
1667499795,1026880,420.8254089
1667500032,1027136,419.359375
1667500269,1027392,417.2307739
1667500507,1027648,417.2307739
1667500744,1027904,416.1818237
1667500980,1028160,416.1818237
1667501217,1028416,416.5522461
1667501454,1028672,416.6176453
1667501692,1028928,416.6176453
1667501930,1029184,416.6811523
1667502166,1029440,414.3999939
1667502403,1029696,413.4647827
1667502640,1029952,413.4647827
1667502878,1030208,413.1666565
1667503124,1030464,413.1666565
1667503361,1030720,414.3561707
1667503598,1030976,413.1486511
1667503835,1031232,411.1066589
1667504073,1031488,410.3157959
1667504309,1031744,410.3157959
1667504545,1032000,410.3636475
1667504782,1032256,409.5256348
1667505019,1032512,409.5256348
1667505256,1032768,409.4556885
1667505494,1033024,407.8875122
1667505731,1033280,407.4814758
1667505968,1033536,407.4814758
1667506204,1033792,408.6097412
1667506441,1034048,408.6097412
1667506678,1034304,409.7108459
1667506915,1034560,409.7108459
1667507152,1034816,410.7857056
1667507389,1035072,410.7857056
1667507625,1035328,411.3764648
1667507862,1035584,411.3764648
1667508099,1035840,412.4069824
1667508337,1036096,412.4069824
1667508574,1036352,413.4137878
1667508811,1036608,413.4137878
1667509048,1036864,414.3977356
1667509285,1037120,414.3977356
1667509522,1037376,415.3595581
1667509759,1037632,415.3595581
