Wall time,Step,Value
1666538584.314905,4608,-200.0
1666538713.036235,7168,-200.0
1666538751.7281027,7936,-200.0
1666538828.692844,9472,-198.5294189453125
1666539035.7711403,13568,-194.984375
1666539061.759777,14080,-194.984375
1666539087.4431295,14592,-194.3076934814453
1666539100.4043627,14848,-194.3076934814453
1666539126.346903,15360,-192.01388549804688
1666539203.4853528,16896,-192.1125030517578
1666539216.5607152,17152,-192.1125030517578
1666539242.235259,17664,-190.6219482421875
1666539358.5938642,19968,-188.3958282470703
1666539435.2308445,21504,-185.39999389648438
1666539448.1955564,21760,-185.39999389648438
1666539461.1719024,22016,-185.0800018310547
1666539474.0118823,22272,-185.0800018310547
1666539539.2811732,23552,-180.75999450683594
1666539643.1056244,25600,-178.2100067138672
1666539735.360068,27392,-172.72000122070312
1666539839.2813559,29440,-165.9499969482422
1666539880.0976408,30208,-163.52000427246094
1666539893.4981802,30464,-163.39999389648438
1666539985.1203413,32256,-161.25
1666540048.2026832,33536,-160.49000549316406
1666540152.4097407,35584,-155.88999938964844
1666540191.5607457,36352,-154.3699951171875
1666540204.701121,36608,-154.0800018310547
1666540322.8855271,38912,-149.75999450683594
1666540348.5186222,39424,-147.16000366210938
1666540361.9178162,39680,-147.3800048828125
1666540464.687443,41728,-144.6699981689453
1666540523.612003,43008,-145.17999267578125
1666540549.1752417,43520,-144.61000061035156
1666540562.4126368,43776,-144.67999267578125
1666540680.6080678,46080,-143.16000366210938
1666540693.7933714,46336,-143.16000366210938
1666540732.5735385,47104,-141.74000549316406
1666540810.2494984,48640,-139.39999389648438
1666540823.2725446,48896,-139.0500030517578
1666540887.3472798,50176,-137.82000732421875
1666540912.185843,50688,-137.85000610351562
1666540923.2293515,50944,-137.85000610351562
1666540975.4802225,51968,-138.3800048828125
1666540988.3167622,52224,-138.42999267578125
1666541080.7554154,54016,-138.41000366210938
1666541184.7461026,56064,-137.22999572753906
1666541197.0532942,56320,-136.82000732421875
1666541210.0310447,56576,-137.22999572753906
1666541262.0669677,57600,-136.13999938964844
1666541405.6953,60416,-134.61000061035156
1666541484.692405,61952,-134.0500030517578
1666541549.3522403,63232,-134.33999633789062
1666541588.8104098,64000,-134.00999450683594
1666541745.176748,67072,-132.25999450683594
1666541819.6096542,68608,-131.64999389648438
1666541884.7600036,69888,-131.61000061035156
1666541925.1472096,70656,-130.7899932861328
1666541976.625894,71680,-130.17999267578125
1666542026.9661918,72704,-129.72999572753906
1666542052.9948518,73216,-129.38999938964844
1666542117.8701074,74496,-129.1999969482422
1666542296.5231266,78080,-131.33999633789062
1666542362.5324743,79360,-131.8000030517578
1666542375.1340091,79616,-131.7899932861328
1666542441.17277,80896,-131.2100067138672
1666542493.4643679,81920,-130.75
1666542506.673714,82176,-131.27000427246094
1666542533.0144665,82688,-131.24000549316406
1666542637.367776,84736,-133.42999267578125
1666542650.2385306,84992,-134.0399932861328
1666542727.4381754,86528,-136.02000427246094
1666542740.5178146,86784,-136.1199951171875
1666542754.1186533,87040,-136.22000122070312
1666542791.2481785,87808,-136.64999389648438
1666542909.390829,90112,-137.67999267578125
1666543015.060834,92160,-135.6999969482422
1666543223.9450033,96256,-136.14999389648438
1666543276.5951734,97280,-136.10000610351562
1666543355.847025,98816,-133.67999267578125
1666543399.861681,99840,-134.86000061035156
1666543426.7061656,100352,-134.05999755859375
1666543581.349669,103424,-133.19000244140625
1666543594.3964927,103680,-133.19000244140625
1666543803.8427315,107776,-133.57000732421875
1666543971.7369668,111104,-132.02000427246094
1666543985.2026782,111360,-131.74000549316406
1666544011.5263155,111872,-131.4499969482422
1666544090.7867482,113408,-130.39999389648438
1666544209.1949127,115712,-128.82000732421875
1666544235.3666713,116224,-129.42999267578125
1666544248.2927349,116480,-129.6199951171875
1666544287.9695969,117248,-130.19000244140625
1666544366.4341693,118784,-129.25
1666544484.5068362,121088,-126.25
1666544523.870193,121856,-125.33999633789062
1666544537.224546,122112,-124.62999725341797
1666544654.5933232,124416,-124.37000274658203
1666544667.5824587,124672,-124.37000274658203
1666544860.8940582,128512,-126.3499984741211
1666544886.6248207,129024,-125.13999938964844
1666544912.7730289,129536,-125.69999694824219
1666545098.1626084,133120,-128.7100067138672
1666545162.7951422,134400,-129.4199981689453
1666545187.1852696,134912,-130.00999450683594
1666545226.272172,135680,-131.69000244140625
1666545331.9551625,137728,-131.1199951171875
1666545409.911978,139264,-129.83999633789062
1666545435.8825328,139776,-129.1300048828125
1666545476.3950539,140544,-129.38999938964844
1666545556.1810064,142080,-127.55999755859375
1666545622.304958,143360,-127.30999755859375
1666545635.6474102,143616,-127.6500015258789
