Wall time,Step,Value
1666505873.9152184,4608,-200.0
1666506005.3570178,7168,-194.6875
1666506044.508015,7936,-194.6875
1666506122.9923675,9472,-188.0
1666506334.1331537,13568,-182.703125
1666506360.340633,14080,-180.15492248535156
1666506386.6702275,14592,-178.55262756347656
1666506399.6190844,14848,-178.25640869140625
1666506426.0251248,15360,-178.1750030517578
1666506504.5587037,16896,-175.2087860107422
1666506517.5173619,17152,-174.64515686035156
1666506543.8659544,17664,-173.875
1666506661.9674616,19968,-167.88999938964844
1666506741.6867707,21504,-163.3699951171875
1666506754.7878802,21760,-162.4499969482422
1666506767.8811288,22016,-162.4499969482422
1666506781.0277035,22272,-162.02999877929688
1666506846.7357235,23552,-159.05999755859375
1666506951.7941597,25600,-155.30999755859375
1666507043.3207343,27392,-151.47999572753906
1666507148.5749168,29440,-149.3800048828125
1666507188.9570038,30208,-149.49000549316406
1666507202.2166176,30464,-148.86000061035156
1666507294.1498191,32256,-147.6300048828125
1666507359.4535258,33536,-146.13999938964844
1666507464.2485683,35584,-143.1300048828125
1666507503.5689442,36352,-142.60000610351562
1666507516.557586,36608,-141.9199981689453
1666507634.5420902,38912,-138.63999938964844
1666507660.6714096,39424,-139.24000549316406
1666507673.7545958,39680,-138.9499969482422
1666507779.0357487,41728,-136.02999877929688
1666507844.2421188,43008,-135.07000732421875
1666507870.4598143,43520,-134.0800018310547
1666507883.619716,43776,-133.50999450683594
1666508001.3056114,46080,-131.72999572753906
1666508014.3449185,46336,-131.0500030517578
1666508053.84609,47104,-130.6300048828125
1666508131.9944692,48640,-130.5800018310547
1666508145.1078897,48896,-130.47000122070312
1666508211.870803,50176,-130.41000366210938
1666508237.8987403,50688,-130.61000061035156
1666508250.9258766,50944,-129.6199951171875
1666508303.3711236,51968,-129.82000732421875
1666508316.498348,52224,-129.4600067138672
1666508407.9242916,54016,-127.80000305175781
1666508512.8027065,56064,-127.98999786376953
1666508526.0065522,56320,-127.5199966430664
1666508539.1211576,56576,-127.6500015258789
1666508591.4621248,57600,-126.0199966430664
1666508736.1585915,60416,-127.2300033569336
1666508814.4922464,61952,-124.83000183105469
1666508879.5591707,63232,-124.77999877929688
1666508918.8139615,64000,-123.25
1666509076.1868882,67072,-124.70999908447266
1666509154.7531857,68608,-126.11000061035156
1666509220.3503447,69888,-126.69999694824219
1666509260.2378962,70656,-127.70999908447266
1666509312.3375309,71680,-127.95999908447266
1666509364.4133751,72704,-126.13999938964844
1666509390.496318,73216,-125.08999633789062
1666509455.632885,74496,-125.9000015258789
1666509637.950824,78080,-126.02999877929688
1666509703.39212,79360,-123.73999786376953
1666509716.487304,79616,-123.22000122070312
1666509782.8560317,80896,-122.0999984741211
1666509835.2058794,81920,-122.26000213623047
1666509848.352315,82176,-122.25
1666509874.4629793,82688,-121.66999816894531
1666509979.2805526,84736,-122.18000030517578
1666509992.3147242,84992,-122.13999938964844
1666510070.4575813,86528,-122.58000183105469
1666510083.7075672,86784,-122.58000183105469
1666510096.8848982,87040,-122.1500015258789
1666510135.9071536,87808,-122.5199966430664
1666510254.448059,90112,-121.2699966430664
1666510359.2036636,92160,-122.19000244140625
1666510567.9255638,96256,-123.5
1666510620.3379445,97280,-123.73999786376953
1666510698.7807508,98816,-122.7300033569336
1666510751.216992,99840,-124.31999969482422
1666510778.1457157,100352,-123.9000015258789
1666510935.4478858,103424,-123.62000274658203
1666510948.4680343,103680,-123.5
1666511157.5457263,107776,-122.80000305175781
1666511328.475643,111104,-124.27999877929688
1666511341.4712949,111360,-124.27999877929688
1666511367.5083344,111872,-123.26000213623047
1666511445.6647577,113408,-123.7300033569336
1666511563.5786526,115712,-125.08999633789062
1666511589.8788712,116224,-124.48999786376953
1666511602.8643618,116480,-124.87999725341797
1666511642.013875,117248,-123.72000122070312
1666511720.3889062,118784,-125.69999694824219
1666511838.6435046,121088,-125.12999725341797
1666511877.801173,121856,-125.20999908447266
1666511890.8969061,122112,-125.12999725341797
1666512007.8839655,124416,-123.7699966430664
1666512020.9355164,124672,-123.7699966430664
1666512216.6957366,128512,-123.06999969482422
1666512242.655682,129024,-122.69999694824219
1666512268.8615134,129536,-123.13999938964844
1666512452.5478237,133120,-120.1500015258789
1666512517.5892425,134400,-120.01000213623047
1666512543.5794096,134912,-120.44000244140625
1666512582.9189987,135680,-120.43000030517578
1666512687.137622,137728,-123.20999908447266
1666512765.3786128,139264,-123.61000061035156
1666512791.587075,139776,-122.68000030517578
1666512831.563237,140544,-122.95999908447266
1666512909.9575176,142080,-123.55999755859375
1666512975.4802194,143360,-124.25
1666512988.4962242,143616,-124.22000122070312
1666513106.128666,145920,-125.69999694824219
1666513132.259384,146432,-126.12999725341797
1666513184.4716692,147456,-125.87999725341797
1666513197.4162269,147712,-125.37000274658203
1666513262.579394,148992,-123.66999816894531
1666513315.6540675,150016,-122.12999725341797
1666513328.7952774,150272,-122.94000244140625
1666513393.6478121,151552,-121.58999633789062
1666513419.6990027,152064,-122.33999633789062
1666513432.796315,152320,-122.33999633789062
1666513459.0131967,152832,-121.94000244140625
1666513485.1789129,153344,-122.38999938964844
1666513498.3393633,153600,-121.80999755859375
1666513563.2533004,154880,-122.41000366210938
1666513576.3871334,155136,-122.38999938964844
1666513694.237746,157440,-121.37999725341797
1666513772.5445998,158976,-120.37999725341797
1666513798.6722815,159488,-120.12000274658203
1666513865.4233422,160768,-120.80999755859375
1666513930.95055,162048,-121.55000305175781
1666513957.070721,162560,-120.33000183105469
1666514113.8622148,165632,-120.8499984741211
1666514205.6473877,167424,-119.80999755859375
1666514218.7388744,167680,-119.79000091552734
1666514244.748794,168192,-120.19999694824219
1666514257.7852094,168448,-120.19999694824219
1666514270.9297447,168704,-120.63999938964844
1666514283.8627882,168960,-120.61000061035156
1666514309.9677505,169472,-119.91999816894531
1666514350.2877824,170240,-119.87000274658203
1666514402.7478817,171264,-120.81999969482422
1666514468.1739798,172544,-120.63999938964844
1666514507.113776,173312,-120.68000030517578
1666514559.3079867,174336,-120.6500015258789
1666514598.437113,175104,-120.33000183105469
1666514611.4931333,175360,-120.76000213623047
1666514637.7223127,175872,-119.94999694824219
1666514650.789605,176128,-119.94000244140625
1666514690.0643036,176896,-120.05000305175781
1666514703.0980937,177152,-120.05000305175781
1666514742.5941763,177920,-119.72000122070312
1666514755.699666,178176,-119.72000122070312
1666514821.209752,179456,-120.30999755859375
1666514834.3094015,179712,-120.31999969482422
1666514926.8513894,181504,-119.4800033569336
1666514966.241475,182272,-119.41000366210938
1666515018.1832633,183296,-118.0199966430664
1666515057.3315163,184064,-117.23999786376953
1666515083.389025,184576,-117.6500015258789
1666515109.5034626,185088,-118.48999786376953
1666515161.788569,186112,-118.9800033569336
1666515213.8817725,187136,-118.4800033569336
1666515253.2102294,187904,-118.81999969482422
1666515266.2997398,188160,-119.29000091552734
1666515279.2395976,188416,-119.19000244140625
1666515292.1683846,188672,-119.16000366210938
1666515371.240845,190208,-118.91000366210938
1666515449.9148273,191744,-119.43000030517578
1666515475.9082808,192256,-119.83000183105469
1666515489.0360613,192512,-120.61000061035156
1666515541.1543965,193536,-120.11000061035156
1666515593.222482,194560,-120.69000244140625
1666515632.4328582,195328,-121.91999816894531
1666515645.5997155,195584,-121.9000015258789
1666515658.582858,195840,-121.86000061035156
1666515684.4893556,196352,-121.81999969482422
1666515710.419488,196864,-120.91000366210938
1666515827.7458181,199168,-121.30000305175781
