Wall time,Step,Value
1665737783.5338168,8192,-500.0
1665739017.81753,12288,-500.0
1665740244.8565586,16384,-454.75
1665741466.7890792,20480,-399.1914978027344
1665742692.1358654,24576,-351.21539306640625
1665743911.4805362,28672,-315.28570556640625
1665745130.51782,32768,-294.7900085449219
1665746349.86258,36864,-241.75
1665747570.936874,40960,-205.6199951171875
1665748796.7821555,45056,-192.77999877929688
1665750017.9959316,49152,-184.83999633789062
1665751240.9855964,53248,-169.36000061035156
1665752456.429133,57344,-159.4499969482422
1665753680.3932464,61440,-148.17999267578125
1665754897.369373,65536,-148.3000030517578
1665756116.5597026,69632,-148.2100067138672
1665757342.149177,73728,-146.61000061035156
1665758568.2863853,77824,-147.77000427246094
1665759790.3671756,81920,-137.57000732421875
1665761012.4881918,86016,-132.91000366210938
1665762236.989341,90112,-135.27999877929688
1665763460.922921,94208,-138.7899932861328
1665764678.6758928,98304,-135.77999877929688
1665765902.2313676,102400,-136.63999938964844
1665767118.8853974,106496,-129.1300048828125
1665768334.3035433,110592,-131.5
1665769555.6589797,114688,-134.22000122070312
1665770779.2757237,118784,-137.66000366210938
1665772005.2935655,122880,-141.7899932861328
1665773228.844717,126976,-144.8800048828125
1665774456.5158575,131072,-130.4499969482422
1665775682.769256,135168,-125.54000091552734
1665776896.983383,139264,-132.57000732421875
1665778117.0801282,143360,-141.14999389648438
1665779334.492282,147456,-146.77000427246094
1665780560.1133614,151552,-138.9600067138672
1665781785.8248174,155648,-120.41999816894531
1665783010.3825302,159744,-109.98999786376953
1665784230.7972386,163840,-114.05000305175781
1665785453.8038795,167936,-127.5999984741211
1665786678.716514,172032,-135.64999389648438
1665787902.3640332,176128,-133.3300018310547
1665789123.957826,180224,-125.76000213623047
1665790344.2381873,184320,-124.63999938964844
1665791567.0248744,188416,-128.25999450683594
1665792786.7751439,192512,-125.08000183105469
1665794003.1500514,196608,-125.29000091552734
1665795222.1032295,200704,-125.11000061035156
1665796439.910697,204800,-129.52999877929688
1665797657.35342,208896,-132.97000122070312
1665798876.1292164,212992,-142.07000732421875
1665800091.9061353,217088,-130.9600067138672
1665801311.3345923,221184,-128.39999389648438
1665802529.2677562,225280,-126.3499984741211
1665803751.03454,229376,-131.27999877929688
1665804970.39966,233472,-134.67999267578125
1665806191.3186252,237568,-125.94000244140625
1665807408.2170172,241664,-119.62999725341797
1665808623.6189375,245760,-116.58999633789062
1665809841.7414494,249856,-122.98999786376953
1665811060.3091595,253952,-122.7699966430664
1665812284.3333776,258048,-119.47000122070312
1665813508.883661,262144,-111.69999694824219
1665814719.560032,266240,-116.5
1665815938.1821334,270336,-122.5
1665817151.820188,274432,-128.07000732421875
1665818374.791795,278528,-124.23999786376953
1665819596.8294272,282624,-120.37000274658203
1665821032.8474846,286720,-116.66999816894531
1665822615.6221745,290816,-116.88999938964844
1665824196.4755952,294912,-116.58999633789062
1665825780.710764,299008,-120.36000061035156
1665827363.3384845,303104,-118.52999877929688
1665828945.506685,307200,-116.23999786376953
1665830523.7955968,311296,-115.83000183105469
1665832102.1188161,315392,-114.9800033569336
1665833678.8807673,319488,-113.30999755859375
1665835254.49057,323584,-111.5199966430664
1665836832.6027951,327680,-110.88999938964844
1665838413.8190475,331776,-109.2699966430664
1665839994.0213597,335872,-113.88999938964844
1665841571.6141734,339968,-117.66999816894531
1665843153.4939497,344064,-116.8499984741211
1665844729.9783888,348160,-112.69999694824219
1665846309.872448,352256,-113.45999908447266
1665847887.6925507,356352,-121.73999786376953
1665849468.1899748,360448,-119.76000213623047
1665851045.2069008,364544,-118.12999725341797
1665852623.4611936,368640,-112.45999908447266
1665854201.8443036,372736,-112.9000015258789
1665855779.8828843,376832,-111.56999969482422
1665857358.5959277,380928,-111.31999969482422
1665858933.8366697,385024,-115.08000183105469
1665860512.493705,389120,-119.41000366210938
1665862091.6291587,393216,-117.33999633789062
1665863667.9097044,397312,-111.3499984741211
1665865246.3263237,401408,-110.69999694824219
1665866823.277476,405504,-117.19000244140625
1665868400.4041183,409600,-118.45999908447266
1665869982.9022205,413696,-117.0999984741211
1665871563.4274101,417792,-115.16000366210938
1665873142.1492321,421888,-103.5
1665874716.866507,425984,-101.04000091552734
1665876292.3621037,430080,-102.77999877929688
1665877873.753974,434176,-104.58999633789062
1665879452.619975,438272,-106.11000061035156
1665881030.597208,442368,-101.91000366210938
1665882609.1278133,446464,-105.86000061035156
1665884187.7634869,450560,-109.81999969482422
1665885764.7066412,454656,-110.66000366210938
1665887342.920322,458752,-104.37999725341797
1665888927.4293976,462848,-103.25
1665890505.5226688,466944,-105.2699966430664
1665892081.8331258,471040,-104.29000091552734
1665893660.8400652,475136,-103.5199966430664
1665895237.7809484,479232,-105.8499984741211
1665896815.3901396,483328,-104.95999908447266
1665898395.055641,487424,-105.33999633789062
1665899978.9878953,491520,-106.93000030517578
