Wall time,Step,Value
1666008397.8253822,8192,-496.8125
1666009854.7995656,12288,-484.70587158203125
1666011304.7891576,16384,-473.875
1666012758.248065,20480,-424.76190185546875
1666014208.074646,24576,-369.3548278808594
1666015658.650205,28672,-323.8214416503906
1666017109.2323093,32768,-302.07000732421875
1666018557.192201,36864,-231.41000366210938
1666020008.010918,40960,-186.58999633789062
1666021509.5736063,45056,-176.24000549316406
1666023013.2798376,49152,-159.1999969482422
1666024519.534513,53248,-149.66000366210938
1666026026.4962587,57344,-133.97999572753906
1666027533.8705382,61440,-127.2699966430664
1666029041.0593789,65536,-120.16999816894531
1666030548.0236845,69632,-117.55999755859375
1666031950.7090309,73728,-111.77999877929688
1666033278.9194565,77824,-110.12000274658203
1666034607.322091,81920,-113.48999786376953
1666035937.2750745,86016,-109.44999694824219
1666037265.7047002,90112,-108.33000183105469
1666038586.4660354,94208,-105.55999755859375
1666039900.231843,98304,-107.26000213623047
1666041217.4563031,102400,-106.06999969482422
1666042521.7256408,106496,-101.37000274658203
1666043821.2635758,110592,-99.36000061035156
1666045120.2921274,114688,-97.86000061035156
1666046421.6217096,118784,-101.54000091552734
1666047720.955485,122880,-106.58999633789062
1666048995.1254978,126976,-110.29000091552734
1666050267.3594446,131072,-110.76000213623047
1666051530.085206,135168,-111.83999633789062
1666052787.1809254,139264,-110.30000305175781
1666054036.719289,143360,-108.7699966430664
1666055289.850149,147456,-107.91000366210938
1666056541.7771509,151552,-106.2300033569336
1666057793.56715,155648,-105.7699966430664
1666059049.5176,159744,-103.5999984741211
1666060310.1929774,163840,-102.91000366210938
1666061565.6337714,167936,-100.61000061035156
1666062816.4698792,172032,-100.41000366210938
1666064072.420946,176128,-99.08000183105469
1666065328.1958754,180224,-99.61000061035156
1666066598.7099898,184320,-100.16000366210938
1666067885.6786997,188416,-99.5199966430664
1666069173.0999393,192512,-101.63999938964844
1666070457.579312,196608,-103.5
1666071741.5756958,200704,-103.16999816894531
1666073024.7949352,204800,-97.04000091552734
1666074307.9208214,208896,-101.77999877929688
1666075594.4757693,212992,-102.45999908447266
1666076922.8139238,217088,-100.83000183105469
1666078265.516576,221184,-97.73999786376953
1666079590.2035308,225280,-103.05000305175781
1666080754.7355664,229376,-106.62999725341797
