Wall time,Step,Value
1667203539.152492,8192,-500.0
1667203667.929488,12288,-500.0
1667203794.3465164,16384,-500.0
1667203921.4614685,20480,-500.0
1667204044.1454704,24576,-490.5833435058594
1667204164.1720023,28672,-490.5833435058594
1667204287.1491675,32768,-491.84375
1667204409.7401748,36864,-491.84375
1667204535.8057163,40960,-492.7749938964844
1667204655.1743064,45056,-492.86419677734375
1667204775.7236545,49152,-492.4583435058594
1667204897.8088367,53248,-486.8599853515625
1667205018.8456047,57344,-478.17999267578125
1667205142.6103811,61440,-450.82000732421875
1667205262.1268077,65536,-422.5400085449219
1667205378.4475021,69632,-385.0
1667205488.8156297,73728,-324.29998779296875
1667205597.4973786,77824,-266.6300048828125
1667205708.883704,81920,-204.39999389648438
1667205817.860112,86016,-171.08999633789062
1667205929.609591,90112,-150.69000244140625
1667206039.2996168,94208,-138.30999755859375
1667206149.3084505,98304,-136.3800048828125
1667206259.2009025,102400,-136.32000732421875
1667206369.970743,106496,-135.0800018310547
1667206479.9017904,110592,-130.27000427246094
1667206590.036188,114688,-119.19999694824219
1667206698.8422606,118784,-117.08000183105469
1667206808.5647192,122880,-114.94999694824219
1667206917.941243,126976,-120.20999908447266
1667207028.898944,131072,-116.26000213623047
1667207137.9598198,135168,-111.01000213623047
1667207247.844266,139264,-100.56999969482422
1667207359.9353034,143360,-101.30999755859375
1667207468.7970226,147456,-101.87000274658203
1667207579.5976217,151552,-105.27999877929688
1667207689.0617468,155648,-108.30000305175781
1667207799.5657465,159744,-108.66000366210938
1667207909.000388,163840,-109.16999816894531
1667208018.5788605,167936,-104.04000091552734
1667208127.2150908,172032,-99.51000213623047
1667208236.6873472,176128,-100.05000305175781
1667208345.9402807,180224,-103.43000030517578
1667208455.6433635,184320,-111.0199966430664
1667208566.6051295,188416,-110.29000091552734
1667208677.098805,192512,-109.25
1667208787.9395564,196608,-109.44000244140625
1667208898.2034955,200704,-113.4000015258789
1667209009.8913176,204800,-111.58000183105469
1667209118.0239394,208896,-105.45999908447266
1667209228.8110745,212992,-105.08999633789062
1667209338.240175,217088,-102.22000122070312
1667209448.6032047,221184,-103.83000183105469
1667209558.2142262,225280,-107.27999877929688
1667209667.4883318,229376,-117.0199966430664
1667209777.6369214,233472,-116.27999877929688
1667209888.0142045,237568,-114.04000091552734
1667210000.0939019,241664,-105.43000030517578
1667210110.8132565,245760,-104.4000015258789
1667210221.6440697,249856,-102.08000183105469
1667210332.1910954,253952,-103.38999938964844
1667210443.1964066,258048,-102.77999877929688
1667210554.1880553,262144,-100.55999755859375
1667210664.4014623,266240,-100.0999984741211
1667210774.3242774,270336,-106.81999969482422
1667210883.5304823,274432,-114.5
1667210994.9133961,278528,-118.16000366210938
1667211104.7234573,282624,-107.56999969482422
1667211214.3964298,286720,-105.55999755859375
1667211324.9820554,290816,-109.9000015258789
1667211435.5920436,294912,-105.66999816894531
1667211544.5558612,299008,-101.62000274658203
1667211648.9442291,303104,-102.48999786376953
1667211749.9738212,307200,-108.26000213623047
1667211851.940979,311296,-111.45999908447266
1667211952.3882055,315392,-106.76000213623047
1667212053.6215174,319488,-107.5999984741211
1667212155.769134,323584,-109.3499984741211
1667212255.5441384,327680,-109.13999938964844
1667212357.4418457,331776,-107.55000305175781
1667212459.3159022,335872,-107.30999755859375
1667212561.0924768,339968,-109.30000305175781
1667212662.4559875,344064,-109.27999877929688
1667212763.6407402,348160,-107.7699966430664
1667212865.4180372,352256,-105.01000213623047
1667212966.5883126,356352,-106.37999725341797
1667213067.4786026,360448,-110.04000091552734
1667213169.8165698,364544,-105.0
1667213269.9671562,368640,-104.05999755859375
1667213372.1934192,372736,-108.66999816894531
1667213474.0938885,376832,-110.86000061035156
1667213575.652736,380928,-107.79000091552734
1667213676.7159886,385024,-105.83999633789062
1667213778.7579477,389120,-105.37999725341797
1667213880.1508925,393216,-101.79000091552734
1667213981.1141055,397312,-104.70999908447266
1667214083.0670395,401408,-106.02999877929688
1667214182.140891,405504,-107.58999633789062
1667214282.9922225,409600,-105.36000061035156
1667214384.454641,413696,-101.6500015258789
1667214485.848125,417792,-102.5199966430664
1667214587.4070547,421888,-100.62999725341797
1667214688.4630876,425984,-102.94000244140625
1667214790.330554,430080,-106.05000305175781
1667214891.8201513,434176,-105.80999755859375
1667214994.2408292,438272,-102.9000015258789
1667215096.0827634,442368,-104.80999755859375
1667215197.581546,446464,-104.52999877929688
1667215299.4053974,450560,-106.13999938964844
1667215401.1117537,454656,-104.45999908447266
1667215502.1946828,458752,-104.72000122070312
1667215605.2540705,462848,-99.87999725341797
1667215706.4409335,466944,-104.4000015258789
1667215808.4333766,471040,-103.87000274658203
1667215909.3732128,475136,-101.58999633789062
1667216010.8817859,479232,-99.8499984741211
1667216112.629099,483328,-99.66000366210938
1667216213.5451164,487424,-97.86000061035156
1667216314.983398,491520,-97.9800033569336
1667216414.7800338,495616,-96.22000122070312
1667216516.6476207,499712,-95.62999725341797
1667216617.836098,503808,-98.55999755859375
1667216720.2987025,507904,-98.62000274658203
1667216822.8757257,512000,-97.2699966430664
1667216923.1407597,516096,-98.88999938964844
1667217024.5004437,520192,-101.5199966430664
1667217125.043089,524288,-103.30999755859375
1667217225.797289,528384,-100.58999633789062
1667217326.5448117,532480,-97.79000091552734
1667217427.2965705,536576,-101.5
1667217528.2172844,540672,-103.80000305175781
1667217630.6723251,544768,-98.62999725341797
1667217731.643584,548864,-98.36000061035156
1667217832.7050202,552960,-101.18000030517578
1667217933.3592336,557056,-99.27999877929688
1667218034.1536374,561152,-96.68000030517578
1667218134.0100439,565248,-97.38999938964844
1667218235.0855675,569344,-96.47000122070312
1667218336.8683205,573440,-95.22000122070312
1667218437.3819604,577536,-95.58000183105469
1667218539.9591157,581632,-95.9000015258789
1667218641.3090909,585728,-97.30000305175781
1667218741.897928,589824,-99.54000091552734
1667218843.5687034,593920,-100.44000244140625
1667218945.0963383,598016,-101.16999816894531
1667219046.250456,602112,-96.41999816894531
1667219147.6371477,606208,-94.33999633789062
1667219250.0589585,610304,-97.27999877929688
1667219351.0906973,614400,-96.79000091552734
1667219452.2185104,618496,-91.58000183105469
1667219553.5837584,622592,-91.41000366210938
1667219654.9933112,626688,-94.05999755859375
1667219756.5437975,630784,-95.91999816894531
1667219857.810261,634880,-94.2699966430664
1667219957.9768693,638976,-93.94000244140625
1667220058.9282641,643072,-95.76000213623047
1667220159.5612342,647168,-97.69000244140625
1667220260.8888538,651264,-95.18000030517578
1667220362.2219493,655360,-93.44999694824219
1667220465.691358,659456,-93.2300033569336
1667220573.9855509,663552,-97.12000274658203
1667220684.0526206,667648,-93.91000366210938
1667220795.205449,671744,-90.0199966430664
1667220905.3119307,675840,-93.69999694824219
1667221015.7475054,679936,-92.94000244140625
1667221126.7296538,684032,-95.5199966430664
1667221235.1439252,688128,-97.36000061035156
1667221346.7600029,692224,-95.44999694824219
1667221458.3021126,696320,-93.2300033569336
1667221568.9908793,700416,-92.80000305175781
1667221678.5133884,704512,-91.0199966430664
1667221788.7104983,708608,-92.55000305175781
1667221899.5256786,712704,-92.63999938964844
1667222010.4701986,716800,-92.26000213623047
1667222122.0544736,720896,-94.55999755859375
1667222232.7704463,724992,-96.38999938964844
1667222344.047403,729088,-97.23999786376953
1667222456.082149,733184,-97.63999938964844
1667222566.7085402,737280,-95.4800033569336
1667222678.8450425,741376,-96.16999816894531
1667222790.4879065,745472,-95.0999984741211
1667222902.4688733,749568,-95.30999755859375
1667223015.341446,753664,-96.29000091552734
1667223128.283302,757760,-94.22000122070312
1667223240.3215606,761856,-97.73999786376953
1667223353.7657804,765952,-98.66000366210938
1667223466.8741534,770048,-99.8499984741211
1667223580.2212799,774144,-97.80000305175781
1667223693.757248,778240,-96.37999725341797
1667223807.2383127,782336,-97.58000183105469
1667223920.7997756,786432,-97.26000213623047
1667224034.0742753,790528,-100.20999908447266
1667224147.6165032,794624,-96.47000122070312
1667224260.2858183,798720,-100.55999755859375
1667224373.3969548,802816,-100.81999969482422
1667224487.2002125,806912,-101.0199966430664
1667224601.3628602,811008,-100.05000305175781
1667224713.8835824,815104,-103.7699966430664
1667224827.4274857,819200,-101.6500015258789
1667224941.9833944,823296,-103.9000015258789
1667225055.2916417,827392,-100.5999984741211
1667225170.1725013,831488,-98.33000183105469
1667225284.3497336,835584,-97.18000030517578
1667225398.938999,839680,-102.80999755859375
1667225513.1154027,843776,-100.93000030517578
1667225627.4036486,847872,-96.63999938964844
1667225740.725063,851968,-95.63999938964844
1667225853.717352,856064,-97.44000244140625
1667225968.3941543,860160,-96.80000305175781
1667226082.831009,864256,-98.20999908447266
1667226197.5609686,868352,-98.23999786376953
1667226311.6556408,872448,-99.0
1667226424.1691463,876544,-99.18000030517578
1667226538.4896505,880640,-96.51000213623047
1667226652.627552,884736,-96.29000091552734
1667226766.6395779,888832,-99.29000091552734
1667226882.4670742,892928,-100.52999877929688
1667226995.5964947,897024,-101.18000030517578
1667227110.8404253,901120,-101.45999908447266
1667227226.55681,905216,-99.19999694824219
1667227339.4681697,909312,-98.72000122070312
1667227454.4204662,913408,-96.18000030517578
1667227568.503274,917504,-94.7699966430664
1667227682.996369,921600,-94.13999938964844
1667227797.8312433,925696,-96.97000122070312
1667227912.189396,929792,-100.41000366210938
1667228027.5123389,933888,-102.3499984741211
1667228142.9394166,937984,-102.86000061035156
1667228257.7562091,942080,-104.68000030517578
1667228372.0940113,946176,-103.26000213623047
1667228488.1403291,950272,-104.58000183105469
1667228603.388017,954368,-103.87000274658203
1667228717.0925064,958464,-105.83000183105469
1667228831.4438314,962560,-101.36000061035156
1667228945.8513985,966656,-97.61000061035156
1667229060.1651053,970752,-99.94000244140625
1667229174.101563,974848,-98.16000366210938
1667229287.8410451,978944,-97.16999816894531
1667229401.6329303,983040,-102.38999938964844
1667229516.1655605,987136,-101.05999755859375
1667229630.318295,991232,-98.48999786376953
1667229744.703271,995328,-98.77999877929688
1667229857.6301415,999424,-100.77999877929688
1667229972.5973547,1003520,-100.88999938964844
1667230085.0420432,1007616,-99.0199966430664
1667230200.0463827,1011712,-98.13999938964844
1667230313.7761035,1015808,-96.91000366210938
1667230427.2348678,1019904,-99.5999984741211
1667230541.2143068,1024000,-102.91999816894531
1667230655.0624309,1028096,-108.41000366210938
1667230770.367888,1032192,-102.56999969482422
1667230883.9289808,1036288,-96.8499984741211
1667230998.1012685,1040384,-96.91000366210938
1667231110.4715285,1044480,-99.61000061035156
1667231224.2364662,1048576,-100.18000030517578
1667231339.6168985,1052672,-101.68000030517578
1667231453.1205745,1056768,-105.5199966430664
1667231568.4849494,1060864,-102.94000244140625
1667231682.2109728,1064960,-97.27999877929688
1667231795.5990136,1069056,-94.52999877929688
1667231908.9444036,1073152,-91.55000305175781
1667232023.8535752,1077248,-93.4000015258789
1667232138.3405688,1081344,-99.02999877929688
1667232253.0945318,1085440,-104.27999877929688
1667232367.741066,1089536,-101.93000030517578
1667232482.6187036,1093632,-97.33999633789062
1667232597.565391,1097728,-96.05999755859375
1667232712.294381,1101824,-99.23999786376953
1667232826.2077725,1105920,-98.44000244140625
1667232941.3927457,1110016,-99.62999725341797
1667233055.7965195,1114112,-99.31999969482422
1667233169.80379,1118208,-98.70999908447266
1667233285.5034096,1122304,-98.12999725341797
1667233399.6964076,1126400,-95.41000366210938
1667233514.1509922,1130496,-99.23999786376953
1667233626.778732,1134592,-96.08000183105469
1667233739.18967,1138688,-100.37999725341797
1667233852.5326443,1142784,-99.37000274658203
1667233966.131934,1146880,-96.58000183105469
1667234080.4575229,1150976,-94.9000015258789
1667234195.4076605,1155072,-96.01000213623047
1667234310.7818127,1159168,-97.97000122070312
1667234424.8582067,1163264,-98.2699966430664
1667234539.357874,1167360,-95.97000122070312
1667234654.3671122,1171456,-93.19000244140625
1667234769.3389275,1175552,-96.36000061035156
1667234882.8189075,1179648,-98.93000030517578
1667234998.0703247,1183744,-96.87000274658203
1667235112.7293155,1187840,-98.36000061035156
1667235227.1973574,1191936,-98.9800033569336
1667235340.8073149,1196032,-96.19999694824219
1667235456.1672826,1200128,-95.30999755859375
1667235569.5166337,1204224,-95.27999877929688
1667235683.0134995,1208320,-97.12000274658203
1667235798.2804973,1212416,-96.51000213623047
1667235912.252172,1216512,-98.62999725341797
1667236025.8486528,1220608,-99.33000183105469
1667236140.2974253,1224704,-102.30999755859375
1667236254.2947614,1228800,-99.48999786376953
1667236369.3929,1232896,-95.16000366210938
1667236482.7277486,1236992,-95.61000061035156
1667236595.725002,1241088,-97.25
1667236709.4399948,1245184,-98.19999694824219
1667236824.724735,1249280,-101.55999755859375
1667236938.1743834,1253376,-100.30000305175781
1667237052.5926607,1257472,-99.29000091552734
1667237167.3467937,1261568,-95.41000366210938
1667237280.6371412,1265664,-95.12000274658203
1667237395.0392945,1269760,-98.62000274658203
1667237510.4038868,1273856,-97.80999755859375
1667237624.9012222,1277952,-97.1500015258789
1667237740.8939219,1282048,-100.51000213623047
1667237855.5346673,1286144,-101.45999908447266
1667237970.0810823,1290240,-94.93000030517578
1667238083.4227335,1294336,-98.37999725341797
1667238198.204348,1298432,-99.6500015258789
1667238312.0124946,1302528,-96.75
1667238426.1928453,1306624,-97.86000061035156
1667238540.121461,1310720,-96.44999694824219
1667238654.6551285,1314816,-94.25
1667238768.6101103,1318912,-94.83000183105469
1667238882.8882213,1323008,-93.4800033569336
1667238997.0975661,1327104,-94.56999969482422
1667239111.8217826,1331200,-98.37999725341797
1667239226.115548,1335296,-98.69000244140625
1667239339.50927,1339392,-95.11000061035156
1667239455.4199393,1343488,-93.77999877929688
1667239569.898702,1347584,-98.6500015258789
1667239684.2679286,1351680,-100.12999725341797
1667239798.7097034,1355776,-96.30999755859375
1667239912.8073525,1359872,-94.94999694824219
1667240028.9507353,1363968,-94.08000183105469
1667240142.5163002,1368064,-95.97000122070312
1667240257.2764452,1372160,-98.94000244140625
1667240370.9731503,1376256,-96.73999786376953
1667240485.3866982,1380352,-93.38999938964844
1667240599.9949183,1384448,-94.30000305175781
1667240713.5909488,1388544,-97.27999877929688
1667240828.3652627,1392640,-95.01000213623047
1667240943.3885274,1396736,-93.0199966430664
1667241057.9454627,1400832,-92.97000122070312
1667241172.0358057,1404928,-95.43000030517578
1667241285.0492222,1409024,-95.9000015258789
1667241400.5783067,1413120,-99.01000213623047
1667241514.4722843,1417216,-95.37000274658203
1667241629.653271,1421312,-94.63999938964844
1667241743.9304907,1425408,-96.22000122070312
1667241858.4479077,1429504,-96.55999755859375
1667241973.5468247,1433600,-95.98999786376953
1667242088.40663,1437696,-92.7699966430664
1667242202.817699,1441792,-93.20999908447266
1667242316.445951,1445888,-99.36000061035156
1667242431.913145,1449984,-97.23999786376953
1667242545.5084803,1454080,-100.23999786376953
1667242659.5852675,1458176,-97.55999755859375
1667242773.1370938,1462272,-95.80999755859375
1667242886.9810333,1466368,-94.0
1667243001.7157972,1470464,-94.7699966430664
1667243114.5157123,1474560,-95.01000213623047
1667243227.747763,1478656,-92.7300033569336
1667243342.0937495,1482752,-94.27999877929688
1667243455.2731366,1486848,-96.6500015258789
1667243567.7811933,1490944,-97.05999755859375
1667243679.0141258,1495040,-94.93000030517578
1667243793.284264,1499136,-95.72000122070312
1667243904.0784042,1503232,-95.01000213623047
