Wall time,Step,Value
1667203544.593443,8192,-500.0
1667203656.5791376,12288,-500.0
1667203767.646671,16384,-497.75
1667203878.1250827,20480,-465.4864807128906
1667203988.046323,24576,-431.0
1667204096.6109715,28672,-398.6060485839844
1667204205.2881892,32768,-365.1764831542969
1667204313.226724,36864,-350.97979736328125
1667204424.315006,40960,-311.80999755859375
1667204533.5149333,45056,-268.3599853515625
1667204639.7137861,49152,-246.85000610351562
1667204750.7941396,53248,-236.5500030517578
1667204860.5121057,57344,-222.02999877929688
1667204974.2005768,61440,-196.52999877929688
1667205085.6171286,65536,-175.7899932861328
1667205195.4557438,69632,-153.4199981689453
1667205304.1882608,73728,-136.3800048828125
1667205413.2524421,77824,-128.58999633789062
1667205521.2501473,81920,-122.37000274658203
1667205627.9424214,86016,-124.87999725341797
1667205735.7723815,90112,-121.98999786376953
1667205845.3570096,94208,-117.72000122070312
1667205953.1795733,98304,-109.61000061035156
1667206060.0329976,102400,-110.95999908447266
1667206169.8125725,106496,-107.26000213623047
1667206277.5214741,110592,-110.66999816894531
1667206385.164142,114688,-107.05999755859375
1667206493.0257213,118784,-108.5199966430664
1667206601.1323543,122880,-100.79000091552734
1667206705.6414986,126976,-99.61000061035156
1667206814.0945983,131072,-105.22000122070312
1667206920.633249,135168,-104.5
1667207030.0524187,139264,-108.05999755859375
1667207137.0490937,143360,-102.88999938964844
1667207243.3532622,147456,-104.93000030517578
1667207351.8236856,151552,-105.44999694824219
1667207458.513237,155648,-103.37000274658203
1667207567.8117917,159744,-103.73999786376953
1667207677.142269,163840,-105.6500015258789
1667207783.2110915,167936,-102.16000366210938
1667207889.6221113,172032,-101.02999877929688
1667207998.4419415,176128,-100.48999786376953
1667208105.5451741,180224,-101.33000183105469
1667208213.7740245,184320,-101.69999694824219
1667208322.8153532,188416,-102.80999755859375
1667208430.195653,192512,-99.44999694824219
1667208537.1773646,196608,-100.36000061035156
1667208645.0340729,200704,-103.63999938964844
1667208752.4237561,204800,-102.23999786376953
1667208858.6157928,208896,-98.26000213623047
1667208966.0759132,212992,-97.0999984741211
1667209071.8620226,217088,-98.6500015258789
1667209179.8838463,221184,-99.5199966430664
1667209285.8094606,225280,-96.1500015258789
1667209391.4838512,229376,-99.41999816894531
1667209498.7777634,233472,-98.38999938964844
1667209606.5314236,237568,-94.2699966430664
1667209712.162818,241664,-98.55000305175781
1667209819.2464325,245760,-106.06999969482422
1667209927.1351,249856,-98.95999908447266
1667210034.1802053,253952,-94.97000122070312
1667210140.3180895,258048,-95.9800033569336
1667210245.769831,262144,-94.29000091552734
1667210351.25496,266240,-92.61000061035156
1667210459.346101,270336,-94.7699966430664
1667210565.7292135,274432,-94.43000030517578
1667210673.0139897,278528,-94.13999938964844
1667210781.1603353,282624,-97.25
1667210889.0817013,286720,-95.4000015258789
1667210997.7639527,290816,-96.22000122070312
1667211101.1479282,294912,-96.12999725341797
1667211207.2241814,299008,-92.9800033569336
1667211315.672055,303104,-92.55999755859375
1667211424.243256,307200,-96.2699966430664
1667211532.4161232,311296,-96.16000366210938
1667211638.0949602,315392,-94.7300033569336
1667211744.783132,319488,-92.91999816894531
1667211848.4157586,323584,-91.62000274658203
1667211948.6030397,327680,-96.37000274658203
1667212051.639103,331776,-96.9000015258789
1667212153.5461168,335872,-92.56999969482422
1667212257.0302083,339968,-91.73999786376953
1667212361.8697877,344064,-93.94000244140625
1667212465.2174046,348160,-96.11000061035156
1667212566.0389848,352256,-95.30999755859375
1667212666.4314134,356352,-94.91999816894531
1667212767.0620134,360448,-90.80000305175781
1667212868.5095935,364544,-92.37999725341797
1667212971.7564366,368640,-93.94999694824219
1667213074.012351,372736,-91.5
1667213178.2953854,376832,-90.48999786376953
1667213281.1767416,380928,-91.36000061035156
1667213383.1162043,385024,-91.23999786376953
1667213484.5884554,389120,-93.11000061035156
1667213587.4863362,393216,-91.13999938964844
1667213692.5215933,397312,-93.19999694824219
1667213794.9825556,401408,-98.55999755859375
1667213897.7907565,405504,-101.83999633789062
1667213997.8384817,409600,-100.45999908447266
1667214101.5579917,413696,-102.37999725341797
1667214204.2045634,417792,-99.62999725341797
1667214308.8530524,421888,-97.51000213623047
1667214412.9714708,425984,-95.0
1667214515.557149,430080,-93.88999938964844
1667214615.081911,434176,-96.79000091552734
1667214716.398543,438272,-94.94000244140625
1667214816.2466867,442368,-93.77999877929688
1667214920.5505838,446464,-92.0199966430664
1667215023.342495,450560,-91.02999877929688
1667215126.0632458,454656,-92.52999877929688
1667215227.876492,458752,-94.5999984741211
1667215331.937249,462848,-91.18000030517578
1667215435.2120423,466944,-90.2699966430664
1667215538.845058,471040,-89.80000305175781
1667215642.3967938,475136,-87.5
1667215746.0627682,479232,-87.27999877929688
1667215848.1093218,483328,-89.8499984741211
1667215948.9022229,487424,-93.9000015258789
1667216050.0241416,491520,-95.05000305175781
1667216151.642588,495616,-97.05999755859375
1667216254.2856863,499712,-96.41999816894531
1667216354.8110151,503808,-96.69999694824219
1667216459.3838692,507904,-101.88999938964844
1667216562.5978649,512000,-97.52999877929688
1667216663.0928237,516096,-96.69000244140625
1667216765.6038337,520192,-96.48999786376953
1667216868.1398878,524288,-90.2300033569336
1667216971.2960005,528384,-91.5
1667217073.9448695,532480,-93.43000030517578
1667217175.964575,536576,-94.26000213623047
1667217280.8091128,540672,-90.91999816894531
1667217382.332471,544768,-92.12000274658203
1667217483.917786,548864,-95.69000244140625
1667217585.8088398,552960,-98.58000183105469
1667217685.796323,557056,-94.81999969482422
1667217788.1224148,561152,-94.68000030517578
1667217889.6245158,565248,-92.66999816894531
1667217991.3070352,569344,-92.80999755859375
1667218092.8362188,573440,-91.36000061035156
1667218196.1715834,577536,-90.75
1667218298.6113098,581632,-91.02999877929688
1667218403.655558,585728,-93.5
1667218506.8966033,589824,-91.54000091552734
1667218607.399494,593920,-92.52999877929688
1667218707.8378525,598016,-93.80999755859375
1667218810.7616634,602112,-96.91000366210938
1667218912.58242,606208,-94.7300033569336
1667219016.8706706,610304,-90.7300033569336
