Wall time,Step,Value
1667893162.2773163,8192,-500.0
1667893314.095298,12288,-484.8235168457031
1667893462.7247066,16384,-472.59375
1667893613.7956681,20480,-448.34210205078125
1667893762.0428665,24576,-438.0625
1667893925.78778,28672,-441.28570556640625
1667894098.373813,32768,-448.5076904296875
1667894259.768034,36864,-443.5
1667894418.042815,40960,-444.0235290527344
1667894565.8848202,45056,-438.02105712890625
1667894678.755989,49152,-419.44000244140625
1667894808.6891117,53248,-383.6499938964844
1667894956.6167042,57344,-334.8699951171875
1667895109.1125162,61440,-244.89999389648438
1667895264.1950371,65536,-173.16000366210938
1667895417.8848257,69632,-141.36000061035156
1667895569.6001668,73728,-133.74000549316406
1667895719.4986625,77824,-135.7899932861328
1667895868.2467337,81920,-134.35000610351562
1667896016.7342753,86016,-133.8000030517578
1667896172.8089733,90112,-126.38999938964844
1667896321.326495,94208,-126.83000183105469
1667896473.1234982,98304,-127.68000030517578
1667896626.4724808,102400,-129.7899932861328
1667896786.051599,106496,-129.74000549316406
1667896935.2407043,110592,-126.12999725341797
1667897075.7624338,114688,-120.4000015258789
1667897186.0024729,118784,-120.73999786376953
1667897297.1182804,122880,-121.63999938964844
1667897437.367813,126976,-120.56999969482422
1667897588.347902,131072,-120.62999725341797
1667897733.342719,135168,-118.7699966430664
1667897884.6900492,139264,-118.75
1667898034.2283015,143360,-117.73999786376953
1667898182.2764652,147456,-120.36000061035156
1667898340.558787,151552,-119.93000030517578
1667898488.9932544,155648,-123.81999969482422
1667898638.1680663,159744,-124.62999725341797
1667898788.9398525,163840,-125.83999633789062
1667898938.1138842,167936,-119.83999633789062
1667899090.0308201,172032,-117.66000366210938
1667899241.775959,176128,-115.18000030517578
1667899392.873277,180224,-115.9800033569336
1667899542.8210127,184320,-119.87000274658203
1667899693.6531274,188416,-121.04000091552734
1667899849.5226796,192512,-119.87000274658203
1667900007.0101614,196608,-116.05000305175781
1667900164.5836618,200704,-117.61000061035156
1667900319.654105,204800,-117.83000183105469
1667900472.9725893,208896,-116.4800033569336
1667900629.5733008,212992,-116.0199966430664
1667900784.582262,217088,-118.22000122070312
1667900937.7823582,221184,-119.0999984741211
1667901087.2324557,225280,-118.6500015258789
1667901236.840939,229376,-118.1500015258789
1667901388.2461226,233472,-120.66999816894531
1667901539.6661265,237568,-119.26000213623047
1667901692.9352903,241664,-118.80000305175781
1667901845.6571238,245760,-119.30000305175781
1667902002.9738963,249856,-122.83999633789062
1667902155.8541095,253952,-126.43000030517578
1667902305.9365246,258048,-122.0
1667902457.2548647,262144,-120.27999877929688
1667902607.1413023,266240,-117.98999786376953
1667902757.2740567,270336,-117.5
1667902896.5880368,274432,-111.8499984741211
1667903006.833956,278528,-113.5
1667903118.2842557,282624,-113.4000015258789
1667903229.8491158,286720,-112.41000366210938
1667903358.0788636,290816,-110.19000244140625
1667903509.9109187,294912,-111.4800033569336
1667903660.2260075,299008,-112.41000366210938
1667903808.7078352,303104,-112.44000244140625
1667903958.0972147,307200,-113.77999877929688
1667904111.628938,311296,-113.87999725341797
1667904262.6102357,315392,-116.44000244140625
1667904418.644954,319488,-114.05999755859375
1667904573.8041368,323584,-113.56999969482422
1667904724.0119224,327680,-110.58000183105469
1667904886.8797865,331776,-111.66000366210938
1667905036.1283453,335872,-111.55999755859375
1667905179.632741,339968,-109.4800033569336
1667905326.3008265,344064,-111.69999694824219
1667905478.8369675,348160,-108.58999633789062
1667905631.8702526,352256,-116.66999816894531
1667905783.188914,356352,-118.11000061035156
1667905942.6497395,360448,-120.80999755859375
1667906095.0838742,364544,-121.13999938964844
1667906247.8730342,368640,-121.62999725341797
1667906399.9052129,372736,-122.91999816894531
1667906548.2306285,376832,-118.08000183105469
1667906700.1047826,380928,-118.37999725341797
1667906865.945146,385024,-120.33999633789062
1667907031.3483243,389120,-122.88999938964844
1667907178.1523838,393216,-124.04000091552734
1667907338.77239,397312,-120.19999694824219
1667907492.0478015,401408,-120.12000274658203
1667907643.3030436,405504,-117.73999786376953
1667907792.9729302,409600,-120.37000274658203
1667907942.9949822,413696,-119.37000274658203
1667908091.8347802,417792,-117.37999725341797
1667908242.480117,421888,-121.0
1667908387.6271636,425984,-122.12999725341797
1667908535.9569979,430080,-120.43000030517578
1667908687.7381337,434176,-112.62999725341797
1667908836.6830668,438272,-109.33000183105469
1667909002.0573292,442368,-110.36000061035156
1667909158.8677049,446464,-110.80000305175781
1667909307.870005,450560,-113.22000122070312
1667909456.242404,454656,-112.0999984741211
1667909608.0510876,458752,-112.72000122070312
1667909759.885179,462848,-109.7300033569336
1667909910.8159592,466944,-109.62999725341797
1667910064.7113872,471040,-108.55999755859375
1667910213.135338,475136,-114.43000030517578
1667910362.3086205,479232,-115.79000091552734
1667910512.7315435,483328,-113.19000244140625
1667910662.2928586,487424,-110.19999694824219
1667910809.2772887,491520,-108.87000274658203
1667910959.7933278,495616,-112.20999908447266
1667911108.5401,499712,-112.38999938964844
1667911259.185324,503808,-111.62999725341797
1667911410.3974853,507904,-111.98999786376953
1667911560.7886343,512000,-112.11000061035156
1667911710.9931047,516096,-111.79000091552734
1667911862.718014,520192,-110.97000122070312
1667912012.1784792,524288,-114.51000213623047
1667912161.6387877,528384,-116.36000061035156
1667912313.200995,532480,-118.47000122070312
1667912462.0650985,536576,-116.95999908447266
1667912612.0585399,540672,-117.81999969482422
1667912765.9987707,544768,-116.45999908447266
1667912913.0308256,548864,-116.38999938964844
1667913062.3225992,552960,-115.16999816894531
1667913211.4509711,557056,-114.38999938964844
1667913360.9613323,561152,-113.11000061035156
1667913524.9757779,565248,-113.19000244140625
1667913679.045016,569344,-114.12999725341797
1667913829.1475909,573440,-113.2699966430664
1667913980.6353567,577536,-114.08999633789062
1667914133.8185225,581632,-113.01000213623047
1667914282.612077,585728,-114.08000183105469
1667914434.4360406,589824,-113.91999816894531
1667914587.3398428,593920,-115.2300033569336
1667914737.3971884,598016,-114.91999816894531
1667914888.939154,602112,-117.66999816894531
1667915038.5344858,606208,-117.58999633789062
1667915188.3363235,610304,-113.83000183105469
1667915338.196375,614400,-110.22000122070312
1667915507.9682422,618496,-111.69999694824219
1667915684.9034357,622592,-112.87999725341797
1667915842.0612152,626688,-116.83999633789062
1667915994.7300887,630784,-122.91000366210938
1667916144.5936017,634880,-125.69000244140625
1667916295.407078,638976,-119.3499984741211
1667916447.4226832,643072,-114.05000305175781
1667916595.961316,647168,-110.72000122070312
1667916748.1301303,651264,-112.79000091552734
1667916899.5821364,655360,-112.95999908447266
1667917048.5268066,659456,-114.73999786376953
1667917198.0957143,663552,-113.1500015258789
1667917347.5771458,667648,-114.68000030517578
1667917497.7659814,671744,-112.4800033569336
1667917646.6793127,675840,-112.86000061035156
1667917788.945207,679936,-111.23999786376953
1667917937.4834256,684032,-111.55999755859375
1667918086.5725927,688128,-115.87000274658203
1667918237.792886,692224,-116.9000015258789
1667918387.6621122,696320,-117.43000030517578
1667918538.27609,700416,-111.72000122070312
1667918711.2570934,704512,-111.87000274658203
1667918879.6002839,708608,-112.69999694824219
1667918992.8803844,712704,-115.86000061035156
1667919133.5952034,716800,-115.0999984741211
1667919286.0908887,720896,-113.75
1667919436.1718378,724992,-112.5999984741211
1667919587.5758917,729088,-110.80999755859375
1667919736.9470952,733184,-115.19999694824219
1667919887.585877,737280,-117.55999755859375
1667920033.9530456,741376,-118.2300033569336
1667920183.2829206,745472,-115.7699966430664
1667920333.0515096,749568,-115.88999938964844
1667920481.8676124,753664,-114.87999725341797
1667920644.6729574,757760,-114.36000061035156
1667920797.631574,761856,-111.38999938964844
1667920948.5645537,765952,-110.33999633789062
1667921097.9854486,770048,-112.91000366210938
1667921248.967121,774144,-117.69999694824219
1667921400.51182,778240,-117.23999786376953
1667921549.5367653,782336,-115.2300033569336
1667921699.2423964,786432,-116.2300033569336
1667921849.545611,790528,-117.87999725341797
1667921998.113082,794624,-114.66999816894531
1667922154.536033,798720,-112.8499984741211
1667922308.3458989,802816,-112.0999984741211
1667922444.0495255,806912,-112.9000015258789
1667922594.4464786,811008,-115.56999969482422
1667922745.757873,815104,-114.95999908447266
1667922896.1806655,819200,-115.44999694824219
1667923047.9807687,823296,-113.06999969482422
1667923202.7185707,827392,-113.38999938964844
1667923357.9169753,831488,-112.01000213623047
1667923510.8584864,835584,-112.5199966430664
1667923664.6544785,839680,-113.05999755859375
1667923816.1327877,843776,-111.29000091552734
1667923969.6913693,847872,-112.4000015258789
1667924122.7366738,851968,-116.52999877929688
1667924273.636596,856064,-117.23999786376953
1667924424.5441024,860160,-113.30000305175781
1667924572.8193765,864256,-111.62999725341797
1667924725.3892372,868352,-114.86000061035156
1667924882.8422282,872448,-116.41000366210938
1667925033.8686993,876544,-114.4800033569336
1667925187.0636299,880640,-113.75
1667925351.4587057,884736,-112.26000213623047
1667925502.2530692,888832,-118.5
1667925654.1001294,892928,-119.33999633789062
1667925804.7251234,897024,-115.05999755859375
1667925959.388096,901120,-115.12000274658203
1667926115.7660174,905216,-116.76000213623047
1667926286.6928637,909312,-119.68000030517578
1667926447.4462879,913408,-117.75
1667926557.8145492,917504,-114.33000183105469
1667926669.4279304,921600,-110.31999969482422
1667926781.7592742,925696,-110.04000091552734
1667926903.7300382,929792,-116.83999633789062
1667927050.358809,933888,-116.87000274658203
1667927200.7641158,937984,-119.06999969482422
1667927354.047176,942080,-113.93000030517578
1667927504.691151,946176,-114.83000183105469
1667927657.4953036,950272,-115.73999786376953
1667927806.9322386,954368,-115.5199966430664
1667927957.7443924,958464,-115.3499984741211
1667928109.9205956,962560,-111.66000366210938
1667928258.9497676,966656,-111.27999877929688
1667928411.7613273,970752,-112.58000183105469
1667928563.3356035,974848,-114.7300033569336
1667928720.7733867,978944,-114.68000030517578
1667928878.398581,983040,-110.97000122070312
1667929035.9432726,987136,-112.06999969482422
1667929185.1313152,991232,-111.30000305175781
1667929338.4944978,995328,-110.62000274658203
1667929488.7944999,999424,-112.27999877929688
1667929638.8509836,1003520,-111.91000366210938
1667929788.530732,1007616,-111.41000366210938
1667929940.965335,1011712,-109.0999984741211
1667930091.4258864,1015808,-109.20999908447266
1667930241.2985911,1019904,-112.1500015258789
1667930393.2177227,1024000,-111.25
1667930543.6281674,1028096,-107.63999938964844
1667930695.41793,1032192,-108.69000244140625
1667930842.1901903,1036288,-107.97000122070312
1667930990.0855439,1040384,-109.56999969482422
1667931142.3757157,1044480,-113.5
1667931294.847218,1048576,-112.79000091552734
1667931445.143066,1052672,-112.54000091552734
1667931589.551621,1056768,-110.95999908447266
1667931741.465665,1060864,-112.66000366210938
1667931890.7521284,1064960,-113.26000213623047
1667932041.23634,1069056,-113.16000366210938
1667932192.8971379,1073152,-111.83999633789062
1667932341.8168957,1077248,-109.6500015258789
1667932492.971793,1081344,-113.68000030517578
1667932644.5533793,1085440,-113.36000061035156
1667932795.2013881,1089536,-111.05000305175781
1667932959.0279238,1093632,-110.3499984741211
1667933134.556704,1097728,-111.6500015258789
1667933299.977567,1101824,-110.5
1667933464.766402,1105920,-110.41000366210938
1667933612.06845,1110016,-113.12000274658203
1667933760.9638956,1114112,-116.18000030517578
1667933910.666177,1118208,-112.9000015258789
1667934062.6074874,1122304,-111.69000244140625
1667934211.8032277,1126400,-110.69999694824219
1667934376.3502023,1130496,-111.91999816894531
1667934559.1724057,1134592,-112.16000366210938
1667934774.2505605,1138688,-111.52999877929688
1667934991.1268718,1142784,-111.08999633789062
1667935204.972527,1146880,-113.19000244140625
1667935421.2284675,1150976,-112.9000015258789
1667935632.4845066,1155072,-112.31999969482422
1667935849.2240686,1159168,-114.06999969482422
1667936056.8829367,1163264,-115.79000091552734
