Wall time,Step,Value
1667300233.676829,8192,-500.0
1667300381.5200534,12288,-500.0
1667300526.2062886,16384,-500.0
1667300674.6291645,20480,-500.0
1667300819.1216056,24576,-500.0
1667300960.30529,28672,-500.0
1667301105.1342027,32768,-499.5625
1667301247.1556957,36864,-499.5625
1667301392.5639284,40960,-497.95001220703125
1667301532.6537995,45056,-492.2317199707031
1667301674.570268,49152,-493.3645935058594
1667301820.4621258,53248,-492.4591979980469
1667301963.2624092,57344,-486.9599914550781
1667302108.0545847,61440,-479.7900085449219
1667302250.3165886,65536,-468.989990234375
1667302392.3269713,69632,-451.7300109863281
1667302534.1147504,73728,-428.3399963378906
1667302674.3899305,77824,-392.9599914550781
1667302817.1723204,81920,-336.17999267578125
1667302959.4432402,86016,-289.25
1667303102.4248745,90112,-256.9700012207031
1667303246.503155,94208,-229.39999389648438
1667303417.4008992,98304,-213.7899932861328
1667303570.5384068,102400,-205.52999877929688
1667303749.4766576,106496,-204.0
1667303929.7594235,110592,-192.8000030517578
1667304101.3788729,114688,-187.32000732421875
1667304274.7800121,118784,-184.1999969482422
1667304452.8177953,122880,-178.8300018310547
1667304630.5853715,126976,-169.4199981689453
1667304809.3123238,131072,-159.8800048828125
1667304983.708615,135168,-155.22999572753906
1667305158.249894,139264,-150.5500030517578
1667305329.9178169,143360,-145.30999755859375
1667305502.497057,147456,-140.22999572753906
1667305675.456497,151552,-140.05999755859375
1667305848.6905441,155648,-140.75999450683594
1667306029.6027904,159744,-140.9199981689453
1667306202.2187822,163840,-138.47999572753906
1667306374.5553637,167936,-135.55999755859375
1667306550.032895,172032,-134.4600067138672
1667306723.3588169,176128,-131.61000061035156
1667306898.1211574,180224,-127.33999633789062
1667307075.327865,184320,-125.41000366210938
1667307247.1077332,188416,-126.91000366210938
1667307423.6636364,192512,-133.72000122070312
1667307600.3074484,196608,-136.11000061035156
1667307777.2467988,200704,-138.47999572753906
1667307954.1316452,204800,-135.02999877929688
1667308129.1968818,208896,-135.22000122070312
1667308306.0415325,212992,-131.38999938964844
1667308482.7587347,217088,-130.97000122070312
1667308658.6694934,221184,-134.4600067138672
1667308834.3491404,225280,-135.82000732421875
1667309009.409928,229376,-137.2899932861328
1667309187.6593149,233472,-128.9499969482422
1667309361.6735504,237568,-129.5500030517578
1667309539.397248,241664,-131.4600067138672
1667309715.699248,245760,-130.22999572753906
1667309888.802561,249856,-123.13999938964844
1667310063.4094853,253952,-131.6199951171875
1667310236.6463768,258048,-136.52999877929688
1667310411.6711426,262144,-147.39999389648438
1667310585.7398474,266240,-137.33999633789062
1667310761.3324716,270336,-142.30999755859375
1667310935.480136,274432,-134.86000061035156
1667311110.6681366,278528,-137.3000030517578
1667311282.7568133,282624,-143.3000030517578
1667311453.7227252,286720,-143.00999450683594
1667311629.1369464,290816,-150.5500030517578
1667311800.7450671,294912,-153.24000549316406
1667311969.1173606,299008,-148.3000030517578
1667312141.5717664,303104,-151.83999633789062
1667312312.8286214,307200,-150.6999969482422
1667312484.4623432,311296,-147.2899932861328
1667312655.1178205,315392,-155.41000366210938
1667312829.6503365,319488,-147.52000427246094
1667313001.631242,323584,-151.61000061035156
1667313173.7076743,327680,-154.47000122070312
1667313346.4738753,331776,-153.94000244140625
1667313521.282433,335872,-146.24000549316406
1667313693.152072,339968,-141.3300018310547
1667313865.8465436,344064,-135.3000030517578
1667314040.7005408,348160,-139.16000366210938
1667314213.1878479,352256,-140.55999755859375
1667314384.8120468,356352,-145.07000732421875
1667314560.9463656,360448,-143.47999572753906
1667314733.3225136,364544,-143.8800048828125
1667314903.988789,368640,-160.69000244140625
1667315077.8661852,372736,-159.2100067138672
1667315249.6780648,376832,-156.44000244140625
1667315423.724725,380928,-162.16000366210938
1667315596.3595862,385024,-142.44000244140625
1667315766.1545541,389120,-144.86000061035156
1667315937.167338,393216,-136.85000610351562
1667316105.9544008,397312,-136.50999450683594
1667316276.6024015,401408,-141.1999969482422
1667316451.4891143,405504,-139.63999938964844
1667316623.367189,409600,-142.25999450683594
1667316800.5120409,413696,-144.5399932861328
1667316978.7006245,417792,-144.77999877929688
1667317155.9141939,421888,-146.11000061035156
1667317330.7034967,425984,-153.82000732421875
1667317503.7858217,430080,-154.35000610351562
1667317676.0901842,434176,-147.2100067138672
1667317848.9751146,438272,-143.75
1667318018.9996934,442368,-132.6699981689453
1667318194.1131644,446464,-138.19000244140625
1667318367.776698,450560,-130.99000549316406
1667318544.5429993,454656,-136.69000244140625
1667318719.3970764,458752,-137.22000122070312
1667318892.2145941,462848,-140.63999938964844
1667319062.5281618,466944,-155.9199981689453
1667319237.3486855,471040,-152.89999389648438
1667319417.3148723,475136,-148.7899932861328
1667319597.0667965,479232,-134.50999450683594
1667319770.0734377,483328,-140.25
1667319943.1775599,487424,-139.41000366210938
1667320117.6215153,491520,-139.25999450683594
1667320289.15338,495616,-135.97000122070312
1667320460.133681,499712,-134.0500030517578
1667320633.1068478,503808,-142.44000244140625
1667320808.589456,507904,-147.25
1667320983.6757567,512000,-141.07000732421875
1667321161.900435,516096,-141.60000610351562
1667321334.8884876,520192,-130.7899932861328
1667321510.993722,524288,-135.77999877929688
1667321682.1452415,528384,-141.5500030517578
1667321855.9371612,532480,-141.1699981689453
1667322027.1951568,536576,-149.3000030517578
1667322201.3696008,540672,-148.27999877929688
1667322374.8398533,544768,-139.44000244140625
1667322544.7399926,548864,-136.99000549316406
1667322719.7982557,552960,-138.97999572753906
1667322892.4706008,557056,-134.00999450683594
1667323068.4759011,561152,-145.27999877929688
1667323243.726243,565248,-145.44000244140625
1667323413.1135645,569344,-135.88999938964844
1667323586.7124727,573440,-131.4499969482422
1667323761.825552,577536,-127.55000305175781
