Wall time,Step,Value
1667300209.9415238,8192,-500.0
1667300354.4681983,12288,-500.0
1667300502.6081777,16384,-500.0
1667300656.4336874,20480,-500.0
1667300799.9984658,24576,-500.0
1667300955.0461998,28672,-500.0
1667301097.9270358,32768,-499.5625
1667301239.3337429,36864,-499.5625
1667301390.8583667,40960,-497.625
1667301529.3980186,45056,-497.625
1667301666.7937157,49152,-490.1979064941406
1667301812.0404887,53248,-481.0899963378906
1667301955.232783,57344,-465.0400085449219
1667302100.5659797,61440,-429.7799987792969
1667302242.0593426,65536,-390.8399963378906
1667302382.0850677,69632,-347.239990234375
1667302523.2674153,73728,-310.80999755859375
1667302661.3321195,77824,-278.3699951171875
1667302801.0486915,81920,-248.5399932861328
1667302940.1976454,86016,-228.07000732421875
1667303081.0007246,90112,-218.25999450683594
1667303221.0900996,94208,-203.3000030517578
1667303398.1355472,98304,-187.0500030517578
1667303544.7652102,102400,-181.5500030517578
1667303723.5840566,106496,-170.3699951171875
1667303909.9451716,110592,-172.4199981689453
1667304084.7401135,114688,-170.69000244140625
1667304257.0964363,118784,-167.11000061035156
1667304434.5974412,122880,-164.82000732421875
1667304609.9114814,126976,-154.19000244140625
1667304796.875956,131072,-150.55999755859375
1667304977.8161726,135168,-152.10000610351562
1667305149.0307727,139264,-149.97000122070312
1667305327.2020876,143360,-150.02999877929688
1667305505.108503,147456,-156.14999389648438
1667305681.5302942,151552,-157.05999755859375
1667305851.6653252,155648,-161.99000549316406
1667306026.7088215,159744,-160.57000732421875
1667306199.0913858,163840,-155.36000061035156
1667306369.3998442,167936,-146.25
1667306543.376689,172032,-148.4199981689453
1667306713.5478067,176128,-158.8000030517578
1667306892.3620803,180224,-158.3000030517578
1667307063.6825283,184320,-162.5
1667307234.1041608,188416,-164.0
1667307405.4734044,192512,-156.4499969482422
1667307572.8249328,196608,-157.47000122070312
1667307737.3841355,200704,-151.50999450683594
1667307906.1900418,204800,-154.60000610351562
1667308078.8715186,208896,-159.25999450683594
1667308249.335695,212992,-162.88999938964844
1667308417.9736261,217088,-163.83999633789062
1667308591.104416,221184,-158.57000732421875
1667308768.9487479,225280,-156.2100067138672
1667308946.2860708,229376,-157.6699981689453
1667309124.165682,233472,-157.3300018310547
1667309293.6325772,237568,-160.27999877929688
1667309468.74545,241664,-154.36000061035156
1667309646.353417,245760,-145.5500030517578
1667309822.003313,249856,-145.3800048828125
1667309996.661752,253952,-145.2899932861328
1667310182.5485234,258048,-148.25999450683594
1667310361.7670352,262144,-151.7899932861328
1667310540.404532,266240,-153.5
1667310712.2058916,270336,-149.85000610351562
1667310882.0814073,274432,-152.14999389648438
1667311055.8416276,278528,-154.66000366210938
1667311225.4939122,282624,-149.5800018310547
1667311393.1366436,286720,-157.82000732421875
1667311564.4361603,290816,-163.05999755859375
1667311742.6981335,294912,-158.36000061035156
1667311913.3840613,299008,-158.52000427246094
1667312081.265649,303104,-162.66000366210938
1667312251.5430028,307200,-155.4600067138672
1667312425.914377,311296,-153.77999877929688
1667312599.6092968,315392,-152.49000549316406
1667312767.2901642,319488,-149.4499969482422
1667312937.7074313,323584,-147.08999633789062
1667313107.108029,327680,-148.1199951171875
1667313278.158516,331776,-148.24000549316406
