Wall time,Step,Value
1667666092.2892354,8192,-499.75
1667666300.3562934,12288,-499.75
1667666507.2680957,16384,-497.75
1667666715.4429064,20480,-497.75
1667666918.3131378,24576,-498.5
1667667127.3632188,28672,-498.5
1667667345.2620106,32768,-497.5625
1667667554.652204,36864,-494.0615234375
1667667762.1486337,40960,-491.4624938964844
1667667968.0237868,45056,-485.9879455566406
1667668174.3161492,49152,-485.03125
1667668378.4022381,53248,-478.260009765625
1667668585.8922312,57344,-467.2699890136719
1667668794.4160912,61440,-446.2099914550781
1667668997.4797933,65536,-422.1400146484375
1667669203.779315,69632,-387.6600036621094
1667669409.2552397,73728,-355.8299865722656
1667669614.485128,77824,-327.54998779296875
1667669821.8621616,81920,-297.7799987792969
1667670019.1254709,86016,-271.9800109863281
1667670225.654298,90112,-246.1999969482422
1667670424.9502954,94208,-235.14999389648438
1667670633.342889,98304,-230.7100067138672
1667670835.605296,102400,-231.9499969482422
1667671038.416478,106496,-222.02000427246094
1667671251.8239458,110592,-222.1199951171875
1667671461.1938977,114688,-213.25
1667671665.9243724,118784,-208.52999877929688
1667671875.2680655,122880,-194.7899932861328
1667672087.1715627,126976,-178.6199951171875
1667672302.5706847,131072,-176.89999389648438
1667672512.2457898,135168,-185.02000427246094
1667672724.2518911,139264,-181.25
1667672939.9037373,143360,-178.39999389648438
1667673146.746277,147456,-179.92999267578125
1667673360.7358155,151552,-175.85000610351562
1667673577.9630353,155648,-168.77000427246094
1667673793.1933827,159744,-163.22000122070312
1667674004.0076146,163840,-146.13999938964844
1667674206.5733106,167936,-138.6199951171875
1667674412.098291,172032,-145.36000061035156
1667674619.6570702,176128,-142.35000610351562
1667674830.2494292,180224,-150.1999969482422
1667675030.5894325,184320,-146.17999267578125
1667675233.868372,188416,-147.86000061035156
1667675449.5311196,192512,-143.39999389648438
1667675665.7803116,196608,-141.4600067138672
1667675870.2736962,200704,-140.7899932861328
1667676070.5816672,204800,-140.6699981689453
1667676269.9482415,208896,-142.52000427246094
1667676470.4061205,212992,-136.67999267578125
1667676669.0503287,217088,-135.4600067138672
1667676876.1374164,221184,-134.3699951171875
1667677084.5257924,225280,-142.5800018310547
1667677292.818968,229376,-140.94000244140625
1667677496.154175,233472,-141.0500030517578
1667677703.4964771,237568,-134.38999938964844
1667677904.9752126,241664,-136.1699981689453
1667678103.6876273,245760,-138.5399932861328
1667678304.6835196,249856,-133.44000244140625
1667678522.200473,253952,-144.0399932861328
1667678732.237049,258048,-144.6999969482422
1667678945.0910852,262144,-139.30999755859375
1667679149.5620522,266240,-141.3300018310547
1667679351.6888096,270336,-141.39999389648438
1667679558.5710862,274432,-145.1699981689453
1667679762.1780982,278528,-147.86000061035156
1667679962.1604514,282624,-144.0800018310547
1667680166.374558,286720,-144.97999572753906
1667680366.223691,290816,-142.67999267578125
1667680566.6392887,294912,-143.74000549316406
1667680769.9764254,299008,-151.10000610351562
1667680975.638292,303104,-146.4199981689453
1667681180.0283697,307200,-144.25999450683594
1667681382.8553731,311296,-136.69000244140625
1667681584.6037116,315392,-137.9499969482422
1667681784.6924024,319488,-129.77999877929688
1667681988.1741216,323584,-138.52000427246094
1667682190.148673,327680,-140.13999938964844
1667682399.0500069,331776,-147.8800048828125
1667682603.9111443,335872,-158.97000122070312
1667682812.0241156,339968,-149.19000244140625
1667683025.6171439,344064,-146.74000549316406
1667683234.1861882,348160,-148.57000732421875
1667683452.5792842,352256,-148.6300048828125
1667683666.4460075,356352,-150.3699951171875
1667683882.41384,360448,-148.4199981689453
1667684085.8870087,364544,-154.6300048828125
1667684291.3248725,368640,-152.1300048828125
1667684494.6662629,372736,-155.0
1667684700.9352477,376832,-146.83999633789062
1667684900.204093,380928,-140.69000244140625
1667685108.9121766,385024,-138.5800018310547
1667685320.0504901,389120,-139.49000549316406
1667685525.215635,393216,-143.92999267578125
