Wall time,Step,Value
1667300291.721663,8192,-500.0
1667300440.0383377,12288,-500.0
1667300581.264273,16384,-500.0
1667300728.7227201,20480,-493.2121276855469
1667300886.8566124,24576,-495.3333435058594
1667301032.5033808,28672,-495.4285583496094
1667301180.1142128,32768,-496.46875
1667301325.6679013,36864,-496.5230712890625
1667301473.1860747,40960,-497.17498779296875
1667301617.06126,45056,-497.2098693847656
1667301752.5485237,49152,-497.6458435058594
1667301905.8810048,53248,-497.67010498046875
1667302048.616009,57344,-497.739990234375
1667302183.3704548,61440,-497.739990234375
1667302326.3616524,65536,-497.739990234375
1667302473.5214722,69632,-497.739990234375
1667302621.3012633,73728,-499.9800109863281
1667302766.2010386,77824,-499.9800109863281
1667302914.3324018,81920,-500.0
1667303059.8379724,86016,-500.0
1667303210.6923294,90112,-500.0
1667303357.2552364,94208,-498.44000244140625
1667303499.0214891,98304,-496.07000732421875
1667303648.3985705,102400,-483.0799865722656
1667303799.5490577,106496,-472.6000061035156
1667303949.5536625,110592,-461.6600036621094
1667304095.0738256,114688,-439.1099853515625
1667304243.090513,118784,-412.3399963378906
1667304391.6984344,122880,-388.4100036621094
1667304539.7068214,126976,-350.4599914550781
1667304698.1568282,131072,-314.7300109863281
1667304849.3868542,135168,-273.9200134277344
1667304995.1300998,139264,-239.66000366210938
1667305143.63895,143360,-216.27000427246094
1667305290.4393399,147456,-198.39999389648438
1667305438.6644514,151552,-191.2899932861328
1667305589.3138955,155648,-181.72000122070312
1667305742.634522,159744,-176.75
1667305890.3737009,163840,-167.41000366210938
1667306032.351234,167936,-151.50999450683594
1667306176.171072,172032,-145.5
1667306322.9410958,176128,-142.02000427246094
1667306473.872728,180224,-139.55999755859375
1667306618.5859828,184320,-138.7100067138672
1667306766.4548407,188416,-137.6999969482422
1667306914.9531744,192512,-137.25
1667307065.282697,196608,-132.3800048828125
1667307212.4232807,200704,-130.9499969482422
1667307360.8977983,204800,-123.43000030517578
1667307509.2107975,208896,-121.38999938964844
1667307656.7600343,212992,-121.23999786376953
1667307803.460161,217088,-120.87999725341797
1667307950.3201976,221184,-124.81999969482422
1667308095.9173772,225280,-120.98999786376953
1667308243.2496996,229376,-122.22000122070312
1667308407.2777877,233472,-120.41000366210938
1667308576.9227183,237568,-122.61000061035156
1667308724.2787914,241664,-121.44999694824219
1667308895.1451128,245760,-126.37999725341797
1667309051.4333386,249856,-127.66000366210938
1667309201.064279,253952,-129.2100067138672
1667309344.0025957,258048,-131.14999389648438
1667309493.1317914,262144,-129.72000122070312
1667309640.9973505,266240,-129.72000122070312
1667309802.7402086,270336,-135.14999389648438
1667309951.1496038,274432,-131.02999877929688
1667310106.6030254,278528,-130.17999267578125
1667310255.524403,282624,-128.08999633789062
1667310405.415051,286720,-124.94000244140625
1667310554.6186154,290816,-122.97000122070312
1667310699.534136,294912,-118.79000091552734
1667310848.0448368,299008,-121.19000244140625
1667310995.9645078,303104,-123.11000061035156
1667311144.0723422,307200,-125.69999694824219
1667311291.5638855,311296,-128.94000244140625
1667311438.5396285,315392,-127.01000213623047
1667311584.48343,319488,-121.51000213623047
1667311726.3556035,323584,-123.31999969482422
1667311886.3843896,327680,-121.1500015258789
1667312041.6256385,331776,-124.16000366210938
1667312183.339083,335872,-118.5199966430664
1667312329.314303,339968,-119.66000366210938
1667312476.4173787,344064,-118.80999755859375
1667312627.8370697,348160,-121.23999786376953
1667312776.4322221,352256,-119.38999938964844
1667312924.5177221,356352,-117.6500015258789
1667313073.8653405,360448,-117.37000274658203
1667313219.7049804,364544,-117.93000030517578
1667313367.0042157,368640,-117.04000091552734
1667313509.796045,372736,-123.51000213623047
1667313654.9994977,376832,-122.4800033569336
1667313804.1422913,380928,-125.69999694824219
1667313951.034395,385024,-120.30000305175781
1667314098.7131066,389120,-120.45999908447266
1667314243.7367566,393216,-116.80000305175781
1667314392.0617414,397312,-117.54000091552734
1667314538.816049,401408,-116.19000244140625
1667314682.6676066,405504,-118.30000305175781
1667314831.0897646,409600,-120.72000122070312
1667314995.4504588,413696,-117.87999725341797
1667315155.520056,417792,-113.58000183105469
1667315303.7726579,421888,-111.79000091552734
1667315451.6931903,425984,-111.33999633789062
1667315597.968737,430080,-113.7300033569336
1667315740.7370358,434176,-116.05000305175781
1667315887.861385,438272,-116.73999786376953
1667316031.4078565,442368,-117.1500015258789
1667316176.3899925,446464,-119.70999908447266
1667316326.8149657,450560,-117.16999816894531
1667316475.1917338,454656,-118.93000030517578
1667316625.6353593,458752,-118.11000061035156
1667316776.7528768,462848,-124.56999969482422
1667316923.3812788,466944,-124.13999938964844
1667317071.2202477,471040,-123.1500015258789
1667317216.9064906,475136,-119.08999633789062
1667317365.6048024,479232,-124.3499984741211
1667317514.8692095,483328,-122.79000091552734
1667317661.0976937,487424,-126.3499984741211
1667317801.835202,491520,-120.79000091552734
1667317944.528092,495616,-117.48999786376953
1667318086.230264,499712,-115.13999938964844
1667318233.29302,503808,-115.52999877929688
1667318379.3721347,507904,-117.91999816894531
1667318525.068399,512000,-119.8499984741211
1667318671.3227737,516096,-121.05999755859375
1667318816.8952732,520192,-119.19999694824219
1667318962.7263045,524288,-121.3499984741211
1667319106.6074333,528384,-121.5
1667319254.3427076,532480,-118.61000061035156
1667319417.4275181,536576,-118.7699966430664
1667319565.4158993,540672,-120.0999984741211
1667319708.668898,544768,-123.38999938964844
1667319858.0986228,548864,-126.2300033569336
1667320007.910601,552960,-127.66999816894531
1667320158.2851408,557056,-125.08000183105469
1667320308.1664124,561152,-128.05999755859375
1667320475.2111888,565248,-128.3300018310547
1667320623.3052433,569344,-127.27999877929688
1667320772.8672595,573440,-123.41000366210938
1667320919.106627,577536,-125.3499984741211
1667321066.806517,581632,-126.6500015258789
1667321214.4931254,585728,-131.0800018310547
1667321361.9997349,589824,-132.66000366210938
1667321509.2336085,593920,-128.64999389648438
1667321678.6932478,598016,-124.01000213623047
1667321833.4791338,602112,-119.5
1667321982.0269575,606208,-121.2699966430664
