Wall time,Step,Value
1666961585.355054,8192,-500.0
1666961762.1598248,12288,-500.0
1666961919.6244519,16384,-494.5
1666962069.3019724,20480,-494.5
1666962244.0710042,24576,-494.7916564941406
1666962425.0247514,28672,-494.7916564941406
1666962586.4327352,32768,-493.75
1666962738.1239476,36864,-493.75
1666962893.4164784,40960,-493.88751220703125
1666963045.951872,45056,-490.2804870605469
1666963198.336146,49152,-484.5257873535156
1666963353.9232566,53248,-471.44000244140625
1666963505.1316595,57344,-451.6400146484375
1666963657.2703059,61440,-421.0299987792969
1666963808.5128646,65536,-355.2099914550781
1666963960.309963,69632,-273.54998779296875
1666964114.5823488,73728,-203.75999450683594
1666964269.8310633,77824,-164.99000549316406
1666964421.111349,81920,-155.66000366210938
1666964581.2878964,86016,-159.19000244140625
1666964740.0028558,90112,-163.1699981689453
1666964896.1975844,94208,-163.61000061035156
1666965038.661272,98304,-164.13999938964844
1666965192.6210632,102400,-162.61000061035156
1666965344.6030047,106496,-168.07000732421875
1666965499.661255,110592,-171.02999877929688
1666965653.9180615,114688,-175.88999938964844
1666965806.8504236,118784,-176.3699951171875
1666965963.713122,122880,-181.72000122070312
1666966119.2633393,126976,-184.41000366210938
1666966270.2838957,131072,-189.72000122070312
1666966425.3734777,135168,-192.1999969482422
1666966581.8245587,139264,-192.8699951171875
1666966738.1769526,143360,-182.25999450683594
1666966893.8097873,147456,-184.4199981689453
1666967050.6955209,151552,-180.0399932861328
1666967222.9506543,155648,-179.30999755859375
1666967382.840238,159744,-183.86000061035156
1666967540.7137535,163840,-181.74000549316406
1666967697.0341556,167936,-179.47999572753906
1666967851.433266,172032,-176.5500030517578
1666967973.5454538,176128,-174.3699951171875
1666968126.1494532,180224,-165.27000427246094
1666968281.0732946,184320,-161.0399932861328
1666968436.9583142,188416,-162.3300018310547
1666968592.2296855,192512,-163.2899932861328
1666968749.5856407,196608,-162.42999267578125
1666968908.3584535,200704,-162.36000061035156
1666969062.6755724,204800,-159.58999633789062
1666969206.8955452,208896,-153.1199951171875
1666969359.166975,212992,-151.64999389648438
1666969514.9475327,217088,-149.13999938964844
1666969670.2591856,221184,-150.5800018310547
1666969820.7567854,225280,-155.6300048828125
1666969972.751722,229376,-156.60000610351562
1666970130.7042563,233472,-156.66000366210938
1666970293.3494282,237568,-153.27000427246094
1666970449.555105,241664,-150.8699951171875
1666970603.732394,245760,-153.47999572753906
1666970760.3914642,249856,-158.89999389648438
1666970917.099942,253952,-155.2100067138672
1666971073.1302533,258048,-157.6999969482422
1666971228.1092014,262144,-155.91000366210938
1666971381.9843376,266240,-151.4499969482422
1666971537.7102137,270336,-154.5399932861328
1666971691.8061175,274432,-149.13999938964844
1666971845.2463725,278528,-146.8000030517578
1666972000.2258396,282624,-148.8000030517578
1666972155.1138127,286720,-149.16000366210938
1666972310.080113,290816,-150.38999938964844
1666972465.2674532,294912,-150.08999633789062
1666972621.026426,299008,-147.00999450683594
1666972776.85946,303104,-142.94000244140625
1666972931.910081,307200,-140.75
1666973086.9435024,311296,-141.75999450683594
1666973234.8633687,315392,-143.91000366210938
1666973389.0706327,319488,-144.13999938964844
1666973547.2773697,323584,-144.22999572753906
1666973702.4316456,327680,-144.13999938964844
1666973856.8878396,331776,-143.39999389648438
1666974011.7631218,335872,-141.2899932861328
1666974164.055755,339968,-145.41000366210938
1666974324.1441386,344064,-145.64999389648438
1666974504.8823347,348160,-141.47000122070312
1666974666.5242045,352256,-139.60000610351562
