Wall time,Step,Value
1666961555.1204226,8192,-500.0
1666961717.7737935,12288,-500.0
1666961891.9351468,16384,-494.5
1666962072.334159,20480,-494.5
1666962248.4309995,24576,-494.7916564941406
1666962426.2362375,28672,-494.7916564941406
1666962607.580276,32768,-492.71875
1666962788.2668188,36864,-471.2112731933594
1666962968.7581158,40960,-450.6896667480469
1666963148.036013,45056,-410.9599914550781
1666963326.7220519,49152,-332.6000061035156
1666963495.3962317,53248,-250.44000244140625
1666963670.441922,57344,-178.77999877929688
1666963849.4068227,61440,-147.5399932861328
1666964028.248709,65536,-130.4600067138672
1666964207.1592607,69632,-126.55000305175781
1666964384.9815388,73728,-124.6500015258789
1666964563.6861367,77824,-128.4499969482422
1666964742.0692477,81920,-128.60000610351562
1666964917.3602698,86016,-129.8000030517578
1666965078.5110867,90112,-127.66999816894531
1666965246.9021597,94208,-122.62000274658203
1666965423.3034346,98304,-120.12999725341797
1666965604.416063,102400,-115.93000030517578
1666965783.8248944,106496,-117.83999633789062
1666965960.4989007,110592,-117.6500015258789
1666966137.7455797,114688,-119.69999694824219
1666966315.438558,118784,-119.0199966430664
1666966495.0524807,122880,-121.91999816894531
1666966674.12294,126976,-123.3499984741211
1666966852.5273604,131072,-127.19999694824219
1666967030.1591654,135168,-125.63999938964844
1666967207.9958758,139264,-123.69999694824219
1666967386.9436185,143360,-119.01000213623047
1666967564.8805842,147456,-119.68000030517578
1666967743.3859289,151552,-120.9800033569336
1666967921.6628673,155648,-122.75
1666968101.7354937,159744,-122.62000274658203
1666968281.1346025,163840,-121.94999694824219
1666968455.3494968,167936,-121.44000244140625
1666968632.3286595,172032,-121.2300033569336
1666968807.1195402,176128,-120.16000366210938
1666968984.6321514,180224,-121.0199966430664
1666969162.7934568,184320,-120.7300033569336
1666969341.9635541,188416,-121.23999786376953
1666969518.0656767,192512,-122.5199966430664
1666969694.9901483,196608,-126.47000122070312
1666969873.2804027,200704,-127.16000366210938
1666970052.094822,204800,-126.1500015258789
1666970227.5519142,208896,-126.47000122070312
1666970409.1160827,212992,-124.22000122070312
1666970585.5585694,217088,-126.08000183105469
1666970764.2461615,221184,-123.05999755859375
1666970942.1197162,225280,-122.55000305175781
1666971121.53084,229376,-119.08000183105469
1666971299.707488,233472,-120.72000122070312
1666971477.4227471,237568,-123.22000122070312
1666971654.182902,241664,-124.20999908447266
1666971832.7943804,245760,-125.33000183105469
1666972010.9667659,249856,-122.81999969482422
1666972187.5795083,253952,-124.08999633789062
1666972364.7065468,258048,-119.43000030517578
1666972538.49511,262144,-120.62000274658203
1666972715.0505111,266240,-119.69999694824219
1666972891.6716766,270336,-122.72000122070312
1666973064.0237381,274432,-124.26000213623047
1666973240.9217,278528,-122.83000183105469
1666973414.3284369,282624,-121.29000091552734
1666973592.5681098,286720,-122.19000244140625
1666973771.9350898,290816,-122.16000366210938
1666973948.5950696,294912,-122.6500015258789
1666974125.2185833,299008,-119.19999694824219
1666974302.8963585,303104,-118.55999755859375
1666974481.4905562,307200,-116.63999938964844
1666974661.5622635,311296,-117.47000122070312
1666974840.0862515,315392,-120.83000183105469
1666975015.308655,319488,-121.05999755859375
1666975194.2956278,323584,-121.02999877929688
1666975372.796034,327680,-121.11000061035156
1666975551.4025104,331776,-123.76000213623047
1666975729.3566885,335872,-124.80000305175781
1666975908.7523556,339968,-123.9800033569336
1666976087.6311877,344064,-120.76000213623047
1666976265.0594933,348160,-117.58000183105469
1666976443.5113316,352256,-121.9000015258789
1666976621.6291306,356352,-125.48999786376953
1666976802.217244,360448,-129.19000244140625
1666976981.6515248,364544,-128.92999267578125
1666977160.0957782,368640,-125.20999908447266
1666977336.957138,372736,-126.06999969482422
1666977513.803305,376832,-122.36000061035156
1666977690.5638309,380928,-123.23999786376953
1666977867.5347574,385024,-121.79000091552734
1666978040.7694628,389120,-119.66999816894531
1666978219.2380965,393216,-116.76000213623047
1666978392.8718574,397312,-114.30000305175781
1666978571.3871481,401408,-119.63999938964844
1666978749.2554193,405504,-119.18000030517578
1666978925.819293,409600,-116.55000305175781
1666979103.2033443,413696,-112.72000122070312
1666979281.0561278,417792,-113.68000030517578
1666979459.9494743,421888,-115.87999725341797
1666979637.5263286,425984,-118.0199966430664
1666979815.5526576,430080,-116.73999786376953
1666979992.7895143,434176,-112.16000366210938
1666980167.2741776,438272,-112.61000061035156
1666980347.0912435,442368,-111.70999908447266
1666980524.2296507,446464,-111.25
1666980703.4028676,450560,-113.87999725341797
1666980883.3342154,454656,-111.7699966430664
1666981061.8462646,458752,-111.5999984741211
1666981241.1270359,462848,-111.31999969482422
1666981419.5900302,466944,-115.0
1666981598.3623638,471040,-116.23999786376953
1666981769.3589358,475136,-114.33999633789062
1666981947.327835,479232,-111.69000244140625
1666982127.357857,483328,-110.56999969482422
1666982305.623037,487424,-109.41999816894531
1666982482.383499,491520,-111.37999725341797
1666982653.2954035,495616,-111.55000305175781
1666982817.7021778,499712,-112.22000122070312
1666982995.6093628,503808,-109.0999984741211
1666983171.8100863,507904,-110.1500015258789
1666983350.0408382,512000,-108.38999938964844
1666983527.5116022,516096,-110.54000091552734
1666983704.9269645,520192,-112.80999755859375
1666983878.379811,524288,-115.94999694824219
1666984054.8775258,528384,-114.11000061035156
1666984231.6971755,532480,-110.70999908447266
1666984400.5959513,536576,-109.26000213623047
1666984580.4500628,540672,-108.51000213623047
1666984763.4018662,544768,-109.20999908447266
1666984940.5522435,548864,-108.19000244140625
1666985119.1771903,552960,-108.44999694824219
1666985297.054111,557056,-106.93000030517578
1666985474.5403655,561152,-104.58000183105469
1666985648.7975826,565248,-104.86000061035156
1666985826.8016365,569344,-106.1500015258789
1666986005.3907049,573440,-105.77999877929688
1666986182.6969528,577536,-105.44000244140625
1666986361.5098677,581632,-104.55000305175781
1666986539.4733512,585728,-101.80999755859375
1666986716.063862,589824,-102.36000061035156
1666986897.2111344,593920,-104.22000122070312
1666987071.0120633,598016,-102.61000061035156
1666987249.0342367,602112,-106.20999908447266
1666987426.4360828,606208,-105.3499984741211
1666987605.605943,610304,-104.19000244140625
1666987780.8219075,614400,-98.77999877929688
1666987957.9426072,618496,-98.54000091552734
1666988136.6590958,622592,-100.27999877929688
1666988313.2701252,626688,-100.30000305175781
1666988490.822701,630784,-101.44000244140625
1666988668.9873796,634880,-102.7699966430664
1666988847.2908754,638976,-100.01000213623047
1666989028.0274348,643072,-100.22000122070312
1666989207.1766136,647168,-98.56999969482422
1666989386.4283378,651264,-102.12000274658203
1666989565.6604185,655360,-101.08999633789062
1666989742.9392452,659456,-99.7300033569336
1666989921.4428859,663552,-101.2300033569336
1666990098.5820239,667648,-101.5199966430664
1666990279.1361125,671744,-99.68000030517578
1666990457.8887937,675840,-100.4800033569336
1666990634.6358979,679936,-99.77999877929688
1666990813.6677074,684032,-96.2300033569336
1666990990.9934573,688128,-98.12000274658203
1666991170.9163888,692224,-100.5999984741211
1666991347.328558,696320,-96.51000213623047
1666991524.7997284,700416,-95.13999938964844
1666991702.2032442,704512,-97.66000366210938
1666991879.6356263,708608,-99.2699966430664
1666992057.7164536,712704,-100.58000183105469
1666992236.1386616,716800,-97.52999877929688
1666992414.9348984,720896,-93.12999725341797
1666992592.6417432,724992,-94.94999694824219
1666992768.2647152,729088,-96.38999938964844
1666992946.9813564,733184,-96.55000305175781
1666993124.176449,737280,-99.27999877929688
1666993301.9317858,741376,-96.05999755859375
1666993478.107997,745472,-92.81999969482422
1666993657.3656015,749568,-95.70999908447266
1666993835.9666686,753664,-96.0199966430664
1666994011.4386404,757760,-96.83999633789062
1666994189.230467,761856,-98.58999633789062
1666994366.1381373,765952,-98.70999908447266
1666994544.1962483,770048,-99.37000274658203
1666994717.2553163,774144,-96.80999755859375
1666994893.9807763,778240,-95.12999725341797
1666995072.0370238,782336,-95.4000015258789
1666995252.1416984,786432,-94.23999786376953
1666995430.951074,790528,-95.33999633789062
1666995611.877711,794624,-98.93000030517578
1666995791.425912,798720,-99.13999938964844
1666995970.4507189,802816,-100.80999755859375
1666996148.43888,806912,-94.51000213623047
1666996327.13269,811008,-93.27999877929688
1666996500.4986942,815104,-92.2300033569336
1666996679.0541317,819200,-93.98999786376953
1666996855.4675093,823296,-93.01000213623047
1666997033.006347,827392,-96.7699966430664
1666997210.9053264,831488,-99.45999908447266
1666997388.6766922,835584,-101.66000366210938
1666997567.0995207,839680,-98.37999725341797
1666997739.5845795,843776,-99.05000305175781
1666997915.9598053,847872,-98.80999755859375
1666998092.7406287,851968,-99.1500015258789
1666998269.6039863,856064,-100.44000244140625
1666998447.9368737,860160,-99.30000305175781
1666998626.6666384,864256,-102.29000091552734
1666998804.015813,868352,-104.41999816894531
1666998984.0773168,872448,-101.88999938964844
1666999163.2642305,876544,-105.0199966430664
1666999337.1519754,880640,-101.29000091552734
1666999515.3747663,884736,-99.37000274658203
1666999690.5754662,888832,-100.02999877929688
1666999870.108558,892928,-100.94999694824219
1667000048.6636508,897024,-104.30999755859375
1667000225.6486285,901120,-106.12999725341797
1667000399.9280987,905216,-103.13999938964844
1667000542.4444935,909312,-102.29000091552734
1667000721.1861868,913408,-102.01000213623047
1667000897.881044,917504,-100.86000061035156
1667001068.2271533,921600,-103.44999694824219
1667001245.8610022,925696,-105.79000091552734
1667001416.5344436,929792,-108.95999908447266
1667001590.7872562,933888,-107.58000183105469
1667001769.2446418,937984,-103.27999877929688
1667001939.8187504,942080,-106.52999877929688
1667002116.6367285,946176,-107.80999755859375
1667002295.151023,950272,-108.30999755859375
1667002469.2033274,954368,-107.6500015258789
1667002646.0073345,958464,-107.02999877929688
1667002815.3252318,962560,-105.16000366210938
1667002991.9577646,966656,-103.69999694824219
1667003169.4876156,970752,-103.48999786376953
1667003347.8079674,974848,-104.95999908447266
1667003524.2274528,978944,-106.88999938964844
1667003700.4899442,983040,-106.23999786376953
1667003877.1097965,987136,-106.08000183105469
1667004054.608727,991232,-103.6500015258789
1667004222.7916546,995328,-102.19999694824219
