Wall time,Step,Value
1667300193.4272652,8192,-498.3125
1667300355.4801757,12288,-498.3125
1667300514.8670359,16384,-493.65625
1667300677.3155854,20480,-493.65625
1667300838.2361703,24576,-485.25
1667300996.5081632,28672,-483.0408020019531
1667301161.236139,32768,-476.0
1667301321.1222897,36864,-453.0533447265625
1667301486.8994467,40960,-434.2386474609375
1667301649.5166848,45056,-419.5
1667301810.8836737,49152,-377.4100036621094
1667301975.3863184,53248,-333.3900146484375
1667302136.0221634,57344,-278.17999267578125
1667302301.772456,61440,-229.4199981689453
1667302463.002035,65536,-203.07000732421875
1667302625.315243,69632,-183.74000549316406
1667302788.4746962,73728,-167.89999389648438
1667302949.6492074,77824,-153.0500030517578
1667303115.863563,81920,-136.3800048828125
1667303277.2501106,86016,-128.6199951171875
1667303442.3973951,90112,-127.51000213623047
1667303610.938731,94208,-125.9000015258789
1667303778.1073077,98304,-122.97000122070312
1667303947.5797477,102400,-119.33999633789062
1667304115.7638333,106496,-118.4800033569336
1667304284.2640636,110592,-116.87999725341797
1667304453.2244523,114688,-119.11000061035156
1667304620.6592803,118784,-115.45999908447266
1667304784.8904364,122880,-114.20999908447266
1667304946.4943867,126976,-111.4800033569336
1667305109.474061,131072,-111.05000305175781
1667305271.5393536,135168,-109.45999908447266
1667305430.7993674,139264,-106.91000366210938
1667305593.4139557,143360,-108.44000244140625
1667305756.93844,147456,-110.69000244140625
1667305924.0629106,151552,-109.2300033569336
1667306090.8923295,155648,-104.08000183105469
1667306256.4386609,159744,-109.91999816894531
1667306424.0611842,163840,-113.41000366210938
1667306589.8209622,167936,-115.54000091552734
1667306756.381613,172032,-110.6500015258789
1667306924.0623415,176128,-116.66999816894531
1667307088.952013,180224,-116.37999725341797
1667307257.2594328,184320,-113.87999725341797
1667307424.8184586,188416,-107.86000061035156
1667307591.593572,192512,-107.51000213623047
1667307758.4779952,196608,-102.2300033569336
1667307926.4202259,200704,-108.55999755859375
1667308092.1219764,204800,-107.77999877929688
1667308260.0104563,208896,-110.12999725341797
1667308426.072882,212992,-107.66999816894531
1667308592.7444448,217088,-108.76000213623047
1667308761.0344331,221184,-105.66999816894531
1667308926.9333076,225280,-110.77999877929688
1667309093.9877102,229376,-113.08000183105469
1667309261.1792512,233472,-112.63999938964844
1667309426.3951678,237568,-106.23999786376953
1667309595.3504565,241664,-103.58000183105469
1667309760.9221268,245760,-101.36000061035156
1667309927.090365,249856,-111.04000091552734
1667310095.8937385,253952,-115.31999969482422
1667310261.378457,258048,-113.13999938964844
1667310428.4130988,262144,-102.5999984741211
1667310595.2708576,266240,-103.76000213623047
1667310762.063175,270336,-104.76000213623047
1667310930.025167,274432,-104.76000213623047
1667311093.2529058,278528,-104.22000122070312
1667311261.668344,282624,-111.0999984741211
1667311429.8032477,286720,-109.88999938964844
1667311595.659301,290816,-109.4800033569336
1667311763.4759345,294912,-103.83000183105469
1667311931.3570364,299008,-105.9800033569336
1667312099.511419,303104,-100.80000305175781
1667312267.6608512,307200,-105.69999694824219
1667312436.455737,311296,-107.88999938964844
1667312602.5762885,315392,-105.2699966430664
1667312770.192885,319488,-107.11000061035156
1667312937.4955132,323584,-103.47000122070312
1667313103.993815,327680,-104.52999877929688
1667313270.4214525,331776,-105.13999938964844
1667313434.921556,335872,-104.83999633789062
1667313600.944727,339968,-101.62000274658203
1667313768.58145,344064,-102.16999816894531
1667313935.7144675,348160,-105.79000091552734
1667314104.4201553,352256,-106.02999877929688
1667314272.35628,356352,-109.19000244140625
1667314442.507295,360448,-106.66000366210938
1667314609.9940693,364544,-105.70999908447266
1667314770.771973,368640,-100.73999786376953
1667314932.373592,372736,-103.93000030517578
1667315091.0916786,376832,-106.70999908447266
1667315252.3562014,380928,-106.05999755859375
1667315411.937718,385024,-103.08000183105469
1667315571.2130837,389120,-106.86000061035156
1667315732.8276749,393216,-103.87999725341797
1667315890.5286462,397312,-104.33999633789062
1667316051.5607781,401408,-102.0199966430664
1667316211.1313922,405504,-102.8499984741211
1667316369.3512883,409600,-102.06999969482422
1667316529.964567,413696,-105.5199966430664
1667316688.138931,417792,-104.25
1667316847.4159136,421888,-106.29000091552734
1667317007.4217505,425984,-104.13999938964844
1667317168.2821171,430080,-102.9800033569336
1667317328.9395785,434176,-101.58999633789062
1667317488.2347012,438272,-108.23999786376953
1667317650.5368905,442368,-107.62000274658203
1667317810.2185616,446464,-108.63999938964844
1667317970.6056633,450560,-99.91000366210938
1667318132.0921764,454656,-102.33000183105469
1667318289.8619285,458752,-102.44999694824219
1667318451.9051337,462848,-104.62999725341797
1667318610.7335181,466944,-107.37999725341797
1667318771.1134663,471040,-106.05999755859375
1667318931.5413458,475136,-106.58000183105469
1667319090.9242194,479232,-106.27999877929688
1667319252.2851589,483328,-105.8499984741211
1667319411.551845,487424,-98.37999725341797
1667319572.163199,491520,-105.79000091552734
1667319731.108511,495616,-105.6500015258789
