Wall time,Step,Value
1667300242.6813374,8192,-493.0625
1667300366.8921468,12288,-475.8823547363281
1667300489.2700408,16384,-447.6060485839844
1667300614.0800962,20480,-449.3428649902344
1667300739.9271805,24576,-459.3265380859375
1667300862.623326,28672,-460.92156982421875
1667300986.797045,32768,-465.4153747558594
1667301108.2923298,36864,-463.22857666015625
1667301231.8815145,40960,-465.9012451171875
1667301353.0895112,45056,-460.1505432128906
1667301474.9359744,49152,-453.6499938964844
1667301601.7982912,53248,-432.4700012207031
1667301711.8974295,57344,-425.04998779296875
1667301828.9141643,61440,-408.6499938964844
1667301938.1066165,65536,-385.010009765625
1667302059.1179829,69632,-356.2799987792969
1667302182.6341026,73728,-313.3599853515625
1667302304.7262115,77824,-290.67999267578125
1667302429.5719335,81920,-269.1099853515625
1667302549.519347,86016,-250.07000732421875
1667302673.6242986,90112,-234.86000061035156
1667302794.967667,94208,-232.27999877929688
1667302916.3170054,98304,-233.88999938964844
1667303050.0339131,102400,-234.19000244140625
1667303174.267559,106496,-229.4499969482422
1667303320.7252903,110592,-228.7100067138672
1667303458.6676083,114688,-221.69000244140625
1667303595.4556563,118784,-214.10000610351562
1667303757.1850939,122880,-208.72000122070312
1667303939.3993056,126976,-206.99000549316406
1667304123.0801234,131072,-211.6999969482422
1667304306.8090012,135168,-209.42999267578125
1667304489.982429,139264,-212.9600067138672
1667304677.7139468,143360,-203.8000030517578
1667304860.249756,147456,-204.69000244140625
1667305046.9005697,151552,-197.0500030517578
1667305229.6567802,155648,-185.64999389648438
1667305415.4566746,159744,-188.02000427246094
1667305600.6006336,163840,-187.47999572753906
1667305782.650432,167936,-186.9600067138672
1667305963.7501044,172032,-186.74000549316406
1667306145.6096385,176128,-189.60000610351562
1667306329.4236293,180224,-182.9499969482422
1667306510.5322883,184320,-174.27000427246094
1667306693.9769418,188416,-173.25
1667306878.1518018,192512,-177.80999755859375
1667307060.5758924,196608,-187.88999938964844
1667307241.9508758,200704,-178.88999938964844
1667307423.9138157,204800,-178.8699951171875
1667307603.8192906,208896,-182.88999938964844
1667307781.5755754,212992,-183.52000427246094
1667307959.398443,217088,-180.11000061035156
1667308146.1561203,221184,-183.74000549316406
1667308326.7273705,225280,-187.7899932861328
1667308505.9357,229376,-187.94000244140625
1667308690.4594839,233472,-182.85000610351562
1667308871.649723,237568,-182.7899932861328
1667309050.5836096,241664,-181.77999877929688
1667309230.6314673,245760,-180.2899932861328
1667309413.5924268,249856,-178.94000244140625
1667309595.3504415,253952,-184.4600067138672
1667309773.7140002,258048,-187.4600067138672
1667309958.773178,262144,-190.4199981689453
1667310140.4960995,266240,-190.5500030517578
1667310326.9035237,270336,-196.66000366210938
1667310507.8299055,274432,-195.52000427246094
1667310689.4566832,278528,-203.02999877929688
1667310874.7366214,282624,-194.44000244140625
1667311055.1580844,286720,-188.64999389648438
1667311238.960303,290816,-186.22999572753906
1667311422.3328037,294912,-182.02999877929688
1667311605.5124636,299008,-176.55999755859375
1667311790.137752,303104,-174.86000061035156
1667311973.305657,307200,-165.24000549316406
1667312120.1324427,311296,-163.6699981689453
1667312293.8051045,315392,-166.22000122070312
1667312473.293003,319488,-162.25999450683594
1667312654.6968567,323584,-164.00999450683594
1667312838.9162288,327680,-165.58999633789062
1667313019.7033203,331776,-168.38999938964844
1667313197.864981,335872,-164.30999755859375
1667313379.8755815,339968,-164.33999633789062
1667313562.029308,344064,-161.75999450683594
1667313738.2044206,348160,-159.75
1667313920.5804737,352256,-163.3300018310547
1667314100.7653563,356352,-165.86000061035156
1667314283.0717578,360448,-169.88999938964844
1667314464.8777905,364544,-183.86000061035156
1667314648.024533,368640,-177.88999938964844
1667314830.320682,372736,-172.55999755859375
1667315010.1277852,376832,-180.61000061035156
1667315194.4286785,380928,-178.75
1667315374.7239265,385024,-187.49000549316406
1667315556.7947547,389120,-187.57000732421875
1667315738.3486288,393216,-195.1199951171875
1667315917.27591,397312,-188.39999389648438
1667316097.0851612,401408,-192.66000366210938
1667316274.931178,405504,-184.5800018310547
1667316458.1060164,409600,-185.25999450683594
1667316640.2768052,413696,-190.17999267578125
1667316823.7779005,417792,-185.02000427246094
1667317010.3549964,421888,-172.47999572753906
1667317190.3871503,425984,-168.0399932861328
1667317376.7107682,430080,-164.5
1667317558.4354274,434176,-165.07000732421875
1667317741.8965838,438272,-154.3300018310547
1667317924.6847174,442368,-155.11000061035156
1667318104.7034922,446464,-156.75
1667318288.962722,450560,-157.36000061035156
1667318470.1562026,454656,-164.57000732421875
1667318652.7901638,458752,-170.11000061035156
1667318832.0187645,462848,-169.88999938964844
1667319011.8276925,466944,-170.1699981689453
1667319192.88421,471040,-163.8300018310547
1667319373.4777253,475136,-158.5800018310547
1667319556.5902405,479232,-162.7100067138672
1667319737.0014439,483328,-171.1699981689453
1667319889.5852373,487424,-170.32000732421875
1667320034.0127716,491520,-168.02999877929688
1667320201.365957,495616,-154.7100067138672
1667320383.244248,499712,-153.0800018310547
1667320566.5124087,503808,-161.11000061035156
1667320744.1212218,507904,-154.6199951171875
1667320920.8052022,512000,-162.86000061035156
1667321101.6692169,516096,-164.0500030517578
1667321285.4920044,520192,-167.61000061035156
1667321467.4904337,524288,-171.47999572753906
1667321649.3785388,528384,-168.6300048828125
1667321836.9011664,532480,-171.85000610351562
1667322017.9190884,536576,-165.24000549316406
1667322201.1787891,540672,-165.88999938964844
1667322380.246631,544768,-161.1199951171875
1667322561.8836808,548864,-157.27999877929688
1667322745.953867,552960,-157.16000366210938
1667322924.7381682,557056,-163.3000030517578
1667323108.1955683,561152,-165.57000732421875
1667323287.077702,565248,-166.10000610351562
1667323465.7022393,569344,-160.33999633789062
1667323648.74803,573440,-149.57000732421875
1667323824.0701604,577536,-159.6999969482422
1667324008.4388409,581632,-162.25999450683594
1667324186.5770624,585728,-176.02999877929688
1667324367.1751733,589824,-180.97999572753906
1667324550.0748973,593920,-167.52999877929688
1667324725.7361786,598016,-168.7100067138672
1667324908.154521,602112,-164.2100067138672
1667325084.0586677,606208,-168.64999389648438
1667325265.3956594,610304,-181.9199981689453
1667325444.4184096,614400,-169.5
1667325617.2358997,618496,-174.77000427246094
1667325795.4365299,622592,-159.82000732421875
1667325977.1824808,626688,-146.27000427246094
1667326158.4212408,630784,-152.25
1667326337.9150136,634880,-146.2899932861328
1667326513.5660641,638976,-151.0399932861328
1667326699.8992736,643072,-159.24000549316406
1667326882.180831,647168,-160.3000030517578
1667327057.0144286,651264,-165.30999755859375
1667327235.0841036,655360,-164.55999755859375
1667327411.6884558,659456,-164.52999877929688
1667327594.845749,663552,-157.52000427246094
1667327771.2638328,667648,-158.02999877929688
1667327948.6625273,671744,-164.1999969482422
1667328127.4691336,675840,-166.08999633789062
1667328284.4700632,679936,-172.97000122070312
1667328463.4450326,684032,-167.47999572753906
1667328643.666648,688128,-156.30999755859375
1667328821.1732779,692224,-152.4199981689453
1667328993.9633446,696320,-158.2899932861328
1667329173.266597,700416,-158.72000122070312
1667329354.792876,704512,-165.6699981689453
1667329532.1280932,708608,-157.57000732421875
1667329707.0244818,712704,-144.61000061035156
1667329885.409132,716800,-148.25
1667330067.856978,720896,-146.3699951171875
1667330248.0389166,724992,-141.50999450683594
1667330427.5653768,729088,-134.91000366210938
1667330602.1084232,733184,-138.05999755859375
1667330781.2479444,737280,-133.32000732421875
1667330964.7140398,741376,-139.4199981689453
1667331138.773464,745472,-140.3300018310547
1667331311.3369226,749568,-138.74000549316406
1667331490.7652943,753664,-144.08999633789062
1667331671.848619,757760,-139.5399932861328
1667331852.7798297,761856,-151.00999450683594
1667332021.5705786,765952,-153.6999969482422
1667332199.5057487,770048,-155.36000061035156
1667332382.5355072,774144,-148.00999450683594
1667332556.1611483,778240,-139.60000610351562
1667332740.9968266,782336,-137.89999389648438
1667332910.408904,786432,-140.69000244140625
1667333092.437145,790528,-146.86000061035156
1667333273.1195664,794624,-161.3300018310547
1667333445.7650537,798720,-163.02000427246094
1667333628.7158267,802816,-151.25999450683594
1667333802.724563,806912,-156.1300048828125
1667333979.994539,811008,-144.25999450683594
1667334160.7508621,815104,-144.50999450683594
1667334336.9967008,819200,-139.77000427246094
1667334519.8070145,823296,-138.1199951171875
1667334699.2996905,827392,-148.1199951171875
1667334870.7383626,831488,-139.61000061035156
1667335051.8605807,835584,-142.3300018310547
1667335223.472508,839680,-149.61000061035156
1667335409.1251183,843776,-141.5
1667335588.3903081,847872,-146.11000061035156
1667335760.428492,851968,-146.30999755859375
1667335940.29578,856064,-151.4199981689453
1667336115.2194123,860160,-145.9199981689453
1667336294.3152118,864256,-154.1999969482422
1667336475.7257,868352,-156.4600067138672
1667336647.3430579,872448,-153.6999969482422
1667336826.9307084,876544,-153.1999969482422
1667337007.2594545,880640,-144.5800018310547
1667337181.279994,884736,-148.94000244140625
1667337357.28401,888832,-144.41000366210938
1667337527.8475964,892928,-147.5
1667337710.4706213,897024,-156.2899932861328
1667337894.334794,901120,-150.1199951171875
1667338061.5488923,905216,-150.77000427246094
1667338237.510106,909312,-152.9199981689453
1667338411.3324957,913408,-152.72000122070312
1667338593.490392,917504,-150.89999389648438
1667338775.921434,921600,-156.8800048828125
1667338946.088186,925696,-156.75999450683594
1667339129.2796156,929792,-165.64999389648438
1667339305.368763,933888,-161.75
1667339481.4537923,937984,-152.75
1667339662.4056008,942080,-138.27000427246094
1667339832.6767313,946176,-141.0500030517578
1667340016.7796068,950272,-160.4499969482422
1667340192.2610686,954368,-172.25999450683594
1667340369.8497193,958464,-181.85000610351562
1667340554.583651,962560,-183.91000366210938
1667340726.753883,966656,-158.4499969482422
1667340913.0159326,970752,-147.05999755859375
1667341087.7803898,974848,-147.8800048828125
1667341264.415765,978944,-146.83999633789062
1667341443.8409438,983040,-150.9600067138672
1667341620.4110117,987136,-159.13999938964844
1667341797.1561549,991232,-168.85000610351562
1667341973.7521288,995328,-166.4499969482422
1667342149.1943154,999424,-160.92999267578125
1667342333.899895,1003520,-163.36000061035156
1667342472.7519853,1007616,-159.3300018310547
1667342610.2726297,1011712,-162.1199951171875
