Wall time,Step,Value
1661201547.7037508,12288,-498.41741943359375
1661201592.3971622,20480,-328.69476318359375
1661201655.9054992,32768,-348.6363220214844
1661201700.3008928,40960,-434.15362548828125
1661201762.3696241,53248,-112.26490783691406
1661201803.7770882,61440,-134.37869262695312
1661201865.3296287,73728,-119.1312484741211
1661201906.4233234,81920,-88.55174255371094
1661201947.4784076,90112,-93.51371002197266
1661202008.497442,102400,-89.06395721435547
1661202049.6228662,110592,-95.95950317382812
1661202109.7849998,122880,-92.42259216308594
1661202149.086027,131072,-93.4068832397461
1661202208.7229586,143360,-164.75730895996094
1661202249.9317338,151552,-112.35356903076172
1661202311.0509696,163840,-98.63592529296875
1661202352.2681265,172032,-93.26179504394531
1661202393.2600985,180224,-99.596435546875
1661202454.664668,192512,-102.10492706298828
1661202495.5118196,200704,-88.64513397216797
1661202554.6607995,212992,-98.97086334228516
1661202593.8834233,221184,-86.18196105957031
1661202652.13439,233472,-78.20769500732422
1661202691.2751536,241664,-84.08824920654297
1661202752.1594708,253952,-84.74739074707031
1661202793.5672457,262144,-101.06922149658203
1661202834.4132173,270336,-89.67112731933594
1661202895.723861,282624,-93.81929016113281
1661202936.5204134,290816,-93.84540557861328
1661202997.2503903,303104,-79.61011505126953
1661203038.2381554,311296,-81.47672271728516
1661203099.365652,323584,-89.199462890625
1661203140.6694093,331776,-100.67789459228516
1661203202.831719,344064,-83.57022094726562
1661203244.2838633,352256,-91.1383056640625
1661203285.5467074,360448,-89.52989959716797
1661203346.686227,372736,-100.837890625
1661203387.6765091,380928,-99.73405456542969
1661203448.8134303,393216,-86.38829803466797
1661203489.6293306,401408,-88.39363861083984
1661203550.82072,413696,-81.31187438964844
1661203591.7749143,421888,-90.84382629394531
1661203632.7312584,430080,-99.55363464355469
1661203694.2065597,442368,-82.41313934326172
1661203735.4699042,450560,-81.23371124267578
1661203797.9158115,462848,-102.97323608398438
1661203839.2597222,471040,-77.99994659423828
1661203897.2275836,483328,-84.40658569335938
1661203937.3798099,491520,-81.1446533203125
1661203998.8307877,503808,-88.71744537353516
1661204040.9116824,512000,-80.61905670166016
1661204081.2162871,520192,-85.85792541503906
1661204143.1943302,532480,-107.7925033569336
1661204183.4390154,540672,-86.65821075439453
1661204244.2450786,552960,-80.10707092285156
1661204286.7288077,561152,-84.96121978759766
1661204348.0703373,573440,-111.10728454589844
1661204389.5891993,581632,-93.26085662841797
1661204450.8037252,593920,-80.01131439208984
1661204491.7449403,602112,-83.4961929321289
1661204533.1196365,610304,-92.8268051147461
1661204595.3551457,622592,-93.09839630126953
1661204637.0403075,630784,-90.82000732421875
1661204699.688019,643072,-110.95060729980469
1661204740.6811996,651264,-79.52430725097656
1661204801.7649643,663552,-78.36660766601562
1661204842.4897132,671744,-96.58511352539062
1661204903.9729583,684032,-88.98456573486328
1661204944.9481394,692224,-87.84113311767578
1661204986.3005958,700416,-89.82848358154297
1661205047.4117723,712704,-86.92765045166016
1661205086.8726642,720896,-101.37703704833984
1661205146.3821301,733184,-86.8459243774414
1661205187.4088905,741376,-79.27169799804688
1661205248.9862902,753664,-81.05207061767578
1661205290.0359023,761856,-85.81851959228516
1661205331.278331,770048,-83.2204360961914
1661205392.9550529,782336,-87.67699432373047
1661205434.003288,790528,-86.975341796875
1661205495.658761,802816,-80.22532653808594
1661205536.7513022,811008,-86.8969955444336
1661205597.8015857,823296,-88.67803955078125
1661205640.4403799,831488,-84.15510559082031
1661205701.4834619,843776,-85.02930450439453
1661205743.4886396,851968,-89.80156707763672
1661205784.8505185,860160,-85.24696350097656
1661205846.1835537,872448,-76.40963745117188
1661205887.2535725,880640,-80.25511932373047
1661205948.3210995,892928,-90.94611358642578
1661205989.587963,901120,-83.606689453125
1661206051.0627215,913408,-97.17864990234375
1661206092.1381817,921600,-78.64730834960938
1661206155.2639878,933888,-82.85738372802734
1661206196.6442728,942080,-81.12471771240234
1661206238.2102797,950272,-117.4061508178711
1661206300.4267964,962560,-82.21186828613281
1661206339.265198,970752,-82.99528503417969
1661206400.9594738,983040,-86.02738189697266
1661206442.0837393,991232,-88.48857879638672
1661206503.3808186,1003520,-79.50218200683594
