Wall time,Step,Value
1661181655.2935364,12288,-499.0323486328125
1661181700.1541252,20480,-498.76812744140625
1661181764.2557812,32768,-362.2493591308594
1661181807.465469,40960,-289.8643493652344
1661181870.743058,53248,-296.4066467285156
1661181912.396692,61440,-96.6515121459961
1661181973.4619875,73728,-81.04193115234375
1661182012.4212608,81920,-100.5680160522461
1661182053.768903,90112,-87.45580291748047
1661182115.8641908,102400,-108.88311004638672
1661182157.5644019,110592,-89.47753143310547
1661182218.8796844,122880,-101.56222534179688
1661182260.2325556,131072,-92.8053207397461
1661182321.8846738,143360,-76.67314910888672
1661182362.4620426,151552,-78.37633514404297
1661182424.9423645,163840,-92.74420928955078
1661182465.8521824,172032,-96.03632354736328
1661182507.1507251,180224,-81.7998046875
1661182568.4863179,192512,-88.15705108642578
1661182610.1347606,200704,-101.73159790039062
1661182672.0190616,212992,-88.12133026123047
1661182712.9835467,221184,-112.24906158447266
1661182775.2086024,233472,-101.10285949707031
1661182816.4812844,241664,-99.1103744506836
1661182877.72316,253952,-92.8995132446289
1661182920.3322904,262144,-87.83047485351562
1661182961.034901,270336,-81.8890609741211
1661183023.1617627,282624,-84.00052642822266
1661183064.0339148,290816,-82.25254821777344
1661183125.6342075,303104,-85.26539611816406
1661183167.3404539,311296,-88.2835693359375
1661183228.4930727,323584,-102.31957244873047
1661183269.9075406,331776,-81.36134338378906
1661183331.478158,344064,-89.12919616699219
1661183372.5983448,352256,-92.22516632080078
1661183414.2129676,360448,-84.95215606689453
1661183475.514905,372736,-80.47147369384766
1661183516.991146,380928,-78.47223663330078
1661183577.6733263,393216,-74.60054016113281
1661183618.4702394,401408,-82.35557556152344
1661183680.2817,413696,-86.94119262695312
1661183721.2066972,421888,-87.05441284179688
1661183762.5754662,430080,-84.11585998535156
1661183823.5713162,442368,-81.95086669921875
1661183865.238304,450560,-88.44811248779297
1661183926.5138578,462848,-84.09920501708984
1661183967.1975543,471040,-80.35794830322266
1661184029.3174736,483328,-85.30435180664062
1661184070.1040876,491520,-92.75166320800781
1661184131.4037771,503808,-90.6796646118164
1661184172.9217653,512000,-84.86837005615234
1661184213.95892,520192,-87.91349029541016
1661184276.1726346,532480,-84.74430084228516
1661184317.0771265,540672,-81.34252166748047
1661184378.7878802,552960,-70.38282775878906
1661184420.2712815,561152,-81.1588134765625
1661184481.6112835,573440,-76.93154907226562
1661184523.1295316,581632,-84.73686218261719
1661184584.1848614,593920,-84.0125732421875
1661184625.7639675,602112,-88.49700164794922
1661184666.0245256,610304,-88.076416015625
1661184726.5313842,622592,-72.67367553710938
1661184767.4990969,630784,-78.67990112304688
1661184827.7177851,643072,-88.69552612304688
1661184869.1854506,651264,-86.98612213134766
1661184930.064539,663552,-81.06660461425781
1661184971.6164384,671744,-83.03273010253906
1661185032.6037626,684032,-91.22831726074219
1661185073.9079587,692224,-80.7909164428711
1661185114.9579823,700416,-79.167236328125
1661185175.0532496,712704,-78.0667953491211
1661185216.938105,720896,-86.99983215332031
1661185277.1332436,733184,-81.4720230102539
1661185318.661473,741376,-87.11418914794922
1661185379.5977097,753664,-89.79194641113281
1661185421.1894355,761856,-106.10852813720703
1661185460.852633,770048,-81.78524780273438
1661185521.4830067,782336,-92.4116439819336
1661185562.4820428,790528,-82.96183776855469
1661185621.3887286,802816,-85.61322021484375
1661185662.9977608,811008,-86.02983856201172
1661185723.0030806,823296,-84.48072814941406
1661185764.979653,831488,-78.87308502197266
1661185823.8197165,843776,-80.85910034179688
1661185865.4867613,851968,-75.35614776611328
1661185902.1942787,860160,-79.00653839111328
1661185964.0849473,872448,-83.29037475585938
1661186000.837617,880640,-76.50804901123047
1661186062.3883083,892928,-78.35578155517578
1661186099.5438218,901120,-78.57923126220703
1661186160.6710398,913408,-91.0645523071289
1661186198.493433,921600,-90.70744323730469
1661186259.2219799,933888,-85.63909149169922
1661186297.0875301,942080,-74.79007720947266
1661186337.6031752,950272,-81.05892944335938
1661186395.8570719,962560,-92.91543579101562
1661186434.3337042,970752,-76.36920166015625
1661186493.5549083,983040,-73.55094909667969
1661186526.7172437,991232,-86.8916015625
1661186588.6544528,1003520,-70.23152923583984
