Wall time,Step,Value
1661219050.9737694,16384,-647.359619140625
1661219114.2499545,32768,-150.0408935546875
1661219180.5171793,49152,-514.9375
1661219245.6532063,65536,-711.1478271484375
1661219310.4339218,81920,-299.248046875
1661219373.9955125,98304,-538.66162109375
1661219438.485911,114688,-106.22933959960938
1661219502.5221262,131072,-452.16693115234375
1661219563.3101063,147456,-299.67071533203125
1661219627.6797712,163840,-121.97835540771484
1661219693.9464228,180224,-155.99595642089844
1661219759.6156874,196608,-553.1697387695312
1661219824.5714772,212992,-204.9275360107422
1661219889.7558022,229376,-252.4215087890625
1661219958.1231415,245760,-197.8103790283203
1661220025.919064,262144,-102.5484390258789
1661220090.8193114,278528,-56.31892395019531
1661220156.6346116,294912,-37.838802337646484
1661220202.8601968,311296,-175.8236541748047
1661220247.1630201,327680,-108.79574584960938
1661220293.1254513,344064,-38.09096145629883
1661220347.1306374,360448,-52.436134338378906
1661220396.1199155,376832,-108.9517593383789
1661220441.542357,393216,-61.49608612060547
1661220488.19421,409600,-46.59914779663086
1661220534.7290335,425984,-15.07466983795166
1661220580.5490334,442368,-27.86533546447754
1661220626.8460367,458752,-39.5742073059082
1661220674.3804708,475136,-45.44684600830078
1661220721.8689096,491520,-27.073101043701172
1661220768.6814578,507904,30.06369972229004
1661220815.1518724,524288,13.864777565002441
1661220862.4083474,540672,-9.173794746398926
1661220908.396352,557056,-7.961960315704346
1661220954.2340865,573440,9.152545928955078
1661220999.8126001,589824,24.495161056518555
1661221045.5196602,606208,-12.807007789611816
1661221094.13781,622592,57.60582733154297
1661221142.7348568,638976,-28.70677947998047
1661221189.478561,655360,-30.947864532470703
1661221237.1501133,671744,24.42093276977539
1661221284.4932268,688128,-24.724624633789062
1661221329.8685231,704512,52.82178497314453
1661221375.8610826,720896,-3.100538492202759
1661221421.2212055,737280,-31.64549446105957
1661221469.1685202,753664,9.376128196716309
1661221516.9834864,770048,23.471899032592773
1661221563.2112517,786432,43.99624252319336
1661221610.3057377,802816,46.766353607177734
1661221656.1585557,819200,17.367176055908203
1661221703.2437959,835584,-24.462976455688477
1661221751.3461142,851968,52.688499450683594
1661221799.3855646,868352,27.99484634399414
1661221846.5691614,884736,-1.4908576011657715
1661221892.8918881,901120,29.720401763916016
1661221942.1773353,917504,25.383087158203125
1661221993.6598492,933888,3.3591949939727783
1661222041.6049738,950272,23.116344451904297
1661222088.088578,966656,68.45333862304688
1661222136.561724,983040,1.049074411392212
1661222183.5171843,999424,35.27206802368164
1661222230.8432343,1015808,36.254642486572266
