Wall time,Step,Value
1661169660.535476,16384,-471.3948059082031
1661169746.1139822,32768,-974.1661987304688
1661169830.3308923,49152,-618.0289916992188
1661169915.2262373,65536,-345.7994689941406
1661169999.6294224,81920,-332.2019348144531
1661170084.3457026,98304,-179.8053741455078
1661170169.0442762,114688,-145.3502655029297
1661170253.9415483,131072,-151.0667266845703
1661170337.6073527,147456,-90.1966552734375
1661170421.5048244,163840,-92.84638977050781
1661170505.682146,180224,-166.22267150878906
1661170589.4769661,196608,-139.81646728515625
1661170673.692557,212992,-161.63368225097656
1661170757.5372908,229376,-113.15425872802734
1661170841.4718547,245760,-79.3722152709961
1661170925.0130517,262144,-136.15736389160156
1661171008.0877604,278528,-143.58914184570312
1661171091.804688,294912,-126.02153015136719
1661171174.995256,311296,-98.1426773071289
1661171258.0420253,327680,-128.89825439453125
1661171341.665342,344064,-139.28514099121094
1661171424.9652278,360448,-125.42749786376953
1661171508.0288231,376832,-156.32125854492188
1661171591.3557932,393216,-159.0586700439453
1661171674.3084402,409600,-117.34050750732422
1661171758.236858,425984,-41.00255584716797
1661171841.9504647,442368,-91.3736801147461
1661171925.1206074,458752,-96.43669891357422
1661172008.6396155,475136,-111.06631469726562
1661172092.2768996,491520,-143.03758239746094
1661172175.2987697,507904,-160.67373657226562
1661172258.7400086,524288,-147.3686981201172
1661172341.8126068,540672,-128.19818115234375
1661172424.7898712,557056,-131.31983947753906
1661172508.0767608,573440,-136.02096557617188
1661172590.9923644,589824,-139.10079956054688
1661172674.554104,606208,-132.4451141357422
1661172758.0174387,622592,-165.68194580078125
1661172863.9545186,638976,-131.93116760253906
1661172977.7439895,655360,-128.5961456298828
1661173091.0012903,671744,-96.79925537109375
1661173204.029208,688128,-103.24429321289062
1661173318.8047802,704512,-126.6866455078125
1661173432.737268,720896,-113.703369140625
1661173546.7092695,737280,-148.32870483398438
1661173660.183364,753664,-185.79966735839844
1661173774.1111095,770048,-153.8779754638672
1661173887.43335,786432,-98.33091735839844
1661174000.7849462,802816,-128.0203857421875
1661174114.030677,819200,-123.51242065429688
1661174228.1546414,835584,-126.1017837524414
1661174341.737143,851968,-148.23802185058594
1661174455.3157313,868352,-135.3951416015625
1661174569.8653574,884736,-141.0979766845703
1661174683.7021885,901120,-165.58407592773438
1661174797.4890912,917504,-128.74810791015625
1661174911.6154509,933888,-145.41542053222656
1661175025.6951084,950272,-142.6114501953125
1661175139.1424341,966656,-117.37200927734375
1661175246.230051,983040,-183.452880859375
1661175358.368457,999424,-138.76614379882812
1661175472.2761707,1015808,-129.6973876953125
