Wall time,Step,Value
1661196395.1777885,10240,-145.11273193359375
1661196444.4395354,20224,-148.8822479248047
1661196494.444447,30208,-146.22543334960938
1661196541.3981407,40192,-149.36724853515625
1661196590.4889927,50176,-141.78668212890625
1661196640.7775755,60160,-144.5291748046875
1661196690.193868,70144,-143.99012756347656
1661196741.082148,80128,-137.673828125
1661196789.8391454,90112,-141.7985382080078
1661196839.7202322,100096,-147.6735382080078
1661196888.248232,110080,-140.86875915527344
1661196936.9374108,120064,-141.0032196044922
1661196986.5004961,130048,-140.88742065429688
1661197034.7739909,140032,-136.49456787109375
1661197085.4827604,150016,-141.75111389160156
1661197133.7798707,160000,-142.31398010253906
1661197186.0122538,170240,-186.562255859375
1661197235.783576,180224,-164.07337951660156
1661197286.831145,190208,-167.93275451660156
1661197336.6855302,200192,-181.3545684814453
1661197386.207816,210176,-189.57791137695312
1661197437.2353694,220160,-156.46359252929688
1661197486.9611046,230144,-167.54278564453125
1661197538.621166,240128,-198.86729431152344
1661197587.7850902,250112,-198.94357299804688
1661197638.6627069,260096,-187.390869140625
1661197686.1700926,270080,-205.32899475097656
1661197736.641806,280064,-201.3520050048828
1661197783.1437337,290048,-173.2740936279297
1661197834.433871,300032,-199.8594970703125
1661197880.0582418,310016,-202.84588623046875
1661197930.7308857,320000,-202.08189392089844
1661197976.1925068,330240,-196.37448120117188
1661198027.1539266,340224,-203.9566192626953
1661198072.9250023,350208,-189.28866577148438
1661198123.9817147,360192,-201.89366149902344
1661198169.8783593,370176,-201.30567932128906
1661198218.6260002,380160,-200.8608856201172
1661198266.8550262,390144,-196.4453125
1661198313.1750758,400128,-170.13858032226562
1661198363.5079513,410112,-205.0847625732422
1661198411.1284492,420096,-200.0977325439453
1661198460.1947927,430080,-189.6364288330078
1661198509.1412785,440064,-202.5625457763672
1661198557.9311795,450048,-201.81517028808594
1661198607.9796352,460032,-194.75611877441406
1661198655.6522439,470016,-162.60427856445312
1661198705.9254112,480000,-195.81483459472656
1661198754.0091002,490240,-196.13861083984375
1661198804.161938,500224,-197.01171875
1661198853.7194543,510208,-188.75494384765625
1661198903.4427996,520192,-163.70730590820312
1661198953.175338,530176,-191.9761505126953
1661199002.6158977,540160,-184.2548065185547
1661199053.0281317,550144,-176.17576599121094
1661199102.408087,560128,-177.38877868652344
1661199152.6694434,570112,-183.726806640625
1661199201.7687047,580096,-153.40618896484375
1661199250.9823935,590080,-162.93374633789062
1661199301.070442,600064,-156.36239624023438
1661199350.2797432,610048,-141.96556091308594
1661199400.335003,620032,-161.1521759033203
1661199449.7306943,630016,-165.89627075195312
1661199499.3349764,640000,-177.08868408203125
1661199551.0050116,650240,-183.97088623046875
1661199601.2352238,660224,-176.3378143310547
1661199651.7513008,670208,-192.65882873535156
1661199701.459969,680192,-186.18231201171875
1661199751.4906158,690176,-182.09715270996094
1661199801.6791914,700160,-183.39544677734375
1661199851.8334086,710144,-177.9652862548828
1661199901.8087382,720128,-158.51052856445312
1661199952.286751,730112,-159.91949462890625
1661200002.5689085,740096,-187.87847900390625
1661200052.728454,750080,-160.25416564941406
1661200102.677339,760064,-168.46514892578125
1661200152.8764844,770048,-175.37669372558594
1661200203.2106855,780032,-178.6534881591797
1661200253.1762276,790016,-196.51296997070312
1661200303.5687447,800000,-185.41273498535156
1661200355.0409431,810240,-183.63397216796875
1661200405.473889,820224,-195.04434204101562
1661200455.5290546,830208,-168.24285888671875
1661200505.8129203,840192,-199.0615692138672
1661200556.2219791,850176,-203.70849609375
1661200606.5215912,860160,-197.44100952148438
1661200656.8186674,870144,-201.5446319580078
1661200707.5029187,880128,-192.31094360351562
1661200757.8488746,890112,-193.9978790283203
1661200807.3595376,900096,-171.36997985839844
1661200857.6493416,910080,-187.8603973388672
1661200907.749552,920064,-198.13909912109375
1661200958.19783,930048,-174.16970825195312
1661201008.1399674,940032,-186.4368133544922
1661201058.7200685,950016,-198.95199584960938
1661201108.9759238,960000,-182.41021728515625
1661201160.0432572,970240,-162.23777770996094
1661201210.561,980224,-198.43006896972656
1661201260.6774554,990208,-187.07272338867188
1661201310.9973161,1000192,-198.31454467773438
