Wall time,Step,Value
1661191418.5914755,10240,-122.89653015136719
1661191467.161172,20224,-165.96359252929688
1661191516.558732,30208,-157.2601776123047
1661191562.3619845,40192,-156.83396911621094
1661191611.043711,50176,-147.6226348876953
1661191660.2900982,60160,-140.66012573242188
1661191708.9793515,70144,-140.35498046875
1661191758.9241664,80128,-142.5526123046875
1661191807.0749032,90112,-138.5709228515625
1661191857.403793,100096,-147.2948455810547
1661191905.615153,110080,-145.4822998046875
1661191956.019948,120064,-140.97348022460938
1661192003.3683114,130048,-141.22128295898438
1661192053.656773,140032,-135.57310485839844
1661192100.6873717,150016,-151.980224609375
1661192150.631534,160000,-140.88775634765625
1661192196.772441,170240,-144.33624267578125
1661192247.3229961,180224,-136.3114776611328
1661192292.2270453,190208,-136.2410125732422
1661192342.5157428,200192,-140.940185546875
1661192387.6259058,210176,-142.74191284179688
1661192437.6587174,220160,-137.24508666992188
1661192483.5153866,230144,-140.5841064453125
1661192533.6961474,240128,-138.2209930419922
1661192580.6749685,250112,-137.6639862060547
1661192631.4497693,260096,-144.86500549316406
1661192678.1943147,270080,-143.4595184326172
1661192728.6745389,280064,-135.17832946777344
1661192774.50554,290048,-136.85166931152344
1661192824.802996,300032,-135.57850646972656
1661192870.7820861,310016,-135.0904083251953
1661192921.6046357,320000,-135.95167541503906
1661192968.1367414,330240,-138.38587951660156
1661193019.5730522,340224,-134.0400848388672
1661193066.4526868,350208,-141.21339416503906
1661193117.5180552,360192,-139.51992797851562
1661193163.9030678,370176,-131.0304412841797
1661193214.9491286,380160,-132.28736877441406
1661193261.9253073,390144,-133.60153198242188
1661193312.7736118,400128,-134.27059936523438
1661193363.2958496,410112,-131.40817260742188
1661193414.1554294,420096,-134.96170043945312
1661193464.6804843,430080,-139.3826141357422
1661193514.7764003,440064,-135.27642822265625
1661193565.7937527,450048,-133.82179260253906
1661193615.9265769,460032,-131.8471221923828
1661193667.0533814,470016,-137.9276885986328
1661193716.936005,480000,-132.6436309814453
1661193768.3487825,490240,-144.7736358642578
1661193819.6931298,500224,-134.8642120361328
1661193870.058762,510208,-136.16600036621094
1661193920.990996,520192,-139.96153259277344
1661193971.1783447,530176,-140.1337432861328
1661194020.977549,540160,-135.20191955566406
1661194070.9430406,550144,-133.07608032226562
1661194120.9353762,560128,-135.09181213378906
1661194170.8790276,570112,-133.08477783203125
1661194220.5916297,580096,-128.91549682617188
1661194270.5692763,590080,-146.73387145996094
1661194320.3308973,600064,-152.46383666992188
1661194369.8151515,610048,-126.22756958007812
1661194420.0741403,620032,-140.75961303710938
1661194469.2620108,630016,-135.67556762695312
1661194519.9612842,640000,-145.7744598388672
1661194571.940417,650240,-146.31178283691406
1661194622.1426635,660224,-160.9764862060547
1661194673.5419915,670208,-147.9746551513672
1661194723.7194238,680192,-171.90330505371094
1661194774.790112,690176,-138.1803741455078
1661194824.6726184,700160,-136.6068115234375
1661194875.1423655,710144,-125.4786148071289
1661194926.620859,720128,-153.38059997558594
1661194976.2328682,730112,-142.1730499267578
1661195026.8444307,740096,-151.8234100341797
1661195075.3498049,750080,-140.5940704345703
1661195125.4655354,760064,-140.4246826171875
1661195174.8908186,770048,-143.7625274658203
1661195224.3795655,780032,-158.38253784179688
1661195274.7153015,790016,-170.2375030517578
1661195324.1267164,800000,-148.11862182617188
1661195375.4658015,810240,-171.7353973388672
1661195425.3065388,820224,-147.85800170898438
1661195475.8868923,830208,-157.77764892578125
1661195527.2278717,840192,-155.52218627929688
1661195577.927447,850176,-160.22100830078125
1661195629.576634,860160,-153.87562561035156
1661195679.94438,870144,-161.8220672607422
1661195729.7577987,880128,-141.00364685058594
1661195780.807965,890112,-141.8812713623047
1661195830.1417649,900096,-142.5702667236328
1661195880.6342344,910080,-144.98727416992188
1661195930.2373073,920064,-145.8548583984375
1661195980.6141174,930048,-144.225341796875
1661196031.7930186,940032,-144.45901489257812
1661196082.122881,950016,-150.5685577392578
1661196133.20278,960000,-143.33265686035156
1661196183.9590578,970240,-144.78871154785156
1661196235.1778195,980224,-161.0026092529297
1661196285.1348999,990208,-149.3648681640625
1661196335.192018,1000192,-140.1964874267578
