Wall time,Step,Value
1667069257.408305,16384,-178.56414794921875
1667069775.363168,32768,-185.4224090576172
1667070294.107613,49152,-166.32858276367188
1667070799.8299215,65536,-152.48919677734375
1667071313.8834088,81920,-141.90516662597656
1667071830.2282426,98304,-160.49542236328125
1667072351.0007188,114688,-125.98533630371094
1667072878.0343645,131072,-107.56555938720703
1667073406.1453516,147456,-118.10296630859375
1667073934.2046974,163840,-111.43319702148438
1667074457.9574215,180224,-114.81598663330078
1667074981.4232311,196608,-127.20305633544922
1667075507.358838,212992,-106.55134582519531
1667076028.397648,229376,-107.08116912841797
1667076556.1001077,245760,-117.3117446899414
1667077090.3424995,262144,-114.49559783935547
1667077614.3188512,278528,-104.91019439697266
1667078144.1018105,294912,-97.34822845458984
1667078669.701078,311296,-105.72698211669922
1667079197.0236566,327680,-105.6528091430664
1667079729.6183884,344064,-99.72376251220703
1667080261.1783643,360448,-106.95459747314453
1667080794.0649924,376832,-103.74903869628906
1667081324.709552,393216,-100.99271392822266
1667081854.4482327,409600,-99.6264419555664
1667082383.9003932,425984,-100.84302520751953
1667082919.532399,442368,-100.63334655761719
1667083456.8036778,458752,-98.80268096923828
1667083986.203051,475136,-99.5345458984375
1667084525.177291,491520,-95.6277084350586
1667085051.6439292,507904,-97.23136901855469
1667085589.5579987,524288,-102.97667694091797
1667086128.2352211,540672,-93.80567169189453
1667086666.9069364,557056,-93.75872802734375
1667087200.9128156,573440,-93.36431884765625
1667087734.2116587,589824,-94.91781616210938
1667088261.8609958,606208,-91.02237701416016
1667088788.3071299,622592,-97.31175994873047
1667089303.2303047,638976,-85.28253936767578
1667089820.7661102,655360,-92.62665557861328
1667090329.7890468,671744,-93.63772583007812
1667090841.6496649,688128,-91.65499114990234
1667091348.2984672,704512,-90.42243957519531
1667091868.8210568,720896,-88.6805419921875
1667092389.306188,737280,-81.29161834716797
1667092904.695909,753664,-83.92208862304688
1667093421.2182846,770048,-84.69277954101562
1667093931.6376948,786432,-75.96290588378906
1667094456.8528078,802816,-72.8145980834961
1667094972.4859705,819200,-76.95796966552734
1667095486.9973667,835584,-81.64826965332031
1667096002.5011284,851968,-69.2884292602539
1667096510.858021,868352,-66.65068054199219
1667097032.3718474,884736,-63.876930236816406
1667097550.9919255,901120,-68.10054779052734
1667098065.8656938,917504,-63.425235748291016
1667098584.7605336,933888,-56.21782684326172
1667099103.940747,950272,-60.976383209228516
1667099611.4915996,966656,-54.105377197265625
1667100122.868911,983040,-41.290950775146484
1667100642.242047,999424,-39.82573699951172
1667101173.6578486,1015808,-42.0192985534668
1667101704.118069,1032192,-42.51790237426758
1667102232.6929395,1048576,-34.047706604003906
1667102764.4818668,1064960,-37.190364837646484
1667103279.114757,1081344,-40.33893966674805
1667103800.403474,1097728,-35.466400146484375
1667104324.0137136,1114112,-21.48216438293457
1667104860.1079576,1130496,-27.675498962402344
1667105382.802585,1146880,-24.678146362304688
1667105927.5255182,1163264,-28.92904281616211
1667106461.0132246,1179648,-29.750749588012695
1667106999.4018528,1196032,-25.565309524536133
1667107535.8519104,1212416,-12.746426582336426
1667108069.0593002,1228800,-42.067840576171875
1667108608.4784756,1245184,-18.917293548583984
1667109146.397097,1261568,-25.81482696533203
1667109679.9872754,1277952,-25.47353744506836
1667110225.382914,1294336,-25.966753005981445
1667110768.1366873,1310720,-29.363588333129883
1667111307.0360596,1327104,-38.37602996826172
1667111859.9504673,1343488,-39.68315505981445
1667112408.8457854,1359872,-37.14967346191406
1667112965.1623871,1376256,-38.375125885009766
1667113507.5550327,1392640,-29.466238021850586
1667114046.3892114,1409024,-29.397579193115234
1667114605.7697444,1425408,-29.395906448364258
1667115167.972815,1441792,-28.947528839111328
1667115718.1029892,1458176,-33.994625091552734
1667116271.166668,1474560,-20.424972534179688
1667116837.007084,1490944,-21.924442291259766
1667117389.7709136,1507328,-21.274625778198242
1667117945.1165833,1523712,-20.404985427856445
1667118499.244909,1540096,-25.70220184326172
1667119052.6053386,1556480,-18.9748592376709
1667119604.474866,1572864,-14.467761039733887
1667120138.3659916,1589248,-13.233726501464844
1667120685.2744334,1605632,-7.772078514099121
1667121232.1225734,1622016,-13.363504409790039
1667121799.5970192,1638400,-4.780694961547852
1667122386.0226517,1654784,-9.295074462890625
1667122983.7810748,1671168,-18.308658599853516
1667123564.229616,1687552,-21.35736083984375
1667124158.2959824,1703936,-12.108946800231934
1667124748.83279,1720320,-7.690036773681641
1667125338.3937705,1736704,-12.746709823608398
1667125940.409051,1753088,-9.606990814208984
1667126532.0143108,1769472,2.1209168434143066
1667127137.1298597,1785856,5.240769386291504
1667127741.8453887,1802240,2.4857218265533447
1667128328.2392018,1818624,5.85930871963501
1667128933.1737523,1835008,14.38351058959961
1667129531.2115533,1851392,12.471465110778809
1667130119.0034394,1867776,8.92591381072998
1667130724.628898,1884160,3.2291197776794434
1667131336.68503,1900544,1.617979645729065
1667131931.2454798,1916928,8.800158500671387
1667132541.9992669,1933312,17.2739315032959
1667133141.0812228,1949696,15.324196815490723
1667133754.8943667,1966080,9.507759094238281
1667134353.0742285,1982464,4.050304889678955
1667134947.9312596,1998848,1.098878026008606
1667135553.5058815,2015232,6.819034576416016
1667136153.2986867,2031616,17.483919143676758
1667136752.8872633,2048000,15.914726257324219
1667137356.802648,2064384,15.791398048400879
1667137944.2267706,2080768,19.553756713867188
1667138530.8667774,2097152,16.970869064331055
1667139134.9353192,2113536,15.752909660339355
1667139727.7204907,2129920,9.80441951751709
1667140348.9895723,2146304,6.490432262420654
1667140954.7326486,2162688,3.352567195892334
1667141548.8195121,2179072,13.723676681518555
1667142165.4764128,2195456,20.307756423950195
1667142770.5763085,2211840,28.73271942138672
1667143355.0485523,2228224,28.73069953918457
1667143967.9471102,2244608,27.792970657348633
1667144560.8375847,2260992,23.816709518432617
1667145163.1530857,2277376,23.678787231445312
1667145750.8825352,2293760,20.322582244873047
1667146349.583567,2310144,17.723512649536133
1667146939.08552,2326528,23.017484664916992
1667147532.7001019,2342912,32.23042678833008
1667148125.9393003,2359296,37.21636199951172
1667148731.6788719,2375680,38.768310546875
1667149323.120613,2392064,35.479854583740234
1667149894.8265774,2408448,36.08079528808594
1667150469.779119,2424832,31.250446319580078
1667151039.196521,2441216,26.34355354309082
1667151603.620797,2457600,22.95917510986328
1667152184.996423,2473984,30.81388282775879
1667152793.6576192,2490368,41.43115234375
1667153377.3461492,2506752,51.98293685913086
1667153975.4821386,2523136,45.637577056884766
1667154559.0555177,2539520,47.821014404296875
1667155145.63824,2555904,44.50656509399414
1667155735.6177142,2572288,45.731014251708984
1667156324.8051143,2588672,47.62910079956055
1667156851.7053509,2605056,52.190208435058594
1667157380.966308,2621440,51.37807846069336
1667157916.4832537,2637824,47.44758987426758
1667158447.9945955,2654208,43.88385009765625
1667158926.1097932,2670592,44.946685791015625
1667159392.1957014,2686976,43.6719856262207
1667159861.078306,2703360,46.61617660522461
1667160332.8241212,2719744,49.531856536865234
1667160800.2302444,2736128,51.62879180908203
1667161276.429211,2752512,52.76081848144531
1667161730.399759,2768896,59.329017639160156
1667162212.8293283,2785280,64.12000274658203
1667162672.05798,2801664,68.06981658935547
1667163105.018193,2818048,67.8790283203125
1667163561.453819,2834432,67.92333221435547
