Wall time,Step,Value
1666852050.2992911,16384,-178.56414794921875
1666852410.4143205,32768,-193.85877990722656
1666852796.4940443,49152,-148.76043701171875
1666853196.9284723,65536,-120.91807556152344
1666853601.5379012,81920,-133.1668701171875
1666854001.3379853,98304,-125.12174987792969
1666854405.1280913,114688,-113.16058349609375
1666854809.7463078,131072,-126.28230285644531
1666855214.1990702,147456,-111.87356567382812
1666855617.583801,163840,-111.67334747314453
1666856028.6546948,180224,-106.28362274169922
1666856448.1468704,196608,-100.13931274414062
1666856873.268115,212992,-101.12271118164062
1666857295.8639567,229376,-116.31513214111328
1666857712.1881876,245760,-106.33981323242188
1666858130.6419692,262144,-105.50955200195312
1666858551.9376965,278528,-113.5663070678711
1666858981.6386554,294912,-98.89678192138672
1666859402.5151176,311296,-102.3209457397461
1666859831.2139237,327680,-99.77477264404297
1666860261.3572893,344064,-108.48444366455078
1666860679.7449358,360448,-118.08802032470703
1666861093.8368812,376832,-99.39371490478516
1666861521.0962586,393216,-103.86784362792969
1666861943.5773787,409600,-109.10034942626953
1666862347.1605833,425984,-122.07804870605469
1666862751.4916794,442368,-108.60855865478516
1666863158.7288005,458752,-101.11104583740234
1666863572.0216074,475136,-97.80079650878906
1666863997.8049636,491520,-102.88471984863281
1666864409.341574,507904,-93.0966796875
1666864824.046431,524288,-87.65210723876953
1666865246.9196074,540672,-98.10503387451172
1666865655.6494117,557056,-88.93131256103516
1666866076.363864,573440,-92.21832275390625
1666866484.6953936,589824,-83.95494079589844
1666866914.229247,606208,-83.56448364257812
1666867338.190971,622592,-82.23971557617188
1666867758.4778068,638976,-74.55368041992188
1666868168.1627371,655360,-82.04066467285156
1666868580.9783752,671744,-85.02161407470703
1666868998.6790204,688128,-86.99616241455078
1666869418.8650608,704512,-84.18246459960938
1666869839.9774964,720896,-77.6576919555664
1666870254.8297412,737280,-63.40866470336914
1666870665.2312129,753664,-63.12436294555664
1666871080.8777778,770048,-66.97306060791016
