Wall time,Step,Value
1667303643.8885837,16384,-200.10462951660156
1667304067.8001716,32768,-190.26832580566406
1667304496.366741,49152,-159.75221252441406
1667304920.26083,65536,-144.3652801513672
1667305351.4793248,81920,-124.71302032470703
1667305779.3808274,98304,-127.81976318359375
1667306210.3587322,114688,-127.31318664550781
1667306640.6076608,131072,-106.0831298828125
1667307069.0636823,147456,-106.64205932617188
1667307498.6826074,163840,-106.20146942138672
1667307931.557394,180224,-107.01525115966797
1667308361.749358,196608,-109.76933288574219
1667308789.7228312,212992,-107.1220932006836
1667309213.487775,229376,-104.85279083251953
1667309644.2060835,245760,-111.15475463867188
1667310070.8125913,262144,-102.91876220703125
1667310499.0301602,278528,-106.05744934082031
1667310932.079612,294912,-99.21826934814453
1667311363.904586,311296,-101.01652526855469
1667311784.5712707,327680,-96.4457015991211
1667312217.0356026,344064,-100.62870025634766
1667312639.9109752,360448,-103.99717712402344
1667313069.6574714,376832,-89.86316680908203
1667313501.7155962,393216,-96.31880187988281
1667313931.3185177,409600,-100.30258178710938
1667314359.2235456,425984,-97.84857940673828
1667314789.8088174,442368,-89.43592071533203
1667315222.1240575,458752,-99.54910278320312
1667315651.8640397,475136,-92.42778015136719
1667316071.9050546,491520,-98.74784088134766
1667316496.6907165,507904,-96.55498504638672
1667316837.0905864,524288,-93.09009552001953
1667317270.0652647,540672,-105.88926696777344
1667317703.096903,557056,-91.35297393798828
1667318139.0294154,573440,-98.01204681396484
1667318573.0027585,589824,-94.77473449707031
1667319005.4028728,606208,-102.26587677001953
1667319397.908726,622592,-102.91651153564453
1667319826.4388144,638976,-101.83716583251953
1667320262.0148113,655360,-109.9775619506836
1667320692.6687067,671744,-100.70806884765625
1667321127.9060528,688128,-97.72718811035156
1667321570.1524184,704512,-100.00531005859375
1667322017.0197127,720896,-97.34617614746094
1667322454.1436737,737280,-104.02155303955078
1667322894.476133,753664,-90.59640502929688
1667323333.5259979,770048,-96.94086456298828
1667323769.5849705,786432,-96.06180572509766
1667324207.437479,802816,-86.35994720458984
1667324647.8624902,819200,-88.40629577636719
1667325085.223893,835584,-84.46351623535156
1667325521.8705797,851968,-85.59405517578125
1667325954.7824872,868352,-80.10650634765625
1667326391.7251272,884736,-89.51461791992188
1667326828.6834311,901120,-87.21932983398438
1667327262.2319763,917504,-74.10965728759766
1667327695.391483,933888,-90.11261749267578
1667328134.5740929,950272,-80.09413146972656
1667328570.3258483,966656,-84.28376007080078
1667329007.9209154,983040,-79.86712646484375
1667329442.0336728,999424,-69.42723083496094
1667329879.141064,1015808,-63.27882385253906
1667330311.3282847,1032192,-69.27304077148438
1667330733.064079,1048576,-59.979862213134766
1667331165.9805398,1064960,-68.61255645751953
1667331604.6758568,1081344,-52.31873321533203
1667332039.5745318,1097728,-67.39657592773438
1667332474.9055114,1114112,-42.79254913330078
1667332913.8328047,1130496,-51.36143112182617
1667333348.3015792,1146880,-42.49192428588867
1667333786.216699,1163264,-50.48500442504883
1667334226.1884923,1179648,-32.56330871582031
1667334661.957046,1196032,-42.920406341552734
1667335096.2122,1212416,-37.51191711425781
1667335531.560337,1228800,-45.12649917602539
1667335974.9260998,1245184,-43.096981048583984
1667336418.878927,1261568,-45.007606506347656
1667336849.2567694,1277952,-25.566625595092773
1667337235.7849584,1294336,-38.573604583740234
1667337661.9068308,1310720,-28.39399528503418
1667338094.43773,1327104,-25.500244140625
1667338536.9920514,1343488,-26.337223052978516
1667338964.742493,1359872,-30.371788024902344
1667339410.5030646,1376256,-23.03145980834961
1667339852.5703902,1392640,-14.133641242980957
1667340293.1591222,1409024,-17.842727661132812
1667340738.404551,1425408,-16.400297164916992
1667341169.9640317,1441792,-6.598474502563477
1667341616.4889617,1458176,-14.853596687316895
1667342064.1597471,1474560,-7.693666458129883
1667342514.3778005,1490944,-13.789262771606445
1667342960.4419558,1507328,-21.798847198486328
1667343404.735977,1523712,-35.660682678222656
1667343858.7785046,1540096,-46.50579071044922
1667344298.5521765,1556480,-40.901493072509766
1667344743.763736,1572864,-22.448089599609375
1667345184.9395733,1589248,-14.522347450256348
1667345633.770899,1605632,-22.289642333984375
1667346083.8484616,1622016,-25.838916778564453
1667346527.752019,1638400,-7.848179817199707
1667346974.8661063,1654784,-7.810791015625
1667347417.5039968,1671168,-16.951223373413086
1667347847.0638132,1687552,-3.52427077293396
1667348283.2800162,1703936,-5.393214702606201
1667348725.106823,1720320,-6.93881368637085
1667349162.4770243,1736704,-0.6556112170219421
1667349610.6423151,1753088,-4.079219818115234
1667350023.9521434,1769472,-4.575963497161865
1667350474.0859954,1785856,-3.0684974193573
1667350913.1028626,1802240,-5.1403985023498535
1667351349.525937,1818624,-2.7871651649475098
1667351803.440972,1835008,2.0545308589935303
1667352255.4005904,1851392,3.193441867828369
1667352706.1252253,1867776,1.2442470788955688
1667353154.8533897,1884160,0.5271195769309998
1667353603.7563016,1900544,3.9784140586853027
1667354029.1617079,1916928,2.2102859020233154
1667354481.544544,1933312,-6.085196495056152
1667354915.0284922,1949696,3.6279330253601074
1667355360.851458,1966080,9.283773422241211
1667355809.9899926,1982464,17.697309494018555
1667356254.7739837,1998848,11.602323532104492
1667356703.0738978,2015232,5.084722995758057
1667357149.8607855,2031616,10.07483959197998
1667357597.9758685,2048000,16.456737518310547
1667358039.9446816,2064384,15.010309219360352
1667358490.4828908,2080768,10.89594841003418
1667358938.4017167,2097152,15.839499473571777
1667359387.543944,2113536,24.33027458190918
1667359824.690654,2129920,21.598953247070312
1667360270.5072591,2146304,23.476398468017578
1667360718.249539,2162688,24.524580001831055
1667361168.2706912,2179072,25.904048919677734
1667361629.4355352,2195456,16.87061309814453
1667362079.1193438,2211840,10.172018051147461
1667362532.8942432,2228224,2.9337353706359863
1667362996.2676163,2244608,-12.498255729675293
1667363458.6084409,2260992,-23.63538932800293
1667363904.7165492,2277376,-40.0378532409668
1667364361.33206,2293760,-36.64070129394531
1667364698.6008828,2310144,-22.762033462524414
1667365004.0620747,2326528,-4.730116367340088
1667365311.486619,2342912,13.166943550109863
1667365616.521312,2359296,17.74884605407715
1667365916.3449354,2375680,19.887866973876953
1667366214.1957767,2392064,18.670690536499023
1667366512.124244,2408448,8.727472305297852
1667366825.5261142,2424832,22.221677780151367
1667367132.842187,2441216,32.330162048339844
1667367433.4192567,2457600,34.61648941040039
1667367744.3114598,2473984,46.77400588989258
1667368065.6741688,2490368,37.433807373046875
1667368370.6562967,2506752,37.108245849609375
1667368681.8711789,2523136,38.30373001098633
1667368985.838493,2539520,47.18712615966797
1667369301.9312098,2555904,48.21080780029297
1667369621.0274806,2572288,50.21365737915039
1667369929.633593,2588672,56.23796081542969
1667370247.9638655,2605056,59.119266510009766
1667370561.9403937,2621440,69.05030059814453
1667370873.102473,2637824,65.96057891845703
1667371188.168027,2654208,66.44625854492188
1667371512.1632884,2670592,56.578975677490234
1667371814.0882306,2686976,62.663578033447266
1667372121.696439,2703360,60.52391052246094
1667372424.2556329,2719744,68.37338256835938
1667372735.8673816,2736128,64.24751281738281
1667373052.2038088,2752512,68.33634185791016
1667373357.0977395,2768896,68.66971588134766
1667373672.0074985,2785280,73.39454650878906
1667373988.8278387,2801664,88.26490783691406
1667374294.34971,2818048,89.77304077148438
1667374615.5549102,2834432,94.65079498291016
1667374935.9397817,2850816,86.86064910888672
1667375242.847721,2867200,85.25696563720703
1667375558.6731057,2883584,77.75747680664062
1667375866.891167,2899968,67.49535369873047
1667376182.183498,2916352,63.923641204833984
1667376500.9397266,2932736,60.212772369384766
1667376809.4510372,2949120,59.30866622924805
1667377136.2520988,2965504,69.28054809570312
1667377445.7397923,2981888,73.0545425415039
1667377770.7190866,2998272,77.50346374511719
1667378089.5636046,3014656,81.53155517578125
1667378410.4440699,3031040,76.77857208251953
1667378730.8664722,3047424,82.39065551757812
1667379053.6347947,3063808,90.37787628173828
1667379373.1116414,3080192,100.41485595703125
1667379681.5561163,3096576,101.73056030273438
1667379995.1893952,3112960,104.80926513671875
1667380300.7475271,3129344,101.0279312133789
1667380613.1636078,3145728,92.00597381591797
1667380927.156525,3162112,88.50113677978516
1667381235.3390303,3178496,89.41837310791016
1667381557.0395656,3194880,92.99988555908203
1667381873.4944952,3211264,96.19450378417969
1667382177.152149,3227648,93.7339096069336
1667382492.0293555,3244032,85.3484115600586
1667382806.5997787,3260416,71.3313980102539
1667383112.537927,3276800,72.41454315185547
1667383426.1709204,3293184,72.28013610839844
1667383730.4132032,3309568,70.41605377197266
1667384045.7771788,3325952,85.33405303955078
