Wall time,Step,Value
1667112012.883155,4608,-200.0
1667112139.5890782,7168,-200.0
1667112177.2454987,7936,-200.0
1667112247.455457,9472,-200.0
1667112452.9147997,13568,-193.359375
1667112479.7500055,14080,-193.359375
1667112506.874562,14592,-191.67164611816406
1667112519.349358,14848,-191.67164611816406
1667112540.9872327,15360,-189.55262756347656
1667112615.7522595,16896,-188.9629669189453
1667112629.1897252,17152,-188.06024169921875
1667112656.153862,17664,-186.3103485107422
1667112764.6966977,19968,-182.4199981689453
1667112846.043763,21504,-177.8000030517578
1667112859.6831036,21760,-176.13999938964844
1667112871.8708115,22016,-175.19000244140625
1667112882.7650826,22272,-174.6999969482422
1667112941.1403623,23552,-171.8000030517578
1667113046.825634,25600,-166.1699981689453
1667113130.4024184,27392,-160.92999267578125
1667113234.8282743,29440,-157.27000427246094
1667113268.6980414,30208,-156.08999633789062
1667113281.5593095,30464,-155.58999633789062
1667113377.479458,32256,-151.86000061035156
1667113436.6229146,33536,-150.77999877929688
1667113542.783733,35584,-147.6699981689453
1667113584.3121178,36352,-146.25
1667113595.752646,36608,-146.24000549316406
1667113709.104519,38912,-141.99000549316406
1667113736.7820325,39424,-141.3000030517578
1667113750.5567193,39680,-141.05999755859375
1667113848.4994094,41728,-137.5
1667113918.00721,43008,-134.1999969482422
1667113945.514826,43520,-133.80999755859375
1667113959.1611638,43776,-133.42999267578125
1667114071.3552105,46080,-132.11000061035156
1667114085.2147958,46336,-131.35000610351562
1667114126.7250187,47104,-130.58999633789062
1667114196.852776,48640,-128.75999450683594
1667114208.7244675,48896,-128.9199981689453
1667114278.6719582,50176,-128.9600067138672
1667114306.462941,50688,-128.64999389648438
1667114320.4665742,50944,-128.64999389648438
1667114367.624669,51968,-128.27999877929688
1667114378.973478,52224,-128.5399932861328
1667114456.810424,54016,-128.75999450683594
1667114545.7204463,56064,-130.69000244140625
1667114556.5430245,56320,-130.3699951171875
1667114567.4527771,56576,-130.3699951171875
1667114611.8214223,57600,-131.74000549316406
1667114734.0642056,60416,-133.17999267578125
1667114800.4080598,61952,-134.0
1667114855.292476,63232,-134.1300048828125
1667114888.4942176,64000,-135.13999938964844
1667115021.772078,67072,-137.1199951171875
1667115088.1089947,68608,-137.6199951171875
1667115143.094613,69888,-138.30999755859375
1667115177.0747385,70656,-138.60000610351562
1667115221.2700987,71680,-137.72999572753906
1667115266.0855553,72704,-136.9199981689453
1667115288.2465034,73216,-138.25
1667115343.0707798,74496,-138.24000549316406
1667115496.726236,78080,-140.5800018310547
1667115551.8545415,79360,-139.67999267578125
1667115562.9131808,79616,-138.99000549316406
1667115619.4733882,80896,-140.25999450683594
1667115663.688372,81920,-140.75999450683594
1667115674.763222,82176,-140.72999572753906
1667115697.0141509,82688,-140.33999633789062
1667115785.5745335,84736,-140.41000366210938
1667115796.4973865,84992,-141.39999389648438
