Wall time,Step,Value
1667112002.2873676,4608,-200.0
1667112138.1818795,7168,-194.5625
1667112178.750076,7936,-194.5625
1667112260.038809,9472,-189.6888885498047
1667112476.765918,13568,-184.64614868164062
1667112503.6736925,14080,-183.85293579101562
1667112530.8702087,14592,-181.31080627441406
1667112544.3658721,14848,-180.81333923339844
1667112571.7181695,15360,-180.53164672851562
1667112652.6305335,16896,-178.58621215820312
1667112666.0559838,17152,-178.63636779785156
1667112692.747075,17664,-177.3473663330078
1667112814.4285002,19968,-171.3000030517578
1667112897.32931,21504,-167.8699951171875
1667112910.7313275,21760,-167.66000366210938
1667112924.2124429,22016,-166.6199951171875
1667112937.8691878,22272,-165.49000549316406
1667113005.5179412,23552,-160.91000366210938
1667113114.447569,25600,-156.27999877929688
1667113210.1068447,27392,-154.0399932861328
1667113320.9352293,29440,-150.0
1667113365.091167,30208,-148.75999450683594
1667113378.8042564,30464,-148.13999938964844
1667113478.8499012,32256,-146.30999755859375
1667113550.8900342,33536,-145.50999450683594
1667113665.913619,35584,-143.5399932861328
1667113708.689417,36352,-143.5
1667113722.9073133,36608,-143.02000427246094
1667113852.4670756,38912,-142.36000061035156
1667113880.31265,39424,-142.3300018310547
1667113894.6639473,39680,-141.5800018310547
1667114010.9152708,41728,-140.11000061035156
1667114082.1303964,43008,-140.47999572753906
1667114111.2140434,43520,-140.52000427246094
1667114125.5969722,43776,-140.52000427246094
1667114254.885708,46080,-140.52000427246094
1667114269.1983142,46336,-140.11000061035156
1667114312.081443,47104,-139.58999633789062
1667114397.576791,48640,-139.05999755859375
1667114411.9851735,48896,-139.10000610351562
1667114483.3586028,50176,-139.35000610351562
1667114512.1431477,50688,-139.07000732421875
1667114526.5691967,50944,-139.14999389648438
1667114583.1027575,51968,-139.42999267578125
1667114597.242329,52224,-139.42999267578125
1667114697.1273038,54016,-140.41000366210938
1667114811.8181899,56064,-140.4499969482422
1667114826.3483973,56320,-139.83999633789062
1667114840.385352,56576,-139.86000061035156
1667114897.5197973,57600,-140.27000427246094
1667115056.0069823,60416,-141.22000122070312
1667115142.1204333,61952,-140.75
1667115213.8347008,63232,-140.9199981689453
1667115257.6963406,64000,-141.3699951171875
1667115429.4314198,67072,-141.22999572753906
1667115514.838186,68608,-140.91000366210938
1667115585.7433722,69888,-140.97999572753906
1667115629.29237,70656,-141.0399932861328
1667115688.1154604,71680,-141.63999938964844
1667115744.124541,72704,-141.3800048828125
1667115772.4625142,73216,-141.41000366210938
1667115844.4865446,74496,-140.99000549316406
1667116043.4232512,78080,-143.14999389648438
1667116116.8441002,79360,-143.0800018310547
1667116131.4925225,79616,-143.05999755859375
1667116203.876002,80896,-143.5399932861328
1667116262.7775693,81920,-144.72999572753906
1667116277.2444022,82176,-144.3300018310547
1667116305.7685707,82688,-144.63999938964844
1667116421.2884629,84736,-147.22000122070312
1667116435.5701916,84992,-147.44000244140625
1667116522.3486433,86528,-147.19000244140625
