Wall time,Step,Value
1661680585.5512717,12288,-496.6698913574219
1661680670.0133595,20480,-502.09979248046875
1661680797.8753994,32768,-491.9205322265625
1661680885.1066098,40960,-301.626953125
1661681012.4169307,53248,-86.65308380126953
1661681097.4208195,61440,-96.61583709716797
1661681223.0864086,73728,-86.99378204345703
1661681308.9122207,81920,-95.9566650390625
1661681394.1686504,90112,-95.8197021484375
1661681521.0332239,102400,-114.40494537353516
1661681605.4997668,110592,-106.0654525756836
1661681732.3710773,122880,-118.28267669677734
1661681817.5382392,131072,-99.86003875732422
1661681946.8095086,143360,-120.83846282958984
1661682032.2031486,151552,-142.18125915527344
1661682160.4311013,163840,-98.2742919921875
1661682244.9540884,172032,-114.46305084228516
1661682330.79055,180224,-113.52986907958984
1661682457.7948966,192512,-114.04574584960938
1661682543.2863898,200704,-121.15148162841797
1661682669.504409,212992,-86.9548110961914
1661682755.830932,221184,-117.4179458618164
1661682883.9971871,233472,-95.32022094726562
1661682969.6580148,241664,-83.45905303955078
1661683095.8998654,253952,-103.49716186523438
1661683180.1402433,262144,-114.13733673095703
1661683264.8244023,270336,-110.78860473632812
1661683391.7741327,282624,-102.90949249267578
1661683476.1625602,290816,-115.26134490966797
1661683601.9156837,303104,-122.89745330810547
1661683687.6172552,311296,-106.41596221923828
1661683814.2264018,323584,-104.95905303955078
1661683897.556692,331776,-107.48284149169922
1661684024.527877,344064,-125.07595825195312
1661684108.6745074,352256,-128.09814453125
1661684192.888232,360448,-106.6662368774414
1661684319.1138542,372736,-110.03939056396484
1661684404.410334,380928,-101.37055969238281
1661684529.9577546,393216,-103.92865753173828
1661684616.0657268,401408,-115.26512145996094
1661684742.507636,413696,-129.19580078125
1661684827.475557,421888,-103.10914611816406
1661684912.631917,430080,-106.26251983642578
1661685038.4741087,442368,-102.24427795410156
1661685122.9681866,450560,-100.82001495361328
1661685249.3108008,462848,-105.54314422607422
1661685334.1995838,471040,-108.91476440429688
1661685460.6226683,483328,-106.11090850830078
1661685545.6452188,491520,-99.74166870117188
1661685671.4671588,503808,-100.5523452758789
1661685758.054387,512000,-90.32170104980469
1661685841.2119908,520192,-95.98058319091797
1661685968.51276,532480,-105.47637176513672
1661686051.8893085,540672,-100.28050231933594
1661686179.8721774,552960,-132.122314453125
1661686263.7204533,561152,-113.76448822021484
1661686391.501966,573440,-101.65591430664062
1661686475.3718672,581632,-101.02957153320312
1661686601.3723283,593920,-90.67991638183594
1661686683.520333,602112,-93.12208557128906
1661686768.0009432,610304,-102.68589782714844
1661686896.3655558,622592,-101.203369140625
1661686979.2429254,630784,-102.9330825805664
1661687106.6516142,643072,-105.05158233642578
1661687191.3599858,651264,-106.87845611572266
1661687318.6852508,663552,-96.75914764404297
1661687401.3585448,671744,-107.77336120605469
1661687527.3347552,684032,-99.59093475341797
1661687610.7363563,692224,-93.22482299804688
1661687695.0972652,700416,-95.02440643310547
1661687819.6360202,712704,-91.84642791748047
1661687903.0599883,720896,-103.798095703125
1661688026.6616259,733184,-109.37022399902344
1661688111.5997598,741376,-115.85945129394531
1661688235.7296176,753664,-98.1500244140625
1661688320.535107,761856,-126.0827865600586
1661688401.9382443,770048,-91.60518646240234
1661688526.5157924,782336,-116.74811553955078
1661688609.748295,790528,-99.1134262084961
1661688734.0306947,802816,-119.46898651123047
1661688818.7416732,811008,-103.36117553710938
1661688942.1635764,823296,-89.70703887939453
1661689026.5521815,831488,-97.04362487792969
1661689152.6550024,843776,-112.7311019897461
1661689236.757489,851968,-133.95733642578125
1661689319.3909535,860160,-122.03532409667969
1661689445.5079174,872448,-95.07414245605469
1661689529.7977278,880640,-84.98957824707031
1661689653.4476547,892928,-99.73831176757812
1661689736.2260094,901120,-116.78119659423828
1661689861.2082343,913408,-91.58108520507812
1661689946.0560164,921600,-104.21790313720703
1661690070.7699113,933888,-95.64067077636719
1661690155.4329166,942080,-91.74476623535156
1661690237.3703387,950272,-110.09017944335938
1661690364.5274835,962560,-104.87590026855469
1661690447.592723,970752,-94.54682159423828
1661690573.7638261,983040,-99.49307250976562
1661690659.2855165,991232,-126.1623764038086
1661690783.739774,1003520,-92.77265167236328
