Wall time,Step,Value
1661766948.4905124,12288,-393.7797546386719
1661767014.0903106,20480,-462.2091369628906
1661767115.402738,32768,-181.3376007080078
1661767186.7400682,40960,-435.341552734375
1661767283.2867546,53248,-161.7875518798828
1661767353.646121,61440,-225.74691772460938
1661767448.2899992,73728,-235.0021209716797
1661767517.917099,81920,-251.53863525390625
1661767590.452554,90112,-175.86708068847656
1661767687.8042855,102400,-286.01092529296875
1661767758.0663247,110592,-204.10328674316406
1661767850.8786137,122880,-130.52037048339844
1661767919.0579603,131072,-138.70188903808594
1661768016.2882667,143360,-134.3846435546875
1661768080.1281505,151552,-142.5609588623047
1661768185.376315,163840,-127.5058364868164
1661768246.5994976,172032,-185.73789978027344
1661768317.189452,180224,-124.73007202148438
1661768417.7086046,192512,-126.86532592773438
1661768478.5060334,200704,-123.09495544433594
1661768580.1007125,212992,-127.02729034423828
1661768642.1514184,221184,-130.21559143066406
1661768739.7236378,233472,-136.55174255371094
1661768808.172661,241664,-138.3003387451172
1661768900.540359,253952,-111.63983154296875
1661768968.114621,262144,-123.89672088623047
1661769034.835475,270336,-122.8147964477539
1661769130.466776,282624,-148.53077697753906
1661769199.5593998,290816,-127.02073669433594
1661769294.528541,303104,-140.66708374023438
1661769363.3303003,311296,-155.2460174560547
1661769460.7086818,323584,-137.171142578125
1661769524.5423832,331776,-138.26962280273438
1661769626.5771904,344064,-127.88792419433594
1661769683.8405545,352256,-133.10716247558594
1661769754.1056237,360448,-146.54913330078125
1661769857.3835676,372736,-136.96620178222656
1661769926.9889908,380928,-164.20169067382812
1661770030.5924988,393216,-143.65097045898438
1661770089.8302457,401408,-130.4956817626953
1661770191.492331,413696,-161.86422729492188
1661770256.0039787,421888,-137.40594482421875
1661770318.3526962,430080,-119.20489501953125
1661770422.263028,442368,-128.49002075195312
1661770484.449973,450560,-126.46659851074219
1661770587.8948293,462848,-122.82179260253906
1661770659.0640278,471040,-130.46775817871094
1661770754.4939525,483328,-124.06999969482422
1661770824.922472,491520,-117.15460968017578
1661770918.9277115,503808,-139.24166870117188
1661770987.1538484,512000,-122.1416015625
1661771057.7792451,520192,-123.13076782226562
1661771151.4877405,532480,-129.92239379882812
1661771221.4647706,540672,-120.4120864868164
1661771322.4677699,552960,-123.76603698730469
1661771388.4251487,561152,-123.3142318725586
1661771493.3656871,573440,-119.73119354248047
1661771552.5351074,581632,-128.74356079101562
1661771654.9297686,593920,-126.66455841064453
1661771723.2489758,602112,-129.03175354003906
1661771785.7491589,610304,-119.80274200439453
1661771889.1435943,622592,-160.5068817138672
1661771951.7502718,630784,-128.43614196777344
1661772053.5470526,643072,-103.90367889404297
1661772122.357031,651264,-139.10797119140625
1661772213.4157195,663552,-119.02135467529297
1661772283.6128316,671744,-111.58158874511719
1661772379.3096282,684032,-145.06298828125
1661772447.6942785,692224,-116.01797485351562
1661772516.625221,700416,-115.10755920410156
1661772616.3406577,712704,-130.6318359375
1661772686.393387,720896,-124.36407470703125
1661772788.450332,733184,-114.99602508544922
1661772854.7567801,741376,-114.24778747558594
1661772957.2541397,753664,-116.42413330078125
1661773023.8933902,761856,-123.25643157958984
1661773090.819812,770048,-117.79216003417969
1661773192.845249,782336,-123.10090637207031
1661773261.29165,790528,-135.70216369628906
1661773365.2404814,802816,-123.57775115966797
1661773433.4886365,811008,-122.5364990234375
1661773534.9988847,823296,-118.5055160522461
1661773603.4623442,831488,-114.70060729980469
1661773705.5270152,843776,-121.38211822509766
1661773774.7881312,851968,-110.42322540283203
1661773845.7454293,860160,-126.2490234375
1661773947.5942204,872448,-126.02517700195312
1661774016.4881,880640,-150.38824462890625
1661774119.8637838,892928,-105.37934112548828
1661774191.6046386,901120,-106.26166534423828
1661774294.3467555,913408,-101.7247543334961
1661774363.2392166,921600,-101.7875747680664
1661774465.5345857,933888,-111.2245864868164
1661774536.4412825,942080,-121.68531799316406
1661774605.8645868,950272,-110.90933990478516
1661774707.5646396,962560,-108.50833892822266
1661774777.8563442,970752,-101.80648803710938
1661774882.0507994,983040,-131.40277099609375
1661774950.8722813,991232,-103.59827423095703
1661775056.8742008,1003520,-114.8169174194336
