Wall time,Step,Value
1661716649.6691706,16384,-606.6902465820312
1661716820.5618422,32768,-503.9372253417969
1661716986.6585815,49152,-494.4379577636719
1661717153.950455,65536,-383.2329406738281
1661717319.8664153,81920,-63.66300964355469
1661717485.4877493,98304,-532.8870849609375
1661717650.6015577,114688,-383.9430847167969
1661717816.3238256,131072,-161.3654022216797
1661717985.5794096,147456,-165.0166015625
1661718155.0499444,163840,-185.49070739746094
1661718324.6751993,180224,-175.48007202148438
1661718492.4401743,196608,-416.0190734863281
1661718662.7651665,212992,-309.0121765136719
1661718830.4583755,229376,-148.64430236816406
1661718997.8432956,245760,-186.94175720214844
1661719167.6092277,262144,-170.40805053710938
1661719335.6397371,278528,-133.2109375
1661719506.0312438,294912,-161.212158203125
1661719674.7467968,311296,-161.10302734375
1661719841.546818,327680,-119.41688537597656
1661719970.220781,344064,-129.4004364013672
1661720105.0433517,360448,-168.7576141357422
1661720230.0402508,376832,-160.3109588623047
1661720355.2470288,393216,-128.0227813720703
1661720479.1683967,409600,-182.31007385253906
1661720605.423179,425984,-116.76056671142578
1661720730.831933,442368,-127.42720794677734
1661720855.8031178,458752,-177.1396942138672
1661720980.0015278,475136,-136.38546752929688
1661721103.8967724,491520,-113.1234130859375
1661721227.6051912,507904,-148.44105529785156
1661721351.282217,524288,-88.9054183959961
1661721476.8443353,540672,-135.30763244628906
1661721602.6390753,557056,-95.23320770263672
1661721732.343711,573440,-125.68894958496094
1661721856.5223548,589824,-148.56967163085938
1661721981.038209,606208,-141.7430877685547
1661722105.4461694,622592,-123.42728424072266
1661722236.3764012,638976,-160.51231384277344
1661722371.4355025,655360,-136.95895385742188
1661722499.2957828,671744,-88.02242279052734
1661722629.0282574,688128,-119.55670928955078
1661722754.6907108,704512,-89.88044738769531
1661722897.073177,720896,-137.03738403320312
1661723033.105083,737280,-119.28365325927734
1661723173.958532,753664,-154.83224487304688
1661723298.9157517,770048,-100.46393585205078
1661723428.5653121,786432,-163.20449829101562
1661723579.8999376,802816,-138.13299560546875
1661723704.5031369,819200,-134.50405883789062
1661723829.0813396,835584,-91.9949722290039
1661723953.3699956,851968,-101.50212860107422
1661724088.0197315,868352,-149.51902770996094
1661724214.3308523,884736,-92.04074096679688
1661724340.3051848,901120,-152.56761169433594
1661724451.2779925,917504,-113.01390838623047
1661724552.9523678,933888,-134.24392700195312
1661724653.8467429,950272,-118.4735107421875
1661724755.2939155,966656,-135.73260498046875
1661724856.0895617,983040,-114.05572509765625
1661724964.7601464,999424,-136.26470947265625
1661725072.2698915,1015808,-146.07286071777344
