Wall time,Step,Value
1661773199.5195727,16384,-830.868896484375
1661773370.600079,32768,-622.7372436523438
1661773533.8080928,49152,-800.4270629882812
1661773707.5233936,65536,-507.8818359375
1661773875.1546526,81920,-471.17279052734375
1661774043.9005527,98304,-570.837158203125
1661774215.3728812,114688,-796.9305419921875
1661774384.805776,131072,-569.3705444335938
1661774553.8686144,147456,-560.7136840820312
1661774726.1883862,163840,-370.2688293457031
1661774895.2056317,180224,-333.378662109375
1661775065.6340885,196608,-326.2502136230469
1661775231.1213403,212992,-240.60943603515625
1661775400.0770934,229376,-300.6573181152344
1661775570.5463903,245760,-216.6370391845703
1661775742.3281264,262144,-237.01097106933594
1661775910.9487886,278528,-325.78387451171875
1661776082.1005442,294912,-304.91326904296875
1661776252.9810827,311296,-743.363525390625
1661776421.0429652,327680,-415.63677978515625
1661776592.3166668,344064,-852.1264038085938
1661776759.9553485,360448,-250.70277404785156
1661776930.3609807,376832,-163.8365478515625
1661777102.7970636,393216,-131.89138793945312
1661777279.2266035,409600,-70.07970428466797
1661777453.8006892,425984,-158.8766632080078
1661777629.7765682,442368,-109.25856018066406
1661777798.0540686,458752,-106.95462036132812
1661777972.4198914,475136,-112.1122817993164
1661778145.7236607,491520,-79.02947235107422
1661778318.4576414,507904,-104.5915298461914
1661778496.047004,524288,-135.5732421875
1661778668.099112,540672,-137.942138671875
1661778840.9731681,557056,-130.1570587158203
1661779014.1138895,573440,-140.9022674560547
1661779187.104937,589824,-97.1937484741211
1661779360.0021918,606208,-165.66690063476562
1661779529.440455,622592,-130.89938354492188
1661779701.1012545,638976,-83.87178802490234
1661779871.477016,655360,-89.23826599121094
1661780042.0953255,671744,-121.14258575439453
1661780215.662148,688128,-77.55980682373047
1661780384.973755,704512,-102.45050811767578
1661780555.2144022,720896,-58.50380325317383
1661780723.6829123,737280,-82.55836486816406
1661780902.5593574,753664,-23.07622718811035
1661781077.8360016,770048,-27.688030242919922
1661781251.8424385,786432,-176.9603271484375
1661781432.8010123,802816,-122.60807800292969
1661781608.8347852,819200,-23.868255615234375
1661781785.0795288,835584,-136.8612823486328
1661781962.1480153,851968,-88.46748352050781
1661782137.4006956,868352,-112.9306411743164
1661782316.54969,884736,-127.86751556396484
1661782497.0673995,901120,-89.5212173461914
1661782672.6721253,917504,-62.52217102050781
1661782853.7881534,933888,-105.78280639648438
1661783036.7679553,950272,-106.16706085205078
1661783211.2791643,966656,-132.64645385742188
1661783390.8561628,983040,-96.1752700805664
1661783569.6733437,999424,-41.184566497802734
1661783733.0090923,1015808,-10.88996410369873
