Wall time,Step,Value
1661708074.7068498,10240,-148.3668975830078
1661708157.762642,20224,-142.77130126953125
1661708242.7581534,30208,-190.27816772460938
1661708327.1314642,40192,-202.06211853027344
1661708412.1561694,50176,-199.52513122558594
1661708495.8697686,60160,-198.98468017578125
1661708579.3167303,70144,-193.6755828857422
1661708663.1648052,80128,-198.14112854003906
1661708747.673033,90112,-204.72006225585938
1661708832.5649354,100096,-198.1468048095703
1661708917.2880452,110080,-196.49684143066406
1661709000.4886186,120064,-198.44798278808594
1661709084.8759153,130048,-199.8704833984375
1661709166.9031217,140032,-200.4470672607422
1661709250.3785534,150016,-205.33880615234375
1661709333.524392,160000,-202.86502075195312
1661709418.7429798,170240,-197.6884002685547
1661709502.4180436,180224,-198.09768676757812
1661709585.3537014,190208,-201.76580810546875
1661709669.3188484,200192,-202.77679443359375
1661709752.2424512,210176,-198.89833068847656
1661709834.795543,220160,-200.70077514648438
1661709918.3862414,230144,-198.5271759033203
1661710002.1873572,240128,-196.51268005371094
1661710085.8544931,250112,-197.16122436523438
1661710170.9728692,260096,-199.23666381835938
1661710254.6308515,270080,-203.28945922851562
1661710337.7063756,280064,-197.79583740234375
1661710420.8549175,290048,-206.35166931152344
1661710504.0997522,300032,-201.69454956054688
1661710586.8276865,310016,-200.82577514648438
1661710669.7752407,320000,-201.51222229003906
1661710755.5715861,330240,-199.5640411376953
1661710838.5842886,340224,-200.5845184326172
1661710921.3385515,350208,-200.88540649414062
1661711004.7190282,360192,-193.98606872558594
1661711087.180428,370176,-200.10260009765625
1661711169.1207438,380160,-200.32461547851562
1661711250.1231422,390144,-194.2694549560547
1661711331.4294066,400128,-201.84910583496094
1661711412.8753233,410112,-197.984375
1661711494.853218,420096,-197.49290466308594
1661711575.7413785,430080,-199.87098693847656
1661711656.8874576,440064,-202.3090362548828
1661711738.8133311,450048,-192.8227081298828
1661711820.3573089,460032,-199.7254638671875
1661711901.7574332,470016,-196.9154510498047
1661711983.2973812,480000,-198.13906860351562
1661712067.4293175,490240,-198.2416534423828
1661712149.6372252,500224,-202.4654083251953
