Wall time,Step,Value
1661746696.2583601,10240,-134.41542053222656
1661746781.3998585,20224,-139.31961059570312
1661746875.7610502,30208,-165.53805541992188
1661746973.7585938,40192,-164.94052124023438
1661747074.5836663,50176,-164.8463134765625
1661747176.8157768,60160,-165.23451232910156
1661747279.3973892,70144,-151.77117919921875
1661747381.7146447,80128,-151.29762268066406
1661747484.507717,90112,-150.4932403564453
1661747586.2805493,100096,-148.38284301757812
1661747688.5440326,110080,-150.95155334472656
1661747791.0984888,120064,-150.35708618164062
1661747893.1371212,130048,-149.08203125
1661747994.3703332,140032,-149.59181213378906
1661748096.3044322,150016,-149.27023315429688
1661748199.2455204,160000,-154.20065307617188
1661748302.9262652,170240,-143.0380096435547
1661748405.4590404,180224,-147.7895965576172
1661748508.4866867,190208,-149.0911102294922
1661748611.5650449,200192,-148.17910766601562
1661748712.6499577,210176,-145.58021545410156
1661748816.238,220160,-146.60935974121094
1661748917.8000126,230144,-149.50770568847656
1661749020.986236,240128,-146.54483032226562
1661749122.4359748,250112,-143.14051818847656
1661749224.093665,260096,-145.54139709472656
1661749325.7139494,270080,-147.13319396972656
1661749429.0542452,280064,-151.63607788085938
1661749531.4667628,290048,-146.06394958496094
1661749633.5352037,300032,-146.3357391357422
1661749735.1033862,310016,-157.04371643066406
1661749836.0624614,320000,-145.4442901611328
1661749940.5218418,330240,-143.7353515625
1661750042.5156868,340224,-148.82073974609375
1661750144.3701618,350208,-145.81190490722656
1661750246.2683253,360192,-144.60446166992188
1661750345.9263275,370176,-147.70359802246094
1661750447.978195,380160,-145.57754516601562
1661750545.0131695,390144,-141.47010803222656
1661750647.2829444,400128,-144.32948303222656
1661750747.871418,410112,-142.40597534179688
1661750848.9894488,420096,-143.7793426513672
1661750949.3353932,430080,-150.0047149658203
1661751051.8843083,440064,-140.68988037109375
1661751153.7678642,450048,-142.50640869140625
1661751254.297729,460032,-142.84613037109375
1661751355.2156136,470016,-147.72604370117188
1661751457.4461398,480000,-147.2121124267578
1661751562.1783938,490240,-140.35708618164062
1661751664.5865657,500224,-154.67294311523438
1661751766.5748308,510208,-147.6389923095703
1661751868.3202698,520192,-141.01754760742188
1661751967.6244366,530176,-144.87840270996094
1661752068.5141635,540160,-143.80706787109375
1661752171.6829507,550144,-143.96389770507812
1661752271.832854,560128,-145.8497772216797
1661752373.7190833,570112,-150.79380798339844
1661752473.1263096,580096,-147.53436279296875
1661752575.642092,590080,-150.4466094970703
1661752677.9851556,600064,-145.29806518554688
1661752781.617013,610048,-150.0546417236328
1661752882.3851633,620032,-150.51646423339844
1661752985.068146,630016,-144.90701293945312
1661753086.1533332,640000,-146.4541778564453
1661753190.8606784,650240,-146.72021484375
1661753291.4220004,660224,-148.8280792236328
1661753393.998546,670208,-145.53457641601562
1661753494.4652045,680192,-146.87271118164062
1661753596.3578649,690176,-148.44705200195312
1661753696.9703557,700160,-149.2740478515625
1661753799.3740354,710144,-149.11585998535156
1661753897.5764413,720128,-153.6408233642578
1661753999.2083068,730112,-145.63165283203125
1661754100.7700381,740096,-144.8017120361328
1661754200.4979513,750080,-147.2411346435547
1661754301.4769945,760064,-144.40493774414062
1661754396.104912,770048,-141.94247436523438
1661754496.9294047,780032,-146.9593505859375
1661754595.3731143,790016,-144.03900146484375
1661754697.5118365,800000,-144.03355407714844
1661754797.3423746,810240,-142.6422576904297
