Wall time,Step,Value
1662331507.3876457,12288,-500.0
1662331549.3387902,20480,-500.0
1662331610.5722091,32768,-281.3999938964844
1662331651.2094734,40960,-189.0
1662331711.403101,53248,-414.0
1662331752.6196933,61440,-500.0
1662331812.0207992,73728,-172.39999389648438
1662331851.5801694,81920,-90.80000305175781
1662331890.7808685,90112,-85.19999694824219
1662331949.2722435,102400,-83.4000015258789
1662331988.7019408,110592,-89.4000015258789
1662332047.443396,122880,-83.4000015258789
1662332087.130504,131072,-81.5999984741211
1662332147.7920735,143360,-92.5999984741211
1662332187.6521015,151552,-76.80000305175781
1662332247.028042,163840,-81.4000015258789
1662332286.3329353,172032,-97.80000305175781
1662332325.9061625,180224,-87.80000305175781
1662332384.7911544,192512,-87.0
1662332424.6908906,200704,-74.4000015258789
1662332484.3528945,212992,-76.0
1662332524.0893235,221184,-74.80000305175781
1662332583.240029,233472,-81.19999694824219
1662332622.8146257,241664,-74.19999694824219
1662332682.2267406,253952,-100.80000305175781
1662332722.4791808,262144,-72.19999694824219
1662332762.1508095,270336,-110.19999694824219
1662332821.3496323,282624,-96.19999694824219
1662332861.48173,290816,-77.5999984741211
1662332920.5319524,303104,-68.5999984741211
1662332960.0219433,311296,-100.80000305175781
1662333019.2993069,323584,-80.0
1662333059.3521886,331776,-81.5999984741211
1662333118.5015428,344064,-68.4000015258789
1662333158.6855404,352256,-109.19999694824219
1662333199.075093,360448,-80.0
1662333258.343348,372736,-98.5999984741211
1662333297.8146884,380928,-93.0
1662333357.2031379,393216,-82.4000015258789
1662333396.6686707,401408,-94.4000015258789
1662333456.4978185,413696,-76.80000305175781
1662333495.9537368,421888,-81.80000305175781
1662333535.7678726,430080,-69.5999984741211
1662333594.8504074,442368,-82.0
1662333635.1434293,450560,-92.4000015258789
1662333694.1298873,462848,-88.4000015258789
1662333733.7040184,471040,-86.5999984741211
1662333792.4616637,483328,-72.0
1662333832.0997002,491520,-78.0
1662333893.109553,503808,-186.39999389648438
1662333932.416343,512000,-88.0
1662333972.2186162,520192,-106.19999694824219
1662334030.9175236,532480,-70.4000015258789
1662334070.4501867,540672,-93.80000305175781
1662334128.8395267,552960,-76.4000015258789
1662334167.5661254,561152,-83.5999984741211
1662334227.08083,573440,-69.0
1662334266.6226985,581632,-78.4000015258789
1662334325.904329,593920,-83.5999984741211
1662334365.6365814,602112,-84.19999694824219
1662334405.150641,610304,-90.80000305175781
1662334464.2708297,622592,-84.5999984741211
1662334503.646909,630784,-87.4000015258789
1662334562.6453884,643072,-78.4000015258789
1662334601.895613,651264,-88.0
1662334660.1352859,663552,-75.0
1662334698.993123,671744,-76.80000305175781
1662334757.5699492,684032,-74.4000015258789
1662334796.5703723,692224,-90.4000015258789
1662334835.4398682,700416,-78.4000015258789
1662334895.407012,712704,-71.0
1662334935.3686247,720896,-80.4000015258789
1662334993.878666,733184,-86.4000015258789
1662335032.8623734,741376,-75.4000015258789
1662335091.9265275,753664,-92.19999694824219
1662335131.5721428,761856,-78.19999694824219
1662335170.9071412,770048,-86.19999694824219
1662335230.3089209,782336,-74.4000015258789
1662335269.9611733,790528,-95.19999694824219
1662335329.419969,802816,-71.80000305175781
1662335370.7252808,811008,-73.4000015258789
1662335429.8958454,823296,-84.4000015258789
1662335469.1738715,831488,-75.4000015258789
1662335528.4484062,843776,-79.19999694824219
1662335567.5586867,851968,-84.19999694824219
1662335607.0244954,860160,-72.80000305175781
1662335665.583805,872448,-77.4000015258789
1662335705.5939982,880640,-77.0
1662335764.3100197,892928,-89.80000305175781
1662335803.6277895,901120,-75.19999694824219
1662335862.7383368,913408,-79.4000015258789
1662335902.4772305,921600,-75.4000015258789
1662335961.5761237,933888,-80.5999984741211
1662336000.7653532,942080,-81.4000015258789
1662336040.200306,950272,-75.0
1662336099.2925515,962560,-84.0
1662336138.8546188,970752,-80.19999694824219
1662336197.6985667,983040,-73.0
1662336237.4882443,991232,-94.4000015258789
1662336296.6790085,1003520,-78.80000305175781
