Wall time,Step,Value
1662053368.6900814,12288,-500.0
1662053444.1660666,20480,-500.0
1662053554.9795659,32768,-500.0
1662053627.5458097,40960,-179.1999969482422
1662053737.58356,53248,-89.0
1662053810.049598,61440,-75.19999694824219
1662053917.7452145,73728,-79.4000015258789
1662053990.1489956,81920,-77.80000305175781
1662054061.7212005,90112,-87.5999984741211
1662054169.6132724,102400,-75.19999694824219
1662054241.4824648,110592,-107.19999694824219
1662054349.6391723,122880,-89.5999984741211
1662054421.8308651,131072,-96.4000015258789
1662054530.572092,143360,-75.5999984741211
1662054602.5930288,151552,-83.5999984741211
1662054711.0322104,163840,-79.80000305175781
1662054783.4157765,172032,-79.19999694824219
1662054856.3297827,180224,-82.80000305175781
1662054968.1875403,192512,-101.4000015258789
1662055042.1376858,200704,-75.80000305175781
1662055151.4628878,212992,-105.0
1662055224.1204238,221184,-108.4000015258789
1662055331.994384,233472,-79.0
1662055404.3265908,241664,-73.4000015258789
1662055511.9869835,253952,-77.5999984741211
1662055584.0941093,262144,-84.0
1662055656.0867012,270336,-79.80000305175781
1662055762.9467123,282624,-78.5999984741211
1662055837.5856056,290816,-92.80000305175781
1662055948.5490217,303104,-94.5999984741211
1662056021.326057,311296,-90.19999694824219
1662056131.782709,323584,-87.19999694824219
1662056204.329768,331776,-81.19999694824219
1662056313.1502504,344064,-82.0
1662056385.6024137,352256,-82.5999984741211
1662056457.0655499,360448,-76.5999984741211
1662056564.4542913,372736,-85.4000015258789
1662056636.252837,380928,-81.4000015258789
1662056745.9921172,393216,-86.5999984741211
1662056821.7200968,401408,-109.19999694824219
1662056930.3571498,413696,-80.19999694824219
1662057003.015336,421888,-81.4000015258789
1662057075.2164235,430080,-77.80000305175781
1662057183.0433776,442368,-75.80000305175781
1662057255.2599223,450560,-77.19999694824219
1662057363.0758176,462848,-80.5999984741211
1662057435.4455733,471040,-85.80000305175781
1662057545.163362,483328,-84.19999694824219
1662057618.0418088,491520,-104.5999984741211
1662057727.0405247,503808,-75.5999984741211
1662057798.9680176,512000,-87.19999694824219
1662057871.322408,520192,-88.19999694824219
1662057979.0966194,532480,-80.5999984741211
1662058053.2136178,540672,-83.5999984741211
1662058162.461051,552960,-74.80000305175781
1662058235.4698558,561152,-82.5999984741211
1662058342.116956,573440,-74.80000305175781
1662058417.915597,581632,-77.19999694824219
1662058528.9138815,593920,-82.19999694824219
1662058601.5811017,602112,-77.80000305175781
1662058673.7487488,610304,-83.4000015258789
1662058782.517835,622592,-88.0
1662058854.3842304,630784,-86.0
1662058962.6414206,643072,-84.19999694824219
1662059034.7713158,651264,-77.0
1662059143.2155132,663552,-124.5999984741211
1662059214.7336302,671744,-78.0
1662059324.1027288,684032,-137.39999389648438
1662059397.3238564,692224,-76.0
1662059469.7318995,700416,-82.80000305175781
1662059577.3786466,712704,-90.5999984741211
1662059649.70017,720896,-79.80000305175781
1662059763.7114174,733184,-82.19999694824219
1662059841.3051124,741376,-87.80000305175781
1662059949.389404,753664,-92.5999984741211
1662060022.0156555,761856,-79.80000305175781
1662060093.9523017,770048,-109.80000305175781
1662060202.3706446,782336,-91.19999694824219
1662060274.6174047,790528,-85.5999984741211
1662060383.0910003,802816,-88.5999984741211
1662060454.9692688,811008,-80.5999984741211
1662060562.8310494,823296,-78.80000305175781
1662060634.1804168,831488,-81.80000305175781
1662060742.435165,843776,-108.80000305175781
1662060813.4306722,851968,-80.5999984741211
1662060885.5168142,860160,-76.19999694824219
1662060993.1782243,872448,-77.4000015258789
1662061065.1039166,880640,-85.0
1662061173.0148938,892928,-80.5999984741211
1662061245.2105014,901120,-85.4000015258789
1662061353.5719962,913408,-83.4000015258789
1662061424.8255765,921600,-87.5999984741211
1662061533.735312,933888,-76.0
1662061607.33764,942080,-76.80000305175781
1662061679.7330444,950272,-91.4000015258789
1662061786.397472,962560,-83.5999984741211
1662061859.1429381,970752,-116.0
1662061965.3023567,983040,-85.0
1662062037.5779018,991232,-85.80000305175781
1662062143.4490886,1003520,-88.80000305175781
