Wall time,Step,Value
1661959909.679026,12288,-500.0
1661959988.2209148,20480,-500.0
1661960106.1296318,32768,-500.0
1661960184.2852645,40960,-179.1999969482422
1661960300.4589787,53248,-89.0
1661960377.791535,61440,-75.19999694824219
1661960492.686225,73728,-84.80000305175781
1661960569.3681865,81920,-77.4000015258789
1661960646.0866394,90112,-95.80000305175781
1661960762.0350847,102400,-85.80000305175781
1661960839.5694313,110592,-78.0
1661960956.0327537,122880,-88.5999984741211
1661961033.0369763,131072,-92.19999694824219
1661961149.2632806,143360,-78.80000305175781
1661961227.1735375,151552,-90.4000015258789
1661961340.3569012,163840,-110.19999694824219
1661961418.1083548,172032,-95.80000305175781
1661961494.34926,180224,-83.4000015258789
1661961610.7721405,192512,-91.19999694824219
1661961687.911826,200704,-103.0
1661961803.7347808,212992,-92.4000015258789
1661961880.1651967,221184,-87.5999984741211
1661961994.6989002,233472,-110.0
1661962070.154131,241664,-80.0
1661962185.7236023,253952,-88.0
1661962260.9153483,262144,-113.0
1661962338.1894321,270336,-87.4000015258789
1661962452.4181948,282624,-88.80000305175781
1661962530.0669184,290816,-84.0
1661962645.3091712,303104,-90.19999694824219
1661962721.3870492,311296,-109.19999694824219
1661962834.1906793,323584,-77.5999984741211
1661962909.6660752,331776,-80.0
1661963022.8097243,344064,-87.19999694824219
1661963096.3327012,352256,-98.80000305175781
1661963172.375384,360448,-81.19999694824219
1661963285.5380378,372736,-84.0
1661963361.168587,380928,-93.80000305175781
1661963471.681383,393216,-86.4000015258789
1661963546.6200092,401408,-107.19999694824219
1661963661.0254283,413696,-92.80000305175781
1661963738.259138,421888,-83.19999694824219
1661963813.7297733,430080,-80.19999694824219
1661963924.9679272,442368,-111.19999694824219
1661964000.505666,450560,-76.80000305175781
1661964112.8362663,462848,-96.0
1661964190.8088262,471040,-82.0
1661964302.4791453,483328,-82.5999984741211
1661964377.5572858,491520,-90.4000015258789
1661964489.0716915,503808,-95.19999694824219
1661964564.125436,512000,-83.80000305175781
1661964638.893944,520192,-82.0
1661964750.7736115,532480,-82.19999694824219
1661964825.7971587,540672,-90.0
1661964937.869333,552960,-158.0
1661965013.673921,561152,-83.5999984741211
1661965127.657016,573440,-74.80000305175781
1661965202.2653713,581632,-95.4000015258789
1661965315.2969537,593920,-120.0
1661965392.6737392,602112,-87.80000305175781
1661965468.9062767,610304,-106.80000305175781
1661965582.074971,622592,-89.4000015258789
1661965657.4970663,630784,-82.0
1661965770.302352,643072,-83.0
1661965844.551003,651264,-95.5999984741211
1661965958.4817257,663552,-107.80000305175781
1661966033.0208519,671744,-75.0
1661966146.562274,684032,-82.5999984741211
1661966221.2096927,692224,-108.0
1661966297.9846857,700416,-75.4000015258789
1661966408.6543665,712704,-77.5999984741211
1661966484.2732687,720896,-77.5999984741211
1661966595.202829,733184,-88.4000015258789
1661966671.3259497,741376,-82.19999694824219
1661966783.5674472,753664,-96.5999984741211
1661966856.7776327,761856,-79.80000305175781
1661966932.4475725,770048,-115.4000015258789
1661967039.8309267,782336,-88.4000015258789
1661967116.7801743,790528,-88.19999694824219
1661967229.8911355,802816,-88.5999984741211
1661967306.730966,811008,-91.19999694824219
1661967419.4664633,823296,-76.4000015258789
1661967494.6111438,831488,-82.0
1661967608.3243694,843776,-95.19999694824219
1661967683.8222501,851968,-85.19999694824219
1661967759.642393,860160,-104.4000015258789
1661967871.3265934,872448,-90.80000305175781
1661967947.9042404,880640,-91.4000015258789
1661968058.6480658,892928,-90.80000305175781
1661968134.8671832,901120,-81.0
1661968247.9631255,913408,-91.80000305175781
1661968325.408452,921600,-80.5999984741211
1661968438.5935812,933888,-95.4000015258789
1661968514.3302236,942080,-104.80000305175781
1661968591.5252993,950272,-97.5999984741211
1661968704.609013,962560,-94.80000305175781
1661968781.1517675,970752,-107.0
1661968895.0992036,983040,-78.4000015258789
1661968969.3325722,991232,-108.5999984741211
1661969085.6530735,1003520,-91.0
