Wall time,Step,Value
1662040095.4042752,16384,-857.4010620117188
1662040279.817326,32768,-627.2876586914062
1662040462.1926756,49152,-814.2019653320312
1662040645.255716,65536,-493.1493225097656
1662040829.6784391,81920,-876.5547485351562
1662041016.2721443,98304,-815.6879272460938
1662041202.4443176,114688,-279.162841796875
1662041386.274968,131072,-908.484619140625
1662041568.0521984,147456,-78.84818267822266
1662041750.7854018,163840,-122.30805969238281
1662041934.0714977,180224,-223.26510620117188
1662042117.191067,196608,-379.523193359375
1662042300.9602177,212992,-198.11898803710938
1662042485.437398,229376,-442.0780334472656
1662042669.1205559,245760,-570.4663696289062
1662042851.9668362,262144,-316.4873962402344
1662043033.8388035,278528,-483.6424255371094
1662043217.1996992,294912,-200.14389038085938
1662043399.8135045,311296,-436.83660888671875
1662043582.4957376,327680,-152.185791015625
1662043765.6694264,344064,-233.82870483398438
1662043948.3023603,360448,-156.76223754882812
1662044130.770816,376832,-160.84695434570312
1662044308.5523612,393216,-125.09248352050781
1662044490.712098,409600,-136.3936767578125
1662044673.5954723,425984,-117.09114837646484
1662044856.983194,442368,-113.7475357055664
1662045040.0198026,458752,-129.2903289794922
1662045222.9449034,475136,-133.62571716308594
1662045406.0529132,491520,-132.9213104248047
1662045588.6314414,507904,-137.50209045410156
1662045772.1921747,524288,-118.4740219116211
1662045954.2474887,540672,-138.58665466308594
1662046138.024903,557056,-141.12196350097656
1662046322.3020864,573440,-134.10328674316406
1662046505.1013188,589824,-130.8627471923828
1662046689.8175557,606208,-96.99022674560547
1662046872.9571135,622592,-94.76676940917969
1662047057.1095533,638976,-63.93634796142578
1662047239.9246297,655360,-90.36869812011719
1662047424.2415185,671744,-71.38873291015625
1662047607.0170944,688128,-81.29822540283203
1662047789.589607,704512,-79.6117172241211
1662047973.9745564,720896,-71.22087097167969
1662048157.292438,737280,-47.98969650268555
1662048342.0420368,753664,-183.60450744628906
1662048526.3486404,770048,-146.3671417236328
1662048710.4656358,786432,-140.0535430908203
1662048895.772308,802816,-169.53379821777344
1662049081.469537,819200,-128.11009216308594
1662049266.6761694,835584,-136.66148376464844
1662049451.4081917,851968,-119.95488739013672
1662049638.2511377,868352,-130.9429473876953
1662049823.3617423,884736,-97.56523132324219
1662050008.2790937,901120,-225.60606384277344
1662050192.1465182,917504,-150.2644805908203
1662050376.9398828,933888,22.150585174560547
1662050564.4086087,950272,-68.456787109375
1662050749.7196484,966656,-113.71131134033203
1662050938.5482779,983040,-159.31442260742188
1662051124.7168767,999424,-132.41648864746094
1662051312.2033644,1015808,-127.49390411376953
