Wall time,Step,Value
1661954892.0006876,16384,-857.4010620117188
1661955084.1273065,32768,-627.2876586914062
1661955276.416011,49152,-814.2019653320312
1661955468.9398887,65536,-493.1493225097656
1661955663.3475325,81920,-876.5547485351562
1661955856.466524,98304,-815.6879272460938
1661956050.2805789,114688,-279.162841796875
1661956243.9213083,131072,-908.484619140625
1661956436.6964629,147456,-78.84818267822266
1661956630.5257652,163840,-122.30805969238281
1661956824.101862,180224,-223.26510620117188
1661957017.9077063,196608,-379.523193359375
1661957212.0145323,212992,-198.11898803710938
1661957405.1180549,229376,-442.0780334472656
1661957598.8248289,245760,-570.4663696289062
1661957792.011209,262144,-316.4873962402344
1661957985.448322,278528,-483.6424255371094
1661958179.0308206,294912,-200.14389038085938
1661958372.4066515,311296,-436.83660888671875
1661958565.7526064,327680,-152.185791015625
1661958759.607625,344064,-233.82870483398438
1661958952.7655268,360448,-156.76223754882812
1661959145.854365,376832,-160.84695434570312
1661959338.9255052,393216,-125.09248352050781
1661959531.80345,409600,-136.3936767578125
1661959725.9456115,425984,-117.09114837646484
1661959915.196837,442368,-113.7475357055664
1661960109.4992118,458752,-129.2903289794922
1661960304.5429769,475136,-133.62571716308594
1661960499.0154333,491520,-132.9213104248047
1661960692.8279712,507904,-137.50209045410156
1661960887.5813956,524288,-118.4740219116211
1661961081.8428469,540672,-138.58665466308594
1661961276.8275452,557056,-141.12196350097656
1661961471.5367744,573440,-134.10328674316406
1661961666.9458127,589824,-130.8627471923828
1661961862.294935,606208,-96.99022674560547
1661962058.5171802,622592,-94.76676940917969
1661962253.0638974,638976,-63.93634796142578
1661962448.0482047,655360,-90.36869812011719
1661962643.2113047,671744,-71.38873291015625
1661962838.885587,688128,-81.29822540283203
1661963035.090905,704512,-79.6117172241211
1661963231.8137338,720896,-83.18482971191406
1661963427.3792064,737280,-75.84123229980469
1661963624.458721,753664,-163.7453155517578
1661963822.156392,770048,-150.843017578125
1661964018.4184973,786432,-161.6046905517578
1661964216.5104485,802816,-84.64808654785156
1661964413.0242512,819200,-104.29271697998047
1661964611.215436,835584,-121.90943908691406
1661964808.8242078,851968,-165.28402709960938
1661965005.7843635,868352,-177.4475555419922
1661965202.811643,884736,-90.1849365234375
1661965398.551186,901120,-68.3169174194336
1661965594.749503,917504,-156.77908325195312
1661965793.036976,933888,-152.98526000976562
1661965994.5236173,950272,-85.5602798461914
1661966193.1655915,966656,-97.63310241699219
1661966394.2120576,983040,-53.145565032958984
1661966594.2884707,999424,-19.59743309020996
1661966795.9976573,1015808,-49.673362731933594
