Wall time,Step,Value
1662335548.328401,10240,-155.8000030517578
1662335594.907852,20224,-165.60000610351562
1662335643.2966805,30208,-174.39999389648438
1662335691.6513782,40192,-175.39999389648438
1662335742.6162388,50176,-181.60000610351562
1662335795.1863444,60160,-165.8000030517578
1662335847.8384123,70144,-180.1999969482422
1662335894.328995,80128,-161.39999389648438
1662335940.891639,90112,-167.60000610351562
1662335987.7929702,100096,-192.0
1662336038.4259815,110080,-185.1999969482422
1662336091.3721619,120064,-200.0
1662336141.135189,130048,-194.60000610351562
1662336187.7358837,140032,-194.0
1662336234.7674077,150016,-195.60000610351562
1662336285.2300892,160000,-182.1999969482422
1662336338.4392793,170240,-187.60000610351562
1662336385.2511892,180224,-193.1999969482422
1662336433.8889458,190208,-200.0
1662336481.1587093,200192,-200.0
1662336527.8402128,210176,-193.0
1662336575.9769526,220160,-193.0
1662336622.7442508,230144,-200.0
1662336669.6691427,240128,-184.39999389648438
1662336716.7577076,250112,-200.0
1662336763.575437,260096,-200.0
1662336810.4990742,270080,-200.0
1662336857.3294096,280064,-200.0
1662336907.7934625,290048,-200.0
1662336957.083338,300032,-200.0
1662337006.5572453,310016,-200.0
1662337057.11595,320000,-200.0
1662337110.2713509,330240,-200.0
1662337158.6782432,340224,-200.0
1662337206.143068,350208,-200.0
1662337253.3797314,360192,-200.0
1662337301.4044971,370176,-200.0
1662337350.0021806,380160,-200.0
1662337398.3369312,390144,-200.0
1662337445.681793,400128,-200.0
1662337493.893764,410112,-200.0
1662337542.0221841,420096,-200.0
1662337589.8077612,430080,-200.0
1662337637.5478036,440064,-200.0
1662337685.9415653,450048,-200.0
1662337733.6231847,460032,-200.0
1662337781.4831223,470016,-200.0
1662337829.943013,480000,-200.0
1662337878.917867,490240,-200.0
1662337926.7695887,500224,-200.0
1662337974.7377234,510208,-200.0
1662338022.7575796,520192,-200.0
1662338070.4525883,530176,-200.0
1662338118.6143985,540160,-200.0
1662338166.3249896,550144,-200.0
1662338214.686462,560128,-200.0
1662338262.7652376,570112,-200.0
1662338310.7026596,580096,-200.0
1662338358.3094597,590080,-200.0
1662338406.4637737,600064,-200.0
1662338454.3383143,610048,-200.0
1662338501.8990376,620032,-200.0
1662338549.5806398,630016,-200.0
1662338597.5099318,640000,-200.0
1662338646.1607242,650240,-200.0
1662338693.7193944,660224,-200.0
1662338741.6726213,670208,-200.0
1662338789.4345238,680192,-200.0
1662338837.5345118,690176,-200.0
1662338885.5259175,700160,-200.0
1662338933.3809762,710144,-200.0
1662338981.3160055,720128,-200.0
1662339030.1233,730112,-200.0
1662339077.6251683,740096,-200.0
1662339125.20236,750080,-200.0
1662339173.30092,760064,-200.0
1662339220.7349808,770048,-200.0
1662339268.5781355,780032,-200.0
1662339316.9328973,790016,-200.0
1662339364.820897,800000,-200.0
1662339414.0665631,810240,-200.0
1662339461.4073918,820224,-200.0
1662339508.9581082,830208,-200.0
1662339556.9347403,840192,-200.0
1662339604.8988779,850176,-200.0
