Wall time,Step,Value
1662024104.8751054,10240,-134.8000030517578
1662024214.4130101,20224,-113.4000015258789
1662024328.0437708,30208,-175.0
1662024438.4987135,40192,-166.0
1662024552.6802356,50176,-177.8000030517578
1662024663.5003097,60160,-156.1999969482422
1662024775.0729494,70144,-173.0
1662024886.5546982,80128,-171.39999389648438
1662024997.8308985,90112,-152.1999969482422
1662025106.6325479,100096,-160.60000610351562
1662025217.4884248,110080,-152.1999969482422
1662025325.8377757,120064,-170.0
1662025437.492997,130048,-160.8000030517578
1662025549.2254114,140032,-190.1999969482422
1662025658.7866137,150016,-161.60000610351562
1662025767.5553558,160000,-152.0
1662025877.9493263,170240,-180.39999389648438
1662025989.229345,180224,-150.0
1662026098.4214776,190208,-151.0
1662026212.9494195,200192,-170.39999389648438
1662026323.3897839,210176,-180.0
1662026438.8117387,220160,-172.0
1662026552.5934622,230144,-172.39999389648438
1662026666.6969905,240128,-160.0
1662026777.949372,250112,-170.60000610351562
1662026886.4448988,260096,-152.60000610351562
1662026998.061193,270080,-180.1999969482422
1662027106.026288,280064,-181.0
1662027218.692654,290048,-160.1999969482422
1662027327.7581215,300032,-171.0
1662027440.125879,310016,-171.1999969482422
1662027551.6780047,320000,-161.0
1662027666.0418062,330240,-161.8000030517578
1662027779.0401793,340224,-161.0
1662027892.1390235,350208,-171.0
1662028007.1604655,360192,-182.0
1662028121.580798,370176,-160.39999389648438
1662028235.7481225,380160,-161.1999969482422
1662028347.7668405,390144,-152.60000610351562
1662028459.9260042,400128,-170.8000030517578
1662028571.1522553,410112,-181.39999389648438
1662028682.3741274,420096,-170.1999969482422
1662028793.5828958,430080,-162.8000030517578
1662028904.9372232,440064,-162.0
1662029015.6742692,450048,-160.60000610351562
1662029127.3948798,460032,-190.1999969482422
1662029241.061707,470016,-170.8000030517578
1662029354.7338245,480000,-161.8000030517578
1662029468.7930882,490240,-161.1999969482422
1662029580.882496,500224,-190.60000610351562
1662029692.0498421,510208,-170.39999389648438
1662029803.780375,520192,-182.1999969482422
1662029915.2052314,530176,-190.1999969482422
1662030029.9528375,540160,-190.0
1662030141.663868,550144,-171.1999969482422
1662030252.336032,560128,-164.39999389648438
1662030363.2598286,570112,-163.0
1662030474.8880997,580096,-160.1999969482422
1662030586.5812798,590080,-160.8000030517578
1662030699.6312046,600064,-180.39999389648438
1662030812.275829,610048,-161.8000030517578
1662030924.811584,620032,-150.8000030517578
1662031037.0068905,630016,-150.60000610351562
1662031150.000836,640000,-171.8000030517578
1662031266.0465996,650240,-160.8000030517578
1662031381.5071318,660224,-170.8000030517578
1662031495.2423832,670208,-169.8000030517578
1662031609.7024293,680192,-171.39999389648438
1662031723.2125618,690176,-160.60000610351562
1662031836.5146782,700160,-181.39999389648438
1662031949.509721,710144,-162.8000030517578
1662032063.2334754,720128,-179.8000030517578
1662032176.4854255,730112,-161.60000610351562
1662032290.8744123,740096,-151.0
1662032403.9421234,750080,-170.39999389648438
1662032516.9665513,760064,-152.39999389648438
1662032630.473672,770048,-162.8000030517578
1662032744.4460068,780032,-152.0
1662032857.4926157,790016,-180.60000610351562
1662032972.242084,800000,-170.39999389648438
1662033088.3683004,810240,-172.0
1662033201.9326925,820224,-181.39999389648438
1662033315.5957162,830208,-161.60000610351562
1662033428.4276557,840192,-161.60000610351562
1662033542.6251047,850176,-180.39999389648438
1662033656.8369493,860160,-171.60000610351562
1662033770.2716007,870144,-180.0
1662033884.0636363,880128,-180.39999389648438
1662033997.4396636,890112,-162.39999389648438
1662034111.7647796,900096,-153.0
1662034225.7424004,910080,-181.39999389648438
1662034339.4892724,920064,-161.39999389648438
1662034442.815844,930048,-190.8000030517578
1662034533.2520237,940032,-162.1999969482422
1662034623.8753839,950016,-172.0
1662034714.6322684,960000,-160.8000030517578
1662034806.928684,970240,-162.8000030517578
1662034898.0509534,980224,-162.39999389648438
1662034988.7019057,990208,-172.1999969482422
1662035079.4028907,1000192,-171.39999389648438
