Wall time,Step,Value
1661959963.3878198,10240,-121.80000305175781
1661960056.9854445,20224,-121.0
1661960148.8913066,30208,-159.8000030517578
1661960243.8320315,40192,-157.0
1661960337.703571,50176,-177.1999969482422
1661960432.4113107,60160,-158.60000610351562
1661960526.0266135,70144,-156.60000610351562
1661960620.7174206,80128,-149.60000610351562
1661960713.4203613,90112,-141.1999969482422
1661960806.624727,100096,-142.0
1661960900.1451118,110080,-129.60000610351562
1661960992.9766116,120064,-158.8000030517578
1661961085.973904,130048,-154.0
1661961179.3947136,140032,-144.60000610351562
1661961273.0533323,150016,-148.8000030517578
1661961366.2032337,160000,-118.19999694824219
1661961462.8648248,170240,-118.19999694824219
1661961557.3934033,180224,-163.8000030517578
1661961651.4582195,190208,-162.8000030517578
1661961745.595023,200192,-156.39999389648438
1661961839.9862037,210176,-118.0
1661961934.2039444,220160,-141.39999389648438
1661962030.161246,230144,-142.39999389648438
1661962122.9236524,240128,-116.80000305175781
1661962216.8733997,250112,-143.0
1661962309.4207442,260096,-114.19999694824219
1661962403.3759546,270080,-145.0
1661962497.1379051,280064,-142.39999389648438
1661962590.5486186,290048,-143.1999969482422
1661962684.7054904,300032,-154.39999389648438
1661962775.5507183,310016,-141.1999969482422
1661962865.367266,320000,-138.1999969482422
1661962959.1761587,330240,-142.60000610351562
1661963051.4903061,340224,-140.60000610351562
1661963143.2827919,350208,-114.80000305175781
1661963234.360061,360192,-143.8000030517578
1661963326.0043416,370176,-145.39999389648438
1661963418.2977638,380160,-127.80000305175781
1661963510.6021254,390144,-126.80000305175781
1661963602.7636,400128,-139.0
1661963693.8891535,410112,-128.39999389648438
1661963787.4830577,420096,-139.39999389648438
1661963878.9967353,430080,-126.4000015258789
1661963973.2102864,440064,-128.0
1661964064.167551,450048,-126.0
1661964156.0126421,460032,-125.4000015258789
1661964246.1326883,470016,-157.8000030517578
1661964338.5062149,480000,-155.0
1661964431.8016021,490240,-152.8000030517578
1661964522.8150673,500224,-154.60000610351562
1661964612.5325034,510208,-138.8000030517578
1661964704.1299226,520192,-145.1999969482422
1661964796.4825368,530176,-171.1999969482422
1661964887.8387356,540160,-129.8000030517578
1661964979.5059376,550144,-117.19999694824219
1661965070.9014952,560128,-134.1999969482422
1661965163.5658998,570112,-157.60000610351562
1661965254.2213378,580096,-108.5999984741211
1661965346.793278,590080,-156.39999389648438
1661965437.8202364,600064,-123.4000015258789
1661965530.0154896,610048,-100.0
1661965621.3719475,620032,-113.80000305175781
1661965714.7338452,630016,-123.0
1661965804.043465,640000,-127.4000015258789
1661965896.7411952,650240,-113.4000015258789
1661965984.4293497,660224,-133.1999969482422
1661966075.1271727,670208,-122.5999984741211
1661966168.3783343,680192,-114.0
1661966257.8560042,690176,-110.5999984741211
1661966351.1245344,700160,-130.8000030517578
1661966440.136564,710144,-89.5999984741211
1661966533.4175146,720128,-105.0
1661966621.5128512,730112,-130.60000610351562
1661966713.9220576,740096,-99.4000015258789
1661966803.1798356,750080,-97.5999984741211
1661966895.0082228,760064,-114.5999984741211
1661966985.0773365,770048,-106.80000305175781
1661967073.078771,780032,-102.5999984741211
1661967163.5977747,790016,-106.19999694824219
1661967253.1952453,800000,-96.80000305175781
1661967346.4864624,810240,-102.19999694824219
1661967437.6152735,820224,-89.80000305175781
1661967526.8224218,830208,-109.4000015258789
1661967618.6337848,840192,-102.80000305175781
1661967710.687179,850176,-109.80000305175781
1661967801.988524,860160,-100.5999984741211
1661967894.570751,870144,-102.5999984741211
1661967985.5771265,880128,-127.0
1661968078.0894368,890112,-110.4000015258789
1661968169.0016744,900096,-98.0
1661968260.741578,910080,-100.4000015258789
1661968352.594652,920064,-91.4000015258789
1661968445.533453,930048,-124.19999694824219
1661968537.5976355,940032,-92.19999694824219
1661968627.2952912,950016,-108.80000305175781
1661968717.9196496,960000,-116.5999984741211
1661968811.3973901,970240,-109.5999984741211
1661968904.8911657,980224,-120.80000305175781
1661968995.4560697,990208,-109.80000305175781
1661969087.279747,1000192,-126.19999694824219
