Wall time,Step,Value
1662621617.9191208,12288,-500.0
1662621823.7595735,20480,-278.20001220703125
1662622156.92616,32768,-500.0
1662622371.809538,40960,-500.0
1662622688.8904896,53248,-137.8000030517578
1662622901.2386243,61440,-115.19999694824219
1662623220.6879494,73728,-259.3999938964844
1662623436.1412861,81920,-248.0
1662623648.8812425,90112,-88.5999984741211
1662623967.089811,102400,-75.4000015258789
1662624176.012247,110592,-84.4000015258789
1662624494.748088,122880,-95.80000305175781
1662624708.880894,131072,-75.0
1662625025.0642817,143360,-90.4000015258789
1662625237.1185226,151552,-107.19999694824219
1662625555.082812,163840,-90.4000015258789
1662625768.5913846,172032,-67.80000305175781
1662625981.710931,180224,-85.19999694824219
1662626301.2909825,192512,-86.0
1662626510.732947,200704,-93.80000305175781
1662626830.5867994,212992,-78.19999694824219
1662627043.345106,221184,-95.4000015258789
1662627359.2876189,233472,-100.0
1662627571.9670787,241664,-87.19999694824219
1662627892.0814192,253952,-75.0
1662628106.8477252,262144,-74.0
1662628318.4319816,270336,-88.4000015258789
1662628634.8135924,282624,-85.0
1662628835.858704,290816,-80.4000015258789
1662629125.3627002,303104,-77.0
1662629312.3846583,311296,-73.5999984741211
1662629586.281115,323584,-79.80000305175781
1662629768.7880638,331776,-83.80000305175781
1662630041.440428,344064,-110.0
1662630224.7522762,352256,-69.5999984741211
1662630407.340276,360448,-81.4000015258789
1662630680.4025168,372736,-105.80000305175781
1662630863.8793094,380928,-74.80000305175781
1662631136.7028134,393216,-70.0
1662631318.2032535,401408,-81.19999694824219
1662631593.5741358,413696,-77.19999694824219
1662631778.666601,421888,-75.0
1662631989.4693098,430080,-80.80000305175781
1662632316.3710706,442368,-76.5999984741211
1662632517.6455824,450560,-76.80000305175781
1662632807.853573,462848,-81.0
1662632987.5895069,471040,-72.80000305175781
1662633275.7716744,483328,-75.5999984741211
1662633469.2777631,491520,-72.0
1662633761.5279636,503808,-91.19999694824219
1662633953.766905,512000,-80.19999694824219
1662634147.7570462,520192,-75.0
1662634428.3264315,532480,-75.19999694824219
1662634612.4248693,540672,-73.19999694824219
1662634903.2690933,552960,-93.19999694824219
1662635097.3078232,561152,-81.80000305175781
1662635383.8248417,573440,-119.5999984741211
1662635576.781354,581632,-72.19999694824219
1662635862.767313,593920,-71.4000015258789
1662636053.7367034,602112,-90.80000305175781
1662636258.391088,610304,-74.80000305175781
1662636530.0818295,622592,-106.5999984741211
1662636708.569132,630784,-74.0
1662636980.9422207,643072,-79.19999694824219
1662637167.61369,651264,-81.0
1662637434.2994003,663552,-76.0
1662637612.6982675,671744,-66.5999984741211
1662637885.965435,684032,-92.0
1662638063.8450284,692224,-84.80000305175781
1662638244.355142,700416,-73.5999984741211
1662638513.587518,712704,-81.80000305175781
1662638705.3989518,720896,-68.80000305175781
1662638971.9592755,733184,-74.0
1662639149.0601904,741376,-79.19999694824219
1662639416.6858659,753664,-77.5999984741211
1662639598.240857,761856,-74.80000305175781
1662639776.5655692,770048,-76.80000305175781
1662640042.508225,782336,-76.80000305175781
1662640228.4703574,790528,-75.19999694824219
1662640498.9837925,802816,-75.19999694824219
1662640680.3044043,811008,-76.80000305175781
1662640955.2179415,823296,-105.0
1662641132.9908218,831488,-76.0
1662641409.6493256,843776,-90.4000015258789
1662641588.9241061,851968,-88.4000015258789
1662641772.1327584,860160,-76.19999694824219
1662642038.7210836,872448,-81.5999984741211
1662642222.042013,880640,-77.4000015258789
1662642492.823734,892928,-81.80000305175781
1662642686.2224329,901120,-82.19999694824219
1662642963.7012777,913408,-86.5999984741211
1662643146.8299658,921600,-79.0
1662643430.3931756,933888,-68.4000015258789
1662643614.6438286,942080,-70.0
1662643800.031971,950272,-84.0
1662644071.0234287,962560,-75.0
1662644253.9902003,970752,-74.4000015258789
1662644526.3488276,983040,-93.0
1662644703.6888244,991232,-79.5999984741211
1662644969.259921,1003520,-77.19999694824219
