Wall time,Step,Value
1662481658.5412097,12288,-500.0
1662481845.6320825,20480,-360.0
1662482122.9685693,32768,-500.0
1662482308.38388,40960,-500.0
1662482580.6395667,53248,-125.80000305175781
1662482767.2107952,61440,-200.1999969482422
1662483048.6060705,73728,-154.60000610351562
1662483235.6803055,81920,-126.0
1662483428.413253,90112,-125.19999694824219
1662483706.9644854,102400,-130.60000610351562
1662483896.7737656,110592,-114.4000015258789
1662484173.7259054,122880,-83.4000015258789
1662484361.431986,131072,-172.8000030517578
1662484637.6271074,143360,-97.19999694824219
1662484823.8332436,151552,-99.80000305175781
1662485102.476136,163840,-77.19999694824219
1662485293.9588592,172032,-80.5999984741211
1662485484.0445075,180224,-93.5999984741211
1662485762.2752802,192512,-92.5999984741211
1662485955.76336,200704,-84.80000305175781
1662486233.6235106,212992,-87.4000015258789
1662486415.71374,221184,-91.80000305175781
1662486692.1774657,233472,-122.0
1662486875.9830756,241664,-85.19999694824219
1662487150.0686493,253952,-101.80000305175781
1662487334.3968053,262144,-88.0
1662487524.4790738,270336,-95.80000305175781
1662487812.349681,282624,-88.5999984741211
1662488002.284872,290816,-74.80000305175781
1662488285.866406,303104,-72.5999984741211
1662488471.6768646,311296,-141.0
1662488751.1980667,323584,-86.5999984741211
1662488934.4335968,331776,-91.0
1662489218.9645703,344064,-75.0
1662489405.5554826,352256,-76.19999694824219
1662489591.9632812,360448,-105.0
1662489870.740671,372736,-104.0
1662490056.8320866,380928,-81.0
1662490340.9189177,393216,-100.5999984741211
1662490530.8989625,401408,-80.0
1662490808.1395497,413696,-78.4000015258789
1662490992.9717634,421888,-80.5999984741211
1662491175.330377,430080,-100.19999694824219
1662491452.1077476,442368,-73.80000305175781
1662491633.796774,450560,-91.19999694824219
1662491906.2095432,462848,-87.19999694824219
1662492099.4017313,471040,-104.0
1662492376.533968,483328,-86.4000015258789
1662492562.6577609,491520,-79.0
1662492842.6380777,503808,-74.19999694824219
1662493034.8965619,512000,-81.0
1662493221.9436426,520192,-72.19999694824219
1662493501.586385,532480,-81.4000015258789
1662493689.0827088,540672,-81.19999694824219
1662493960.2446547,552960,-77.5999984741211
1662494145.6583328,561152,-78.19999694824219
1662494415.7222686,573440,-74.80000305175781
1662494599.1877673,581632,-73.0
1662494873.256434,593920,-75.0
1662495064.6013987,602112,-77.5999984741211
1662495251.0313122,610304,-80.19999694824219
1662495532.8258862,622592,-79.19999694824219
1662495711.234536,630784,-77.0
1662495981.9116974,643072,-83.80000305175781
1662496161.560106,651264,-92.5999984741211
1662496438.1173747,663552,-82.80000305175781
1662496617.3264875,671744,-90.19999694824219
1662496893.687634,684032,-119.0
1662497080.510299,692224,-70.19999694824219
1662497265.361946,700416,-84.19999694824219
1662497545.6954618,712704,-76.5999984741211
1662497728.9620838,720896,-113.4000015258789
1662498003.758525,733184,-108.0
1662498182.9254127,741376,-78.5999984741211
1662498453.2900226,753664,-74.5999984741211
1662498641.2382622,761856,-75.80000305175781
1662498823.8540368,770048,-85.5999984741211
1662499095.5594666,782336,-80.5999984741211
1662499273.857324,790528,-81.19999694824219
1662499555.5120363,802816,-74.4000015258789
1662499742.9379914,811008,-82.4000015258789
1662500025.070842,823296,-86.4000015258789
1662500212.7461624,831488,-73.5999984741211
1662500478.8793468,843776,-113.0
1662500656.8610883,851968,-104.5999984741211
1662500842.2732627,860160,-76.0
1662501111.0258589,872448,-87.4000015258789
1662501294.7203074,880640,-89.19999694824219
1662501570.0859685,892928,-94.19999694824219
1662501748.7136939,901120,-78.4000015258789
1662502033.3638306,913408,-106.80000305175781
1662502216.1277595,921600,-93.80000305175781
1662502481.148713,933888,-91.4000015258789
1662502657.4264624,942080,-75.80000305175781
1662502835.88759,950272,-84.5999984741211
1662503104.5099247,962560,-97.5999984741211
1662503304.6497889,970752,-91.0
1662503584.2722435,983040,-99.4000015258789
1662503782.0524383,991232,-78.0
1662504059.2165873,1003520,-109.5999984741211
