Wall time,Step,Value
1662689067.0163198,10240,-167.60000610351562
1662689295.4072976,20224,-150.0
1662689528.425152,30208,-130.60000610351562
1662689765.8223708,40192,-152.0
1662690001.3994298,50176,-152.0
1662690239.8259254,60160,-138.1999969482422
1662690485.9493732,70144,-156.39999389648438
1662690726.5628676,80128,-137.8000030517578
1662690966.889502,90112,-135.60000610351562
1662691212.4719937,100096,-128.60000610351562
1662691455.9733603,110080,-116.5999984741211
1662691695.3824773,120064,-118.19999694824219
1662691941.871559,130048,-118.0
1662692188.7476857,140032,-120.0
1662692433.8907988,150016,-113.0
1662692669.4360888,160000,-109.19999694824219
1662692911.7234886,170240,-117.0
1662693140.7067184,180224,-111.5999984741211
1662693368.9912004,190208,-113.4000015258789
1662693589.6501834,200192,-101.80000305175781
1662693810.6247754,210176,-108.4000015258789
1662694029.6917229,220160,-110.0
1662694253.5092065,230144,-129.0
1662694477.7828228,240128,-110.0
1662694700.033097,250112,-112.0
1662694926.2398517,260096,-121.0
1662695149.3934832,270080,-135.39999389648438
1662695386.5916867,280064,-130.0
1662695608.303241,290048,-121.19999694824219
1662695837.9991884,300032,-105.80000305175781
1662696060.5084198,310016,-118.19999694824219
1662696292.3287373,320000,-129.60000610351562
1662696543.353593,330240,-128.60000610351562
1662696773.7682238,340224,-124.19999694824219
1662696995.9684882,350208,-113.80000305175781
1662697217.6420743,360192,-107.80000305175781
1662697440.5737057,370176,-121.0
1662697676.2917428,380160,-111.0
1662697901.4784372,390144,-96.0
1662698124.8036084,400128,-149.39999389648438
1662698348.4277413,410112,-164.39999389648438
1662698573.4185529,420096,-118.80000305175781
1662698797.5840685,430080,-136.1999969482422
1662699017.5842931,440064,-142.8000030517578
1662699238.1412966,450048,-120.19999694824219
1662699459.9509375,460032,-111.4000015258789
1662699682.941456,470016,-163.39999389648438
1662699905.3280907,480000,-150.60000610351562
1662700131.6622744,490240,-111.5999984741211
1662700352.0125039,500224,-102.0
1662700591.309471,510208,-100.19999694824219
1662700812.5493288,520192,-106.80000305175781
1662701033.9200447,530176,-118.4000015258789
1662701266.280469,540160,-109.4000015258789
1662701498.598047,550144,-112.80000305175781
1662701721.3061054,560128,-121.5999984741211
1662701947.2556503,570112,-112.0
1662702173.529381,580096,-109.0
1662702404.2020786,590080,-131.8000030517578
1662702633.177552,600064,-121.5999984741211
1662702854.934887,610048,-92.80000305175781
1662703076.490613,620032,-139.1999969482422
1662703305.1988952,630016,-92.19999694824219
1662703529.4862924,640000,-139.8000030517578
1662703760.4978375,650240,-144.8000030517578
1662703983.3498173,660224,-115.19999694824219
1662704208.7775004,670208,-133.8000030517578
1662704437.0368137,680192,-130.60000610351562
1662704666.5990787,690176,-104.4000015258789
1662704905.3945067,700160,-141.1999969482422
1662705132.088705,710144,-137.39999389648438
1662705354.36196,720128,-111.19999694824219
1662705584.6465647,730112,-92.4000015258789
1662705903.7624369,740096,-136.39999389648438
1662706220.4333196,750080,-148.1999969482422
1662706531.3491032,760064,-122.5999984741211
1662706829.6932707,770048,-93.19999694824219
1662707133.2323084,780032,-130.8000030517578
1662707429.0408816,790016,-97.0
1662707726.1854517,800000,-111.0
1662708032.2101216,810240,-129.1999969482422
1662708327.6586533,820224,-111.5999984741211
1662708625.2168894,830208,-136.60000610351562
1662708922.712696,840192,-105.5999984741211
1662709214.6270044,850176,-105.4000015258789
1662709508.661464,860160,-121.4000015258789
1662709803.48465,870144,-142.39999389648438
1662710103.1554215,880128,-133.1999969482422
1662710401.116432,890112,-120.19999694824219
1662710695.999514,900096,-116.4000015258789
1662710992.542989,910080,-134.60000610351562
1662711286.9726934,920064,-123.5999984741211
1662711586.6890068,930048,-108.80000305175781
1662711885.8109875,940032,-124.19999694824219
1662712186.6920512,950016,-109.5999984741211
1662712484.3438232,960000,-130.39999389648438
1662712791.252149,970240,-136.0
1662713091.5697098,980224,-129.39999389648438
1662713394.8628309,990208,-136.60000610351562
1662713692.2240458,1000192,-139.8000030517578
