Wall time,Step,Value
1662569095.6665993,10240,-120.80000305175781
1662569743.6806328,20224,-151.60000610351562
1662570401.6230116,30208,-152.0
1662571032.433845,40192,-152.0
1662571681.0091515,50176,-149.60000610351562
1662572308.6030912,60160,-163.39999389648438
1662572935.4336786,70144,-156.39999389648438
1662573577.7094083,80128,-156.8000030517578
1662574199.396198,90112,-153.1999969482422
1662574845.6636577,100096,-154.0
1662575468.4464834,110080,-151.0
1662576103.1397576,120064,-143.60000610351562
1662576715.9972064,130048,-144.60000610351562
1662577371.5609007,140032,-141.39999389648438
1662578000.0684457,150016,-143.0
1662578646.468493,160000,-145.1999969482422
1662579292.0059352,170240,-144.39999389648438
1662579945.24307,180224,-137.1999969482422
1662580592.7866101,190208,-136.8000030517578
1662581235.0946088,200192,-124.19999694824219
1662581878.2512121,210176,-135.8000030517578
1662582512.5467474,220160,-120.4000015258789
1662583148.5836046,230144,-120.0
1662583772.38885,240128,-136.39999389648438
1662584404.5945835,250112,-119.4000015258789
1662585020.6778061,260096,-138.60000610351562
1662585638.7013712,270080,-118.80000305175781
1662586251.4837573,280064,-120.19999694824219
1662586889.2919242,290048,-120.5999984741211
1662587500.2114887,300032,-113.0
1662588123.483832,310016,-124.4000015258789
1662588739.5356593,320000,-107.19999694824219
1662589365.889717,330240,-113.0
1662589997.0871463,340224,-122.5999984741211
1662590613.9189317,350208,-129.0
1662591243.8497405,360192,-121.80000305175781
1662591863.010726,370176,-113.80000305175781
1662592488.5991669,380160,-114.0
1662593085.0721455,390144,-112.80000305175781
1662593723.007405,400128,-113.4000015258789
1662594341.8679762,410112,-113.5999984741211
1662594968.5072477,420096,-122.4000015258789
1662595595.4615068,430080,-119.80000305175781
1662596212.045912,440064,-107.19999694824219
1662596852.048717,450048,-108.4000015258789
1662597467.459187,460032,-106.5999984741211
1662598102.8522131,470016,-113.4000015258789
1662598716.3367746,480000,-113.80000305175781
1662599346.6697478,490240,-113.5999984741211
1662599919.0552006,500224,-112.80000305175781
1662600517.7172933,510208,-107.5999984741211
1662601094.025766,520192,-113.19999694824219
1662601684.4983404,530176,-112.4000015258789
1662602273.2456021,540160,-114.0
1662602840.4115515,550144,-114.19999694824219
1662603431.835757,560128,-114.0
1662603952.1370904,570112,-113.5999984741211
1662604476.9600284,580096,-121.80000305175781
1662604977.3140082,590080,-111.80000305175781
1662605491.1224546,600064,-112.5999984741211
1662605832.3903985,610048,-113.4000015258789
1662606091.8172524,620032,-112.5999984741211
1662606353.9755697,630016,-112.80000305175781
1662606608.0934458,640000,-112.19999694824219
1662606874.4803307,650240,-112.0
1662607136.9232845,660224,-112.19999694824219
1662607399.546941,670208,-120.0
1662607661.362387,680192,-112.5999984741211
1662607925.4090939,690176,-129.0
1662608201.4036124,700160,-112.0
1662608495.0271554,710144,-176.8000030517578
1662608757.6973643,720128,-112.80000305175781
1662609027.9677494,730112,-112.0
1662609293.5620253,740096,-128.8000030517578
1662609566.5625982,750080,-130.0
1662609841.0848231,760064,-129.39999389648438
1662610108.2554758,770048,-147.60000610351562
1662610375.5720558,780032,-129.8000030517578
1662610646.5248013,790016,-129.60000610351562
1662610913.7011771,800000,-163.0
1662611183.7024133,810240,-146.39999389648438
1662611453.2380035,820224,-179.1999969482422
1662611712.8231478,830208,-113.5999984741211
1662611965.6993876,840192,-145.1999969482422
1662612224.1443763,850176,-113.0
1662612482.463031,860160,-147.0
1662612742.6841452,870144,-147.39999389648438
1662613002.1933875,880128,-113.80000305175781
1662613261.7388453,890112,-147.1999969482422
1662613528.7191737,900096,-164.0
1662613791.2903507,910080,-147.1999969482422
1662614050.2353828,920064,-182.0
1662614309.0970247,930048,-114.19999694824219
1662614564.5868149,940032,-165.1999969482422
1662614822.3244472,950016,-113.0
1662615081.422458,960000,-129.1999969482422
1662615353.2133253,970240,-146.8000030517578
1662615612.4215853,980224,-112.5999984741211
1662615871.7629163,990208,-147.39999389648438
1662616130.9129226,1000192,-129.60000610351562
