Wall time,Step,Value
1663030661.3462033,16384,-624.427490234375
1663031146.6346426,32768,-639.5487670898438
1663031623.7440543,49152,-240.32679748535156
1663032104.0636573,65536,-338.71380615234375
1663032577.6041455,81920,-521.2014770507812
1663033038.7306306,98304,-669.8941650390625
1663033506.1212468,114688,-513.377685546875
1663033970.846794,131072,-568.1640014648438
1663034440.5793455,147456,-559.16259765625
1663034905.7647796,163840,-245.7244110107422
1663035373.538901,180224,-112.40180969238281
1663035841.3707025,196608,-167.82801818847656
1663036309.566133,212992,-164.86770629882812
1663036775.933578,229376,-131.2412109375
1663037242.8533053,245760,-134.38079833984375
1663037719.1441185,262144,-17.24205207824707
1663038207.7619302,278528,-23.388160705566406
1663038702.8183393,294912,-5.501807689666748
1663039191.8181005,311296,-22.88505744934082
1663039677.8009455,327680,-19.021745681762695
1663040147.2703948,344064,-39.824180603027344
1663040631.0565765,360448,-27.87160301208496
1663041118.5407748,376832,-9.978005409240723
1663041608.698924,393216,-22.066240310668945
1663042094.7267416,409600,40.04388427734375
1663042565.85178,425984,11.862159729003906
1663043041.412651,442368,-13.363147735595703
1663043512.7410874,458752,-46.0064697265625
1663043987.1865652,475136,-78.5870132446289
1663044467.913446,491520,-24.616619110107422
1663044942.993528,507904,-48.64977264404297
1663045423.8401747,524288,-140.80926513671875
1663045907.188937,540672,-48.733985900878906
1663046388.2277937,557056,-132.52044677734375
1663046918.8111434,573440,-91.76313781738281
1663047422.815261,589824,-60.82801818847656
1663047914.4333808,606208,-156.8859405517578
1663048425.7683249,622592,-51.463260650634766
1663048935.6975398,638976,-134.5228271484375
1663049437.522106,655360,-128.03382873535156
1663049934.1153607,671744,-123.4742202758789
1663050427.9820871,688128,-135.53211975097656
1663050918.1396058,704512,-162.75450134277344
1663051419.3050895,720896,-152.88829040527344
1663051923.5890698,737280,-171.81874084472656
1663052444.0610552,753664,-138.87225341796875
1663052971.4434016,770048,-117.12783813476562
1663053470.811351,786432,-65.88912200927734
1663053985.7347822,802816,-45.625038146972656
1663054478.1382535,819200,-106.18077850341797
1663054985.634888,835584,-76.54751586914062
1663055483.7186577,851968,-134.35377502441406
1663055982.9085717,868352,-14.758745193481445
1663056502.545991,884736,-48.85566711425781
1663057012.8997798,901120,27.375930786132812
1663057528.4052334,917504,110.29768371582031
1663058049.1523952,933888,-113.71224975585938
1663058564.3567276,950272,158.78070068359375
1663059086.587317,966656,-9.22485637664795
1663059587.8319097,983040,133.1544647216797
1663060090.387562,999424,172.2595672607422
1663060611.6601768,1015808,139.1107177734375
